why do you ask silly questions
why do you ask silly questions
FixStart
Radial

0.6 0.6
432 388.8
Moved 1573.14 420.3273 585.6682 0.1396466 0.5084057
Moved 1573.171 409.3165 590.0734 0.1141586 0.5197361
Moved 1573.201 399.7762 595.1492 0.09207448 0.5327911
Moved 1573.232 390.15 600.9 0.06979167 0.5475823
Moved 1573.263 385.1829 604.8171 0.05829383 0.557657
Moved 1573.293 381.5 606 0.04976849 0.5606995
Ended 1573.324 381 607 0.04861106 0.5632715
Candidates 1573.386 13 daily adult supply fault silly failure apply style support assault for apple sole
Began 1574.185 412 516 0.1203704 0.329218
Stationary 1574.216 412 516 0.1203704 0.329218
Stationary 1574.246 412 516 0.1203704 0.329218
Stationary 1574.277 412 516 0.1203704 0.329218
Moved 1574.308 426.8679 516 0.1547867 0.329218
Moved 1574.339 432.9703 523 0.1689127 0.3472221
Moved 1574.369 437.37 524.3701 0.1790973 0.3507459
Moved 1574.4 441.3133 525 0.1882253 0.3523662
Moved 1574.431 442.7435 525 0.1915358 0.3523662
Moved 1574.462 444 525.6157 0.1944444 0.3539496
Moved 1574.492 445 526 0.1967593 0.3549381
Moved 1574.523 446.0593 526 0.1992112 0.3549381
Moved 1574.554 446 527.4852 0.199074 0.3587582
Moved 1574.585 447 527 0.2013889 0.3575102
Moved 1574.615 447 528.1414 0.2013889 0.3604458
Stationary 1574.646 447 528 0.2013889 0.3600822
Stationary 1574.677 447 528 0.2013889 0.3600822
Moved 1574.708 436.498 523.0972 0.1770787 0.3474722
Moved 1574.738 417.3499 506.8062 0.1327544 0.3055713
Moved 1574.769 398.7166 493.6952 0.08962165 0.2718497
Moved 1574.8 381.7647 478.9706 0.05038122 0.2339777
Moved 1574.831 369.4877 467.4877 0.02196232 0.2044436
Moved 1574.861 358.7672 456.7672 -0.002853821 0.1768702
Moved 1574.892 351.0098 449.0098 -0.02081056 0.1569182
Moved 1574.923 345.2479 443.2479 -0.03414844 0.1420984
Moved 1574.953 339.3716 438.2477 -0.04775097 0.129238
Moved 1574.984 333.5109 432.5109 -0.06131738 0.1144826
Moved 1575.015 326.1326 425.1326 -0.07839669 0.09550568
Moved 1575.046 317.5663 416.4218 -0.09822612 0.0731011
Ended 1575.077 316 413 -0.1018519 0.06430033
Accept 1575.107 4 silly
Began 1575.415 381 433 0.04861106 0.1157406
Stationary 1575.445 381 433 0.04861106 0.1157406
Stationary 1575.476 381 433 0.04861106 0.1157406
Moved 1575.507 368.1841 452.4277 0.01894474 0.1657092
Moved 1575.538 358.8082 471.9794 -0.002758751 0.2159962
Moved 1575.568 346.4037 500.5933 -0.03147294 0.2895916
Moved 1575.599 332.6381 525.7791 -0.06333773 0.3543698
Moved 1575.63 316.9259 551.1111 -0.09970849 0.4195243
Moved 1575.661 304.1151 566.8848 -0.1293631 0.4600946
Moved 1575.691 286.733 583.5558 -0.1695994 0.5029726
Moved 1575.722 272.1409 595.7155 -0.2033776 0.5342475
Moved 1575.753 262.6875 599.4375 -0.2252604 0.5438206
Moved 1575.783 254.0359 599 -0.2452872 0.5426954
Moved 1575.814 243.5588 599 -0.2695397 0.5426954
Moved 1575.845 231.0697 599 -0.2984498 0.5426954
Moved 1575.876 224.6301 590.7054 -0.3133562 0.5213615
Moved 1575.906 216.6734 586.7823 -0.3317744 0.5112712
Moved 1575.937 210.0299 581.0299 -0.3471529 0.496476
Moved 1575.968 202.4137 575.2758 -0.3647832 0.4816764
Moved 1575.999 198.1313 571.5657 -0.374696 0.4721338
Moved 1576.029 194.6936 567.6935 -0.3826538 0.4621747
Moved 1576.06 192.5 565.5 -0.3877315 0.4565328
Moved 1576.091 193 566 -0.3865741 0.4578188
Moved 1576.122 218.0345 565.4138 -0.3286239 0.4563112
Moved 1576.152 259.8348 565 -0.2318639 0.4552468
Moved 1576.183 302.9828 565 -0.1319843 0.4552468
Moved 1576.214 335.4754 565 -0.05676994 0.4552468
Moved 1576.245 365.3488 565 0.01238137 0.4552468
Moved 1576.275 388.0322 565 0.0648893 0.4552468
Moved 1576.306 408.0713 563.5612 0.1112761 0.4515463
Moved 1576.337 428.9259 564 0.1595506 0.4526748
Moved 1576.368 444.4504 564 0.1954871 0.4526748
Moved 1576.398 454.4707 564 0.2186823 0.4526748
Moved 1576.429 459.3719 572.3017 0.2300276 0.4740269
Moved 1576.46 462.1223 571 0.2363942 0.4706789
Moved 1576.491 463 572.5 0.2384259 0.474537
Moved 1576.521 463 573.85 0.2384259 0.4780092
Moved 1576.552 440.8005 576.4199 0.1870383 0.484619
Moved 1576.583 396.358 576 0.08416195 0.483539
Moved 1576.614 357.4222 568 -0.00596712 0.4629629
Moved 1576.644 334.5056 568 -0.05901471 0.4629629
Moved 1576.675 313.5142 568 -0.1076061 0.4629629
Moved 1576.706 296.7459 568 -0.1464215 0.4629629
Moved 1576.736 285.6991 568 -0.1719928 0.4629629
Moved 1576.767 279.5242 568 -0.1862866 0.4629629
Moved 1576.798 271.5952 563.5952 -0.2046408 0.4516335
Moved 1576.829 264.8749 556.8749 -0.220197 0.4343489
Moved 1576.859 259.5648 546.2592 -0.2324889 0.4070452
Moved 1576.89 256.0168 533.1011 -0.2407017 0.3732023
Moved 1576.921 253.1551 519.7753 -0.2473262 0.3389282
Moved 1576.952 248.5739 502.0086 -0.2579308 0.2932319
Moved 1576.982 244.6608 484.8129 -0.2669889 0.2490042
Moved 1577.013 239.9021 463.5106 -0.2780043 0.1942143
Moved 1577.044 237.0339 449.1357 -0.2846437 0.1572419
Moved 1577.075 234.1629 440.3258 -0.2912896 0.1345828
Moved 1577.105 233 434.1892 -0.2939815 0.1187994
Moved 1577.136 230.7226 429.7226 -0.2992533 0.1073111
Moved 1577.167 231 427.9261 -0.2986111 0.1026905
Stationary 1577.198 231 427.9261 -0.2986111 0.1026905
