electric cars need big fuel cells
electric cars need big fuel cells
Basic
List

0.6 0.6
432 388.8
Moved 1381.907 313.364 534.682 -0.1079537 0.3772684
Moved 1381.937 321.3475 537.4492 -0.08947337 0.3843856
Moved 1381.968 324.3235 538 -0.08258457 0.3858024
Moved 1381.999 325 539 -0.08101851 0.3883744
Stationary 1382.029 325 539 -0.08101851 0.3883744
Stationary 1382.06 325 539 -0.08101851 0.3883744
Moved 1382.091 304.7175 509.8045 -0.1279687 0.3132831
Moved 1382.122 283.442 473.2039 -0.1772175 0.2191456
Moved 1382.152 272.6214 454.1185 -0.2022652 0.1700579
Moved 1382.183 263.782 436.5639 -0.222727 0.1249071
Moved 1382.214 255.1551 422.5402 -0.2426965 0.08883782
Moved 1382.245 249.8048 413.7073 -0.2550814 0.06611945
Moved 1382.275 243.0043 404.0043 -0.2708233 0.04116333
Moved 1382.306 238.2722 397.2722 -0.2817772 0.02384825
Moved 1382.337 235.2621 393.2621 -0.288745 0.01353425
Moved 1382.368 234 389.3832 -0.2916667 0.00355744
Moved 1382.398 229.6673 384.6672 -0.3016962 -0.008571962
Ended 1382.429 229.6673 384.6672 -0.3016962 -0.008571962
Candidates 1382.552 13 cars card cards careers based bars cases cats cares cared bases matters hard
Began 1383.074 458 329 0.2268519 -0.151749
Stationary 1383.105 458 329 0.2268519 -0.151749
Stationary 1383.136 458 329 0.2268519 -0.151749
Stationary 1383.167 458 329 0.2268519 -0.151749
Stationary 1383.197 458 329 0.2268519 -0.151749
Moved 1383.228 447.0698 329 0.2015505 -0.151749
Moved 1383.259 446.912 329 0.2011851 -0.151749
Moved 1383.289 445.626 329 0.1982084 -0.151749
Moved 1383.32 444.8288 329 0.1963629 -0.151749
Stationary 1383.351 444.8288 329 0.1963629 -0.151749
Moved 1383.382 444 329 0.1944444 -0.151749
Stationary 1383.412 444 329 0.1944444 -0.151749
Moved 1383.443 442.8538 329 0.1917913 -0.151749
Moved 1383.474 441.0535 329 0.1876239 -0.151749
Moved 1383.505 439.6271 319.3898 0.184322 -0.1764667
Moved 1383.535 437.6674 317.6674 0.1797857 -0.1808966
Moved 1383.566 435.7874 311.5748 0.1754339 -0.1965669
Moved 1383.597 433.9165 304.7496 0.1711031 -0.2141214
Moved 1383.628 433 298.6711 0.1689814 -0.2297553
Moved 1383.658 431.4766 294.9531 0.165455 -0.2393182
Moved 1383.689 429.7962 292.7961 0.1615652 -0.244866
Moved 1383.72 426.7284 292 0.1544639 -0.2469136
Moved 1383.75 418.5803 306.8394 0.1356026 -0.2087465
Moved 1383.781 404.9573 340.8088 0.1040679 -0.1213765
Moved 1383.812 393.3288 372.5706 0.07715006 -0.0396847
Moved 1383.843 386.8603 397.4658 0.06217649 0.0243462
Moved 1383.873 378.1501 430.2496 0.04201412 0.1086667
Moved 1383.904 370.572 456.2839 0.02447228 0.1756272
Moved 1383.935 363.9748 477.7256 0.009200871 0.2307756
Moved 1383.966 357.2975 496.8733 -0.006255756 0.2800238
Moved 1383.996 350.6894 511.6213 -0.02155239 0.3179559
Moved 1384.027 341.1666 529.7001 -0.04359593 0.364455
Moved 1384.058 332 546.5 -0.06481484 0.4076646
Moved 1384.089 323.9121 563.1758 -0.0835368 0.4505549
Moved 1384.119 317.3243 573.9009 -0.09878641 0.4781402
Moved 1384.15 311.7988 583.2012 -0.1115768 0.5020605
