I can still feel your presence
I can still feel your presence
Basic
Radial

0.6 0.6
432 388.8
Moved 1808.996 459.8766 468.5753 0.2311959 0.207241
Moved 1809.026 470.8166 470.4542 0.2565199 0.2120735
Moved 1809.057 481.8077 471.9615 0.2819622 0.2159504
Moved 1809.088 492.3012 473 0.3062528 0.2186213
Moved 1809.118 498.3848 473 0.3203351 0.2186213
Moved 1809.149 502.5 473 0.3298611 0.2186213
Moved 1809.18 505.0996 474 0.3358786 0.2211934
Moved 1809.211 506.3734 474 0.3388274 0.2211934
Moved 1809.241 507.5 475 0.3414352 0.2237653
Moved 1809.272 508.1062 475 0.3428384 0.2237653
Moved 1809.303 509.0729 475 0.3450761 0.2237653
Stationary 1809.333 509 475 0.3449074 0.2237653
Moved 1809.364 510.5 476.5 0.3483796 0.2276234
Stationary 1809.395 510.5 476.5 0.3483796 0.2276234
Moved 1809.426 510 477.3978 0.3472221 0.2299324
Moved 1809.456 510 479.2703 0.3472221 0.2347487
Moved 1809.487 481.5665 484.6867 0.281404 0.2486797
Moved 1809.518 436.9577 494.0085 0.1781428 0.2726555
Moved 1809.549 390.6263 499.092 0.07089406 0.2857304
Moved 1809.579 342.7105 504.4193 -0.04002189 0.2994323
Moved 1809.61 312.0664 504 -0.1109574 0.2983539
Moved 1809.641 290.3729 506.8039 -0.1611738 0.3055655
Moved 1809.671 276.9689 508 -0.1922016 0.3086419
Moved 1809.702 268.5 509 -0.2118056 0.3112139
Moved 1809.733 267 511 -0.2152778 0.3163579
Ended 1809.764 265.5 514 -0.21875 0.324074
Candidates 1809.886 13 for sorry fire your good door fort how got site support sort file
Began 1811.453 376 377 0.03703703 -0.02829226
Stationary 1811.484 376 377 0.03703703 -0.02829226
Moved 1811.515 402.2744 343.407 0.09785741 -0.114694
Moved 1811.545 434.3676 294.469 0.1721473 -0.2405634
Moved 1811.576 457.7623 263.5803 0.2263016 -0.3200097
Moved 1811.607 470.6809 246.3191 0.2562059 -0.3644057
Ended 1811.637 479.8521 238.4319 0.2774354 -0.3846917
Accept 1811.699 3 your
Began 1813.143 527 518 0.3865741 0.3343621
Stationary 1813.173 527 518 0.3865741 0.3343621
Moved 1813.204 516.913 518 0.3632245 0.3343621
Moved 1813.235 512.3438 518 0.3526476 0.3343621
Moved 1813.266 502.3975 518 0.3296237 0.3343621
Moved 1813.296 489.4285 525.5143 0.299603 0.353689
Moved 1813.327 476.033 528.3934 0.2685948 0.3610941
Moved 1813.358 463.631 529.8948 0.2398866 0.3649558
Moved 1813.389 446.6414 531.7655 0.2005587 0.3697672
Moved 1813.419 431.1834 534 0.1647764 0.3755144
Moved 1813.45 416.5 535 0.130787 0.3780863
Moved 1813.481 403.7742 536 0.1013293 0.3806583
Moved 1813.511 389.335 537.9163 0.06790499 0.385587
Moved 1813.542 368.0719 539 0.01868496 0.3883744
Moved 1813.573 362.8414 539 0.006577273 0.3883744
Moved 1813.604 348.1041 539 -0.0275369 0.3883744
Moved 1813.634 333.7357 539 -0.06079704 0.3883744
Moved 1813.665 320.3681 539 -0.09174059 0.3883744
Moved 1813.696 309.0019 539 -0.1180511 0.3883744
Moved 1813.726 296.4666 530.6166 -0.1470679 0.3668122
Moved 1813.757 283.7907 527.7581 -0.1764104 0.3594601
Moved 1813.788 275.5025 525.1675 -0.1955961 0.3527969
Moved 1813.819 264.387 521.6935 -0.2213264 0.3438618
Moved 1813.849 253.4358 518.4786 -0.2466764 0.335593
