in sharp contrast to your words
in sharp contrast to your words
FixStart
List

0.6 0.6
432 388.8
Moved 499.553 328.1985 452.7023 -0.07361462 0.1664152
Moved 499.5838 320.7379 460.2621 -0.09088437 0.1858592
Moved 499.6145 314.1421 465.5719 -0.1061525 0.1995161
Moved 499.6451 308.6672 470.3328 -0.118826 0.2117613
Moved 499.6759 304.4128 473.7936 -0.1286741 0.2206624
Moved 499.7066 300.3864 477 -0.1379944 0.2289094
Moved 499.7373 299 479.4888 -0.1412037 0.2353107
Moved 499.768 298 481.1829 -0.1435185 0.239668
Moved 499.7988 341.4608 491.3754 -0.04291485 0.2658832
Moved 499.8295 439.4306 494 0.183867 0.2726337
Moved 499.8603 460.0858 486.351 0.23168 0.2529604
Moved 499.891 500.5 481 0.3252315 0.2391974
Moved 499.9217 521.1384 476.9692 0.3730057 0.2288302
Moved 499.9524 543.345 475.1092 0.4244098 0.2240461
Moved 499.9832 558.8781 473 0.460366 0.2186213
Moved 500.0139 568.9438 470.764 0.4836664 0.2128704
Moved 500.0446 574.3644 471 0.4962138 0.2134772
Moved 500.0753 577.0588 469.9412 0.5024511 0.210754
Moved 500.106 579.9288 470 0.5090945 0.2109053
Moved 500.1368 580.5 470 0.5104166 0.2109053
Moved 500.1675 580 470 0.5092593 0.2109053
Moved 500.1983 538.3701 470 0.4128938 0.2109053
Moved 500.229 500.7608 470 0.3258351 0.2109053
Moved 500.2598 460.9353 474.3425 0.2336465 0.2220743
Moved 500.2905 421.6335 477 0.1426701 0.2289094
Moved 500.3212 372 477 0.02777775 0.2289094
Moved 500.3519 357.0315 467.2813 -0.006871521 0.2039127
Moved 500.3826 334.3346 465.2224 -0.05941068 0.1986172
Moved 500.4134 317.3891 464 -0.09863635 0.1954732
Moved 500.4441 305 464 -0.1273148 0.1954732
Moved 500.4748 295.9063 464 -0.1483651 0.1954732
Moved 500.5056 288.2877 464 -0.1660006 0.1954732
Moved 500.5363 284.2223 464 -0.1754114 0.1954732
Moved 500.567 281.7552 464 -0.1811222 0.1954732
Moved 500.5977 281 464 -0.1828704 0.1954732
Stationary 500.6284 281 464 -0.1828704 0.1954732
Stationary 500.6592 281 464 -0.1828704 0.1954732
Moved 500.6899 305.8201 446.6574 -0.1254164 0.1508677
Moved 500.7206 332.3659 419.2961 -0.0639678 0.08049391
Moved 500.7514 351.1145 397.4397 -0.02056827 0.02427898
Moved 500.7821 360.4919 383.6774 0.001138647 -0.0111178
Moved 500.8128 368.0922 364.6312 0.01873195 -0.06010495
Moved 500.8435 368 359 0.01851857 -0.07458848
Moved 500.8743 369 351.7747 0.02083332 -0.0931721
Moved 500.905 370.9433 345.1701 0.02533167 -0.1101593
Moved 500.9358 371 338.363 0.025463 -0.1276672
Moved 500.9665 372 333.6071 0.02777775 -0.1398996
Moved 500.9972 372 330.5 0.02777775 -0.147891
Moved 501.0279 373 327.9225 0.0300926 -0.1545204
Moved 501.0587 373 326.0474 0.0300926 -0.1593433
Moved 501.0894 363.9072 325 0.009044508 -0.1620371
Moved 501.1201 347.0458 325 -0.02998655 -0.1620371
Moved 501.1509 320.0986 342.9507 -0.09236441 -0.1158675
