is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 4605.949 450 552 0.2083333 0.4218106
Stationary 4605.979 450 552 0.2083333 0.4218106
Moved 4606.01 450 553.3331 0.2083333 0.4252392
Stationary 4606.041 450 553.3331 0.2083333 0.4252392
Stationary 4606.072 450 553.3331 0.2083333 0.4252392
Stationary 4606.103 450 553 0.2083333 0.4243826
Moved 4606.133 450 540.9441 0.2083333 0.3933747
Moved 4606.164 450 531 0.2083333 0.3677982
Moved 4606.195 450 517.4422 0.2083333 0.3329274
Moved 4606.226 450 507.3745 0.2083333 0.307033
Moved 4606.256 450 498.6132 0.2083333 0.2844988
Moved 4606.287 450 486.835 0.2083333 0.254205
Moved 4606.317 450 478.1799 0.2083333 0.2319442
Moved 4606.348 450 466.5 0.2083333 0.2019032
Moved 4606.379 450 458.9495 0.2083333 0.1824832
Moved 4606.41 450 449.8138 0.2083333 0.1589861
Moved 4606.44 449.1519 439.6077 0.2063701 0.1327357
Moved 4606.471 448 430.4628 0.2037037 0.1092149
Moved 4606.502 444.3823 419.9114 0.1953294 0.08207662
Moved 4606.533 441.8354 409.3414 0.1894337 0.05489047
Moved 4606.563 439.2874 401.5748 0.1835356 0.03491453
Moved 4606.594 436.7384 394.2152 0.1776351 0.01598554
Moved 4606.625 434.4633 386.9265 0.1723687 -0.002761142
Moved 4606.656 431.9285 379.7853 0.1665011 -0.02112824
Moved 4606.687 430.3922 370.569 0.162945 -0.04483297
Moved 4606.717 427.8428 361.5284 0.1570434 -0.06808543
Moved 4606.748 427 354.0552 0.1550926 -0.08730672
Moved 4606.779 425 346.0932 0.150463 -0.107785
Moved 4606.81 424 338.5 0.1481481 -0.127315
Moved 4606.84 423 331.8983 0.1458333 -0.1442947
Moved 4606.871 422 326.3895 0.1435185 -0.1584634
Moved 4606.902 420.1919 316.5757 0.1393331 -0.1837045
Moved 4606.932 418.6474 309.2949 0.1357579 -0.202431
Moved 4606.963 417.0955 299.3818 0.1321654 -0.2279276
Moved 4606.994 415.8741 291.6223 0.1293382 -0.2478852
Moved 4607.024 414 283.5756 0.125 -0.2685814
Moved 4607.055 411.7413 276.4825 0.1197715 -0.2868248
Moved 4607.086 410.1942 270.3884 0.1161903 -0.302499
Moved 4607.117 407.9764 262.9055 0.1110565 -0.3217453
Moved 4607.147 406 257.2224 0.1064815 -0.3363622
Moved 4607.178 403.8722 250.7444 0.101556 -0.3530238
Moved 4607.209 402.3203 244.6407 0.09796371 -0.3687224
Moved 4607.24 401.032 241.032 0.09498139 -0.3780042
Moved 4607.271 401 237.5054 0.09490739 -0.3870747
Moved 4607.301 400 233.9574 0.09259263 -0.3962001
Moved 4607.332 400 230.4125 0.09259263 -0.4053177
Moved 4607.363 400 227.9573 0.09259263 -0.4116326
Stationary 4607.394 400 227.9573 0.09259263 -0.4116326
Moved 4607.424 400 226.6761 0.09259263 -0.4149276
Moved 4607.455 399 226 0.09027779 -0.4166668
Moved 4607.486 394.4862 233.5691 0.0798291 -0.3971989
Moved 4607.517 385.0724 251.6233 0.05803794 -0.3507632
Moved 4607.547 375.928 272.144 0.03687044 -0.2979836
Moved 4607.578 368.059 288.5684 0.01865496 -0.2557399
