want to join us for lunch
want to join us for lunch
FixStart
List

0.6 0.6
432 388.8
Moved 3459.771 461.7273 517.3638 0.2354798 0.3327256
Moved 3459.802 458.9599 532.2004 0.229074 0.3708857
Moved 3459.832 457.4839 543.0645 0.225657 0.3988284
Moved 3459.863 457 550.5682 0.2245371 0.4181281
Moved 3459.894 456 555.1017 0.2222222 0.4297884
Moved 3459.925 456 557.5 0.2222222 0.4359567
Moved 3459.955 456 559.1292 0.2222222 0.4401469
Moved 3459.986 455 561.0128 0.2199073 0.4449917
Stationary 3460.017 455 561.0128 0.2199073 0.4449917
Moved 3460.047 455 562.2394 0.2199073 0.4481465
Stationary 3460.078 455 562.2394 0.2199073 0.4481465
Moved 3460.109 455 563.1346 0.2199073 0.4504489
Moved 3460.139 455 564.0956 0.2199073 0.4529206
Stationary 3460.17 455 564.0956 0.2199073 0.4529206
Stationary 3460.201 455 564.0956 0.2199073 0.4529206
Moved 3460.231 455 565.0063 0.2199073 0.4552631
Moved 3460.262 453.9495 565 0.2174756 0.4552468
Stationary 3460.293 454 565 0.2175926 0.4552468
Stationary 3460.324 454 565 0.2175926 0.4552468
Moved 3460.354 453 553.3815 0.2152778 0.425364
Moved 3460.385 444.9976 506.9847 0.1967537 0.3060307
Moved 3460.416 440.8506 480.7202 0.187154 0.2384778
Moved 3460.447 433.7161 435.7291 0.1706392 0.1227601
Moved 3460.477 430.0976 396.4633 0.1622629 0.02176775
Moved 3460.508 429 370.829 0.1597223 -0.04416423
Moved 3460.539 428 347.1931 0.1574074 -0.1049561
Moved 3460.569 427 329.6761 0.1550926 -0.1500101
Moved 3460.6 427 315.481 0.1550926 -0.1865202
Moved 3460.631 427 306.8756 0.1550926 -0.2086533
Moved 3460.661 427 298.3965 0.1550926 -0.2304617
Moved 3460.692 427 291.2927 0.1550926 -0.2487328
Moved 3460.723 427 284.3309 0.1550926 -0.2666388
Moved 3460.754 427 281.2111 0.1550926 -0.274663
Moved 3460.784 427 277.4448 0.1550926 -0.2843499
Moved 3460.815 427 275.8401 0.1550926 -0.2884772
Moved 3460.846 427 274.5 0.1550926 -0.2919239
Ended 3460.876 427 274.5 0.1550926 -0.2919239
Cancel 3460.938
Began 3461.614 483 455 0.2847222 0.172325
Stationary 3461.644 483 455 0.2847222 0.172325
Stationary 3461.675 483 455 0.2847222 0.172325
Stationary 3461.706 483 455 0.2847222 0.172325
