experience is hard to come by
experience is hard to come by
Basic
List

0.6 0.6
432 388.8
Began 3350.791 345 343 -0.03472224 -0.1157408
Stationary 3350.822 345 343 -0.03472224 -0.1157408
Moved 3350.853 325.3279 374.3441 -0.08025939 -0.03512324
Moved 3350.884 307.9937 413.8175 -0.1203848 0.06640301
Moved 3350.914 292.7933 448.0548 -0.1555711 0.1544619
Moved 3350.945 268.5423 497.9155 -0.2117077 0.2827043
Moved 3350.976 264.4151 507.1699 -0.2212614 0.3065068
Moved 3351.007 260.9813 514.0375 -0.2292101 0.3241704
Moved 3351.037 253.3829 529.5428 -0.2467989 0.3640504
Moved 3351.068 247.8851 540.2297 -0.2595251 0.3915372
Moved 3351.099 245.3831 546.5422 -0.2653169 0.407773
Moved 3351.129 239.424 553.72 -0.2791111 0.4262344
Moved 3351.16 231.2289 562.7711 -0.2980813 0.4495141
Moved 3351.191 220.2329 573.7672 -0.3235351 0.4777961
Moved 3351.222 210.704 582.296 -0.3455925 0.4997323
Moved 3351.252 206 586 -0.3564815 0.5092591
Moved 3351.283 194.1935 595.2043 -0.3838114 0.5329329
Moved 3351.314 185 601 -0.4050926 0.5478393
Moved 3351.344 173.6747 605.1085 -0.4313087 0.5584065
Moved 3351.375 164.135 609.4662 -0.453391 0.5696147
Moved 3351.406 154.2865 612.2378 -0.4761885 0.5767431
Moved 3351.437 149.0403 614 -0.4883327 0.5812756
Moved 3351.468 144.4508 615 -0.4989564 0.5838476
Moved 3351.498 141.8355 616.1645 -0.5050104 0.5868427
Ended 3351.529 140 616 -0.5092592 0.5864196
Ended 3351.56 705 161 0.7986111 -0.5838477
Accept 3351.591 3 hard
Began 3352.697 263 437 -0.2245371 0.1260288
Stationary 3352.728 263 437 -0.2245371 0.1260288
Stationary 3352.759 263 437 -0.2245371 0.1260288
Stationary 3352.789 263 437 -0.2245371 0.1260288
Stationary 3352.82 263 437 -0.2245371 0.1260288
Stationary 3352.851 263 437 -0.2245371 0.1260288
Stationary 3352.881 263 437 -0.2245371 0.1260288
Stationary 3352.912 263 437 -0.2245371 0.1260288
Stationary 3352.943 263 437 -0.2245371 0.1260288
Stationary 3352.974 263 437 -0.2245371 0.1260288
Moved 3353.004 298.2729 437 -0.1428867 0.1260288
Moved 3353.035 311.4794 437 -0.1123161 0.1260288
Moved 3353.066 331.2403 446.783 -0.06657347 0.1511907
Moved 3353.096 354.3746 450 -0.01302173 0.1594649
Moved 3353.127 382.8655 451 0.05292952 0.162037
Moved 3353.158 406.2577 452 0.107078 0.164609
Moved 3353.189 426.155 452 0.1531366 0.164609
Moved 3353.219 445.4095 452 0.1977073 0.164609
Moved 3353.25 467.7182 452 0.2493478 0.164609
Moved 3353.281 483 453.5 0.2847222 0.168467
Moved 3353.312 488.5184 454 0.2974962 0.169753
Moved 3353.342 496.0987 456 0.3150433 0.174897
Moved 3353.373 501.7737 459.7737 0.3281798 0.184603
Moved 3353.404 506.2585 461.2585 0.3385613 0.1884219
Moved 3353.435 509.0192 462 0.344952 0.1903292
Moved 3353.465 511.7808 463.7808 0.3513444 0.1949093
Moved 3353.496 512 465.0948 0.3518519 0.1982891
Moved 3353.527 513 465 0.3541666 0.1980452
Stationary 3353.558 513 465 0.3541666 0.1980452
Moved 3353.588 513 466 0.3541666 0.2006171
Ended 3353.619 513 466 0.3541666 0.2006171
Candidates 3353.711 13 do so who full sp well di el shop go ap sell still
Began 3355.279 98 359 -0.6064815 -0.07458848
Stationary 3355.31 98 359 -0.6064815 -0.07458848
Stationary 3355.34 98 359 -0.6064815 -0.07458848
Stationary 3355.371 98 359 -0.6064815 -0.07458848
Ended 3355.402 98 359 -0.6064815 -0.07458848
Accept 3355.463 0 do
Delete 3355.463 LeftSwipe
Began 3356.201 265 524 -0.2199074 0.3497942
Stationary 3356.232 265 524 -0.2199074 0.3497942
Stationary 3356.262 265 524 -0.2199074 0.3497942
Stationary 3356.293 265 524 -0.2199074 0.3497942
Stationary 3356.324 265 524 -0.2199074 0.3497942
Stationary 3356.354 265 524 -0.2199074 0.3497942
Stationary 3356.385 265 524 -0.2199074 0.3497942
Stationary 3356.416 265 524 -0.2199074 0.3497942
Moved 3356.447 265 512.2943 -0.2199074 0.3196867
Moved 3356.478 273.4952 509.8762 -0.2002427 0.3134676
Moved 3356.508 280.4197 504.3868 -0.1842136 0.2993487
Moved 3356.539 293.5 496.5 -0.1539352 0.2790637
Moved 3356.57 315.0562 490.9839 -0.1040367 0.2648764
Moved 3356.6 340.9295 486.23 -0.04414474 0.2526492
Moved 3356.631 367.7871 485 0.01802584 0.2494856
Moved 3356.662 390.88 485 0.07148147 0.2494856
Moved 3356.693 420.1783 485 0.1393016 0.2494856
Moved 3356.723 446.1694 485 0.1994662 0.2494856
Moved 3356.754 471.9655 485 0.2591794 0.2494856
Moved 3356.785 490.8801 485 0.3029632 0.2494856
Moved 3356.815 505.4867 495.5947 0.3367748 0.2767352
Moved 3356.846 515.1939 499.0646 0.3592451 0.28566
Moved 3356.877 522.6385 501.8193 0.3764779 0.292745
Moved 3356.908 526.4818 503 0.3853745 0.2957818
Moved 3356.938 529.0174 504 0.391244 0.2983539
Moved 3356.969 531.5 505 0.3969907 0.3009258
Moved 3357 533.5 506 0.4016204 0.3034978
Moved 3357.031 534.3151 506 0.4035071 0.3034978
Moved 3357.062 535 506.7781 0.4050927 0.3054991
Stationary 3357.092 535 507 0.4050927 0.3060699
Ended 3357.123 535 507 0.4050927 0.3060699
Candidates 3357.184 13 to will trip do who ep top well rep rip rio too group
Began 3358.414 193 173 -0.3865741 -0.5529835
Stationary 3358.445 193 173 -0.3865741 -0.5529835
Stationary 3358.475 193 173 -0.3865741 -0.5529835
Stationary 3358.506 193 173 -0.3865741 -0.5529835
Stationary 3358.537 193 173 -0.3865741 -0.5529835
Stationary 3358.568 193 173 -0.3865741 -0.5529835
Stationary 3358.598 193 173 -0.3865741 -0.5529835
Stationary 3358.629 193 173 -0.3865741 -0.5529835
Stationary 3358.66 193 173 -0.3865741 -0.5529835
Moved 3358.691 211.8366 188.0404 -0.3429709 -0.5142994
Moved 3358.721 231.8042 208.9191 -0.2967496 -0.4605992
Moved 3358.752 251.7314 232.7736 -0.2506217 -0.399245
Moved 3358.783 279.699 272.3184 -0.1858819 -0.297535
Moved 3358.813 312.2648 315.3354 -0.1104981 -0.1868944
Moved 3358.844 343.502 348.7291 -0.03818984 -0.1010056
Moved 3358.875 368.3437 376.8124 0.01931409 -0.02877459
Moved 3358.906 393.0325 402.0325 0.07646421 0.0360919
Moved 3358.937 411.3339 420.5719 0.1188284 0.08377538
Moved 3358.967 432.5 436.5 0.167824 0.1247428
Moved 3358.998 444.7814 447.8251 0.1962534 0.1538711
Moved 3359.029 454.8652 456.8652 0.2195953 0.1771224
Moved 3359.059 464.9003 466.9003 0.2428249 0.2029328
Moved 3359.09 473.7114 474.7114 0.2632209 0.2230231
Moved 3359.121 478.2715 479.6357 0.2737765 0.2356886
Moved 3359.152 482.7852 482.3926 0.284225 0.2427792
Moved 3359.182 485.1486 485.1486 0.2896959 0.2498678
Moved 3359.213 487.4658 486 0.2950598 0.2520575
Moved 3359.244 488.3567 487.3567 0.2971219 0.255547
Moved 3359.275 490.5 487 0.3020833 0.2546296
Moved 3359.305 492.5 487 0.306713 0.2546296
Moved 3359.336 493.3069 487 0.3085809 0.2546296
Moved 3359.367 493 473.6976 0.3078704 0.2204156
Moved 3359.397 482.9873 441.8153 0.2846927 0.1384138
Moved 3359.428 459 386.5 0.2291666 -0.003858064
Moved 3359.459 440.4964 353.0557 0.1863342 -0.08987748
Moved 3359.49 429.512 318.7068 0.1609075 -0.1782234
Moved 3359.521 422.8129 289.6581 0.1454003 -0.252937
Moved 3359.551 421 270.9359 0.1412037 -0.301091
Moved 3359.582 419.2207 254.8827 0.1370849 -0.3423799
Moved 3359.613 419 246.9113 0.1365741 -0.3628826
Moved 3359.643 418 242.6952 0.1342593 -0.3737264
Moved 3359.674 418 240.2813 0.1342593 -0.3799351
Moved 3359.705 418 239.5 0.1342593 -0.3819445
Moved 3359.736 414.7772 240 0.126799 -0.3806585
Moved 3359.766 390.3756 270.5305 0.07031381 -0.3021335
Moved 3359.797 351.9038 312.8847 -0.01874124 -0.1931978
Moved 3359.828 320.3069 358.1548 -0.0918822 -0.07676238
Moved 3359.859 290.8564 396.8582 -0.1600547 0.02278343
Moved 3359.889 267.5 429.5 -0.2141203 0.1067386
Moved 3359.92 250.6481 454.6335 -0.2531295 0.1713824
Moved 3359.951 239.382 473.045 -0.2792084 0.218737
Moved 3359.981 230.3064 487.2582 -0.3002167 0.2552936
Moved 3360.012 224.9846 496.0463 -0.3125358 0.2778969
Moved 3360.043 222.523 500.2155 -0.3182338 0.2886201
Moved 3360.074 221 506 -0.3217593 0.3034978
Moved 3360.104 218.6625 507.3375 -0.3271703 0.306938
Moved 3360.135 218.2828 509.7172 -0.328049 0.3130585
Moved 3360.166 218 511.0874 -0.3287037 0.3165828
Moved 3360.197 218 513.5 -0.3287037 0.3227879
Ended 3360.227 218 514 -0.3287037 0.324074
Accept 3360.289 0 to
Candidates 3360.289 13 come cover convert coins comes zone confess vibe alone congress combat zones clones
Began 3361.18 348 241 -0.0277778 -0.3780865
Stationary 3361.211 348 241 -0.0277778 -0.3780865
Stationary 3361.242 348 241 -0.0277778 -0.3780865
Stationary 3361.272 348 241 -0.0277778 -0.3780865
Stationary 3361.303 348 241 -0.0277778 -0.3780865
Stationary 3361.334 348 241 -0.0277778 -0.3780865
Stationary 3361.365 348 241 -0.0277778 -0.3780865
Stationary 3361.396 348 241 -0.0277778 -0.3780865
