he is still on our team
he is still on our team
FixStart
Radial

0.6 0.6
432 388.8
Moved 656.5142 251.7561 592.3781 -0.2505647 0.5256636
Moved 656.5449 240.5346 588.6337 -0.2765403 0.5160329
Moved 656.5757 233.1418 585.0709 -0.2936532 0.5068696
Moved 656.6064 225.2591 580.4443 -0.3119002 0.4949699
Moved 656.6371 219.5152 573.7728 -0.3251963 0.4778105
Moved 656.6678 212.1145 564.8193 -0.3423275 0.4547821
Moved 656.6986 206.4575 554.7625 -0.3554225 0.4289158
Moved 656.7293 198.6314 539.2628 -0.3735386 0.3890503
Moved 656.76 185.3716 509.929 -0.4042324 0.3136032
Moved 656.7908 181.4578 501.9155 -0.4132922 0.2929925
Moved 656.8215 176.565 490.13 -0.4246181 0.26268
Moved 656.8522 174 481.0707 -0.4305556 0.2393792
Moved 656.8829 174 475 -0.4305556 0.2237653
Moved 656.9136 174 470.912 -0.4305556 0.2132511
Moved 656.9443 174 468.3562 -0.4305556 0.2066774
Moved 656.9752 181.1162 466.1105 -0.4140829 0.2009013
Moved 657.0059 186.8521 465 -0.4008054 0.1980452
Moved 657.0366 192.9389 463.0306 -0.3867156 0.1929798
Moved 657.0673 199.5 463 -0.3715278 0.1929011
Moved 657.098 207.8794 462.2802 -0.352131 0.1910497
Moved 657.1287 221.544 459.7427 -0.3205 0.1845232
Moved 657.1594 239.1291 455.6236 -0.2797937 0.1739289
Moved 657.1902 261.0064 451.3319 -0.2291519 0.1628906
Moved 657.2209 282.244 446.7927 -0.1799908 0.1512157
Moved 657.2516 305.1262 440.6782 -0.1270227 0.1354891
Moved 657.2823 323.7311 435.5672 -0.08395568 0.1223436
Moved 657.3131 339.5985 429.4672 -0.04722565 0.1066542
Moved 657.3439 352.3586 424.2138 -0.01768832 0.09314238
Moved 657.3746 370.4149 413.7234 0.02410859 0.06616086
Moved 657.4053 382.4819 404.1385 0.05204151 0.04150862
Moved 657.4359 392.6843 396.4868 0.07565816 0.02182799
Moved 657.4667 400.0791 389.9209 0.09277572 0.004940504
Moved 657.4974 412.0561 379.9579 0.1205003 -0.02068453
Moved 657.5281 421.2883 373.2838 0.1418712 -0.03785043
Moved 657.5589 430.5091 365.6182 0.1632154 -0.05756653
Moved 657.5896 438.1792 360.4104 0.1809703 -0.07096098
Moved 657.6204 449.7563 353.1828 0.2077692 -0.08955049
Moved 657.6511 459.9667 349.5083 0.2314045 -0.09900136
Moved 657.6818 466.1535 345.9489 0.2457256 -0.1081562
Moved 657.7126 471.4233 342.7884 0.2579243 -0.116285
Moved 657.7433 477.6658 339.1671 0.2723745 -0.1255991
Moved 657.774 481.3875 336.6124 0.2809897 -0.1321697
Moved 657.8047 491.6772 336 0.3048082 -0.1337449
Ended 657.8354 495.5 336 0.3136574 -0.1337449
Candidates 657.9276 13 team dream ran yen teen em green en realm term an am dean
Began 658.4193 362 511 0.004629592 0.3163579
Moved 658.45 374.3965 511 0.03332525 0.3163579
Moved 658.4807 418.0098 500.3738 0.134282 0.2890271
Moved 658.5114 453.5376 500 0.2165221 0.2880658
Moved 658.5422 477.1064 500 0.2710797 0.2880658
Moved 658.5728 501.4936 498.834 0.3275314 0.2850669
Moved 658.6036 523.4713 499 0.3784058 0.2854938
Ended 658.6343 544 497.5 0.4259259 0.2816358
Accept 658.6958 0 team
Began 659.2796 350 496 -0.02314816 0.2777777
Stationary 659.3103 350 496 -0.02314816 0.2777777
Moved 659.341 415.76 496 0.1290741 0.2777777
Moved 659.3718 523.2893 508.6083 0.3779845 0.3102065
Moved 659.4025 585.3774 513 0.5217069 0.321502
Ended 659.4332 612.2343 513 0.5838756 0.321502
PhraseEnd 659.4946
