I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 1436.891 448.5299 278.3179 0.2049303 -0.2821041
Moved 1436.922 436.9256 274.5851 0.1780685 -0.2917049
Moved 1436.953 425.865 269.7162 0.1524653 -0.3042277
Moved 1436.983 416.5187 267 0.1308304 -0.311214
Moved 1437.014 412.4288 265.2144 0.121363 -0.3158065
Moved 1437.045 405.8134 265 0.1060497 -0.3163581
Moved 1437.076 399.051 265 0.09039591 -0.3163581
Moved 1437.106 389.9629 265 0.06935865 -0.3163581
Moved 1437.137 384.238 265 0.05610645 -0.3163581
Moved 1437.168 377.504 265 0.04051854 -0.3163581
Moved 1437.198 373.3748 265 0.03096034 -0.3163581
Moved 1437.229 370.5053 265 0.0243178 -0.3163581
Moved 1437.26 368.0071 265 0.01853496 -0.3163581
Moved 1437.291 366.1347 265 0.01420071 -0.3163581
Moved 1437.321 364.5 265 0.01041671 -0.3163581
Moved 1437.352 363.9143 265 0.0090608 -0.3163581
Moved 1437.383 364 273.5738 0.009259283 -0.2943061
Moved 1437.414 364 274.0148 0.009259283 -0.2931719
Moved 1437.444 364 276.9048 0.009259283 -0.2857387
Moved 1437.475 364 280.4233 0.009259283 -0.2766892
Moved 1437.506 364 284.5898 0.009259283 -0.2659726
Moved 1437.536 374.3336 290.3336 0.03317952 -0.2511998
Moved 1437.567 376.7954 295.5908 0.03887822 -0.2376782
Moved 1437.598 377 305.0593 0.03935188 -0.2133248
Moved 1437.629 365.1812 320.3868 0.01199345 -0.1739024
Moved 1437.659 348.8912 341.4603 -0.02571478 -0.119701
Moved 1437.69 324.3235 360.0074 -0.08258457 -0.07199746
Moved 1437.721 296.8963 379.3408 -0.1460735 -0.02227179
Moved 1437.752 271.893 395.1918 -0.2039513 0.01849751
Moved 1437.782 241.0158 414.8458 -0.2754264 0.06904782
Moved 1437.813 230.8964 422.074 -0.298851 0.08763894
Moved 1437.844 214.5809 433.6514 -0.3366182 0.1174161
Moved 1437.875 203.7495 442.2505 -0.3616908 0.1395331
Moved 1437.905 197.3302 447.4465 -0.3765504 0.1528973
Moved 1437.936 190.683 454.317 -0.3919375 0.1705682
Moved 1437.967 185.9465 458.0268 -0.4029017 0.18011
Moved 1437.997 182.0992 461.9008 -0.4118073 0.1900739
Moved 1438.028 179.5811 465.8378 -0.4176363 0.2002001
Moved 1438.059 176.7031 468.2969 -0.4242984 0.206525
Moved 1438.09 173.8348 471.1652 -0.4309379 0.2139021
Moved 1438.12 172.2026 473.7974 -0.4347161 0.2206722
Moved 1438.151 170.3942 476 -0.4389023 0.2263374
Moved 1438.182 169 478.4794 -0.4421296 0.2327144
Moved 1438.212 166.6493 481.3507 -0.4475711 0.2400995
Moved 1438.243 166 484.7878 -0.4490741 0.2489398
Moved 1438.274 165 488.766 -0.4513889 0.2591717
Moved 1438.305 164 492.2773 -0.4537037 0.2682029
Moved 1438.335 164 495.4984 -0.4537037 0.2764874
Moved 1438.366 164 499.9977 -0.4537037 0.2880598
