the union will go on strike
the union will go on strike
Basic
Radial

0.6 0.6
432 388.8
NextCandidatePanel 1557.178
Began 1557.793 439 334 0.1828703 -0.1388889
Stationary 1557.823 439 334 0.1828703 -0.1388889
Stationary 1557.854 439 334 0.1828703 -0.1388889
Stationary 1557.885 439 334 0.1828703 -0.1388889
Stationary 1557.915 439 334 0.1828703 -0.1388889
Stationary 1557.946 439 334 0.1828703 -0.1388889
Stationary 1557.977 439 334 0.1828703 -0.1388889
Stationary 1558.008 439 334 0.1828703 -0.1388889
Stationary 1558.038 439 334 0.1828703 -0.1388889
Moved 1558.069 428.0104 334 0.1574316 -0.1388889
Moved 1558.1 416.706 326.1412 0.1312639 -0.1591018
Moved 1558.13 401.3648 324.7275 0.09575188 -0.162738
Moved 1558.161 377.341 321.763 0.04014114 -0.1703627
Moved 1558.192 359.4549 321 -0.00126188 -0.1723252
Moved 1558.223 346.1085 321 -0.03215626 -0.1723252
Moved 1558.253 337.9478 321 -0.05104666 -0.1723252
Moved 1558.284 332.2 321 -0.0643518 -0.1723252
Moved 1558.315 328.733 321 -0.07237737 -0.1723252
Moved 1558.345 326.5 321 -0.07754628 -0.1723252
Ended 1558.376 325.9068 321 -0.07891953 -0.1723252
Cancel 1558.468
Began 1558.683 304 463 -0.1296296 0.1929011
Stationary 1558.714 304 463 -0.1296296 0.1929011
Stationary 1558.745 304 463 -0.1296296 0.1929011
Stationary 1558.775 304 463 -0.1296296 0.1929011
Stationary 1558.806 304 463 -0.1296296 0.1929011
Stationary 1558.837 304 463 -0.1296296 0.1929011
Stationary 1558.867 304 463 -0.1296296 0.1929011
Stationary 1558.898 304 463 -0.1296296 0.1929011
Stationary 1558.929 304 463 -0.1296296 0.1929011
Stationary 1558.96 304 463 -0.1296296 0.1929011
Moved 1558.99 329.1187 471 -0.07148439 0.2134772
Moved 1559.021 353.6961 475.616 -0.01459236 0.2253498
Moved 1559.052 381.1163 479.6796 0.04888038 0.2358012
Moved 1559.082 402.8276 482.5468 0.09913801 0.2431758
Moved 1559.113 419.5366 485.4228 0.1378161 0.2505729
Moved 1559.144 426.8969 486 0.1548539 0.2520575
Moved 1559.175 433.681 487 0.1705578 0.2546296
Moved 1559.205 440.4243 487 0.1861674 0.2546296
Moved 1559.236 443.1714 487 0.1925264 0.2546296
Moved 1559.267 447.103 488 0.2016272 0.2572016
Moved 1559.297 449.9724 488 0.2082694 0.2572016
Moved 1559.328 452.8436 488 0.2149158 0.2572016
Moved 1559.359 455.4126 488 0.2208625 0.2572016
Moved 1559.389 457.5 488 0.2256945 0.2572016
Moved 1559.42 460.1573 488 0.2318457 0.2572016
Moved 1559.451 461.5 488 0.2349537 0.2572016
Moved 1559.482 463.123 488 0.2387107 0.2572016
Moved 1559.512 466.4346 488 0.2463765 0.2572016
Moved 1559.543 467.3745 488 0.2485521 0.2572016
Moved 1559.574 468.3738 488 0.2508653 0.2572016
Moved 1559.604 474.0312 478.9688 0.2639611 0.2339732
Moved 1559.635 492.5025 456.8091 0.3067186 0.176978
Moved 1559.665 520.1634 424.004 0.3707486 0.09260275
Moved 1559.697 534.8454 412.1237 0.4047347 0.06204636
Moved 1559.727 547.5671 404.2886 0.4341832 0.0418944
Moved 1559.758 553.728 400.272 0.4484445 0.03156371
Moved 1559.789 556.1874 399 0.4541374 0.02829214
Moved 1559.819 559.1156 396.8844 0.4609157 0.0228507
Stationary 1559.85 559.1156 396.8844 0.4609157 0.0228507
Moved 1559.881 561.4175 396 0.4662443 0.02057605
Moved 1559.912 562.3745 394.6255 0.4684595 0.01704079
Moved 1559.942 564.1481 394 0.472565 0.01543206
Moved 1559.973 565.1674 393 0.4749246 0.01285996
Ended 1560.004 566 392 0.4768519 0.01028803
Candidates 1560.065 13 full fill hill till will tool roll toll silk took doll soil folk
Began 1562.061 464 385 0.2407408 -0.007716127
Stationary 1562.092 464 385 0.2407408 -0.007716127
Moved 1562.123 435.0387 359.4728 0.1737007 -0.07337256
Moved 1562.153 417.742 340.6389 0.1336621 -0.1218137
Moved 1562.184 405.1876 326.2501 0.1046009 -0.1588218
Moved 1562.215 396.3795 315.5693 0.08421183 -0.1862931
Moved 1562.245 389.6263 305.2527 0.06857952 -0.2128275
Moved 1562.276 386.7684 299.5368 0.0619639 -0.2275288
Moved 1562.307 384.8916 294.7832 0.05761942 -0.2397551
Moved 1562.338 384 292.0109 0.0555556 -0.2468855
Moved 1562.368 383 289.3613 0.05324075 -0.2537004
Moved 1562.399 383 287.8069 0.05324075 -0.2576982
Moved 1562.43 383 286.5 0.05324075 -0.2610596
Moved 1562.46 383 285.7505 0.05324075 -0.2629873
Ended 1562.491 383 286 0.05324075 -0.2623458
Accept 1562.552 4 will
Began 1563.198 327 374 -0.07638887 -0.03600823
Stationary 1563.228 327 374 -0.07638887 -0.03600823
Stationary 1563.259 327 374 -0.07638887 -0.03600823
Stationary 1563.29 327 374 -0.07638887 -0.03600823
Stationary 1563.32 327 374 -0.07638887 -0.03600823
Stationary 1563.351 327 374 -0.07638887 -0.03600823
Stationary 1563.382 327 374 -0.07638887 -0.03600823
Stationary 1563.412 327 374 -0.07638887 -0.03600823
Stationary 1563.443 327 374 -0.07638887 -0.03600823
Stationary 1563.474 327 374 -0.07638887 -0.03600823
Stationary 1563.505 327 374 -0.07638887 -0.03600823
