I can still feel your presence
I can still feel your presence
Basic
Radial

Moved 1896.402 303.9454 478 -0.1297559 0.2314814
Moved 1896.432 302.4019 478.5981 -0.1333288 0.2330197
Moved 1896.463 300.9172 479 -0.1367656 0.2340534
Moved 1896.494 299.6673 479 -0.1396589 0.2340534
Stationary 1896.525 299.6673 479 -0.1396589 0.2340534
Moved 1896.555 299 479 -0.1412037 0.2340534
Moved 1896.586 297.5 479 -0.1446759 0.2340534
Moved 1896.617 297.3484 480 -0.1450268 0.2366254
Moved 1896.647 296.5 480 -0.1469907 0.2366254
Moved 1896.678 297 480 -0.1458333 0.2366254
Moved 1896.709 295.6652 480 -0.1489231 0.2366254
Stationary 1896.74 295.6652 480 -0.1489231 0.2366254
Stationary 1896.77 295.6652 480 -0.1489231 0.2366254
Moved 1896.801 294.9523 480 -0.1505735 0.2366254
Stationary 1896.832 294.9523 480 -0.1505735 0.2366254
Stationary 1896.862 295 480 -0.150463 0.2366254
Moved 1896.893 293.5 480 -0.1539352 0.2366254
Moved 1896.924 291.7071 480 -0.1580854 0.2366254
Moved 1896.955 283.6652 467.1641 -0.1767009 0.2036113
Moved 1896.985 272.4398 449.2697 -0.2026856 0.1575866
Moved 1897.016 259.976 428.3472 -0.231537 0.1037737
Moved 1897.047 249.5181 406.8756 -0.2557451 0.04854834
Moved 1897.078 243.5862 390.7585 -0.2694765 0.007094747
Moved 1897.108 238.497 375.4909 -0.281257 -0.03217367
Moved 1897.139 234.2035 365.407 -0.2911956 -0.05810961
Moved 1897.17 233 356.8475 -0.2939815 -0.08012473
Moved 1897.2 231 351.3981 -0.2986111 -0.09414068
Moved 1897.231 231 348.8523 -0.2986111 -0.1006886
Moved 1897.262 231 348 -0.2986111 -0.1028807
Moved 1897.292 239.3098 348 -0.2793756 -0.1028807
Moved 1897.323 248.9115 362.7787 -0.2571493 -0.06486963
Moved 1897.354 263.1444 384.2889 -0.2242027 -0.009545142
Moved 1897.385 270.7409 400.7288 -0.2066183 0.0327385
Moved 1897.415 276.6983 418.2457 -0.192828 0.07779247
Moved 1897.446 281.7743 428.5485 -0.1810781 0.1042913
Moved 1897.477 285.9225 435.845 -0.1714757 0.123058
Moved 1897.508 293.3879 442.2586 -0.1541946 0.139554
Moved 1897.538 309.7394 444 -0.1163439 0.1440329
Moved 1897.569 327.8693 432.5967 -0.07437671 0.1147033
Moved 1897.6 352.0722 403.0845 -0.01835142 0.03879755
Moved 1897.63 371.2271 365.5205 0.02598872 -0.0578177
Moved 1897.661 393.5646 321.8707 0.07769594 -0.1700856
Moved 1897.692 412.0431 285.0627 0.1204702 -0.2647564
