a subject one can really enjoy
a subject one can really enjoy
Basic
Radial

0.6 0.6
432 388.8
Moved 547.8961 141.7364 418 -0.5052398 0.07716041
Moved 547.9267 140.8653 418 -0.5072562 0.07716041
Moved 547.9574 139.918 418 -0.5094491 0.07716041
Stationary 547.9882 139.918 418 -0.5094491 0.07716041
Stationary 548.0188 140 418 -0.5092592 0.07716041
Ended 548.0495 140 418 -0.5092592 0.07716041
Cancel 548.111
Began 548.3873 299 488 -0.1412037 0.2572016
Moved 548.418 312.0011 488 -0.1111085 0.2572016
Moved 548.4487 349.8826 498.9765 -0.02341991 0.2854333
Moved 548.4794 387.2389 505.3732 0.06305297 0.3018856
Moved 548.5101 422.958 515.064 0.1457361 0.3268106
Moved 548.5408 472.3033 529.2198 0.2599614 0.3632195
Moved 548.5715 501.5725 537.5104 0.3277141 0.384543
Moved 548.6022 516.9235 541.3847 0.3632489 0.3945079
Moved 548.6329 528.5907 543.9182 0.3902563 0.401024
Moved 548.6636 542.1705 546.7927 0.4216911 0.4084173
Moved 548.6943 553.0059 549 0.4467728 0.4140946
Moved 548.725 558.255 550 0.4589236 0.4166666
Moved 548.7557 561.0474 550 0.4653874 0.4166666
Moved 548.7864 562.922 550 0.4697268 0.4166666
Moved 548.8171 563.7963 551 0.4717506 0.4192385
Moved 548.8478 565.3464 551 0.475339 0.4192385
Stationary 548.8785 565 551 0.474537 0.4192385
Moved 548.9092 566.0873 551 0.4770539 0.4192385
Stationary 548.9399 566.0873 551 0.4770539 0.4192385
Stationary 548.9706 566.0873 551 0.4770539 0.4192385
Stationary 549.0013 566.0873 551 0.4770539 0.4192385
Moved 549.032 557.3689 551 0.4568725 0.4192385
Moved 549.0627 533.7648 536.1849 0.4022334 0.3811339
Moved 549.0934 501.8874 518.6041 0.3284431 0.3359159
Moved 549.1241 471.9181 499.5768 0.2590697 0.2869773
Moved 549.1548 445.1744 478.5995 0.197163 0.2330232
Moved 549.1855 417.3347 446.4091 0.1327193 0.1502291
Moved 549.2162 396.7686 407.9983 0.08511245 0.05143585
Moved 549.2469 388.2806 365.3669 0.06546427 -0.05821283
Moved 549.2776 386.8416 332.6243 0.06213337 -0.1424273
Moved 549.3083 386 301.0665 0.06018519 -0.2235945
Moved 549.3391 386 282.2027 0.06018519 -0.2721125
Moved 549.3698 386 271.3131 0.06018519 -0.3001207
Moved 549.4005 386 261.4355 0.06018519 -0.3255261
Moved 549.4312 386 254.4652 0.06018519 -0.3434537
Moved 549.4619 386 246.5471 0.06018519 -0.3638191
Moved 549.4926 393.7607 242.4786 0.07814974 -0.3742833
Moved 549.5233 396.5 236 0.08449078 -0.3909465
Moved 549.554 397 231.1514 0.0856481 -0.4034174
Moved 549.5847 400.2917 226.4166 0.09326776 -0.4155952
Moved 549.6154 402.8589 223.141 0.09921054 -0.4240201
Moved 549.6461 405.7292 220.2709 0.1058546 -0.4314021
Moved 549.6768 407 219 0.1087963 -0.4346708
Stationary 549.7075 407 219 0.1087963 -0.4346708
Moved 549.7382 384.9413 274.1427 0.05773435 -0.2928429
Moved 549.7689 360.0069 322.7344 1.599391E-05 -0.1678641
Moved 549.7996 345.2713 348.2202 -0.03409415 -0.1023145
Moved 549.8303 332.9076 370.0027 -0.06271392 -0.04628931
Moved 549.861 316.3777 400.9956 -0.1009774 0.03342479
Moved 549.8917 307.9907 415.0155 -0.1203919 0.0694842
Moved 549.9224 302.2479 424.6281 -0.1336854 0.09420802
Moved 549.9531 294.2957 437.9824 -0.1520932 0.1285555
Moved 549.9838 283.803 450.4962 -0.1763819 0.160741
Moved 550.0145 278.6513 456.3487 -0.1883071 0.1757939
Moved 550.0452 273.45 461.55 -0.2003471 0.1891717
Moved 550.0759 264.3078 468.6923 -0.2215098 0.2075417
Moved 550.1066 257.1373 475.8627 -0.2381082 0.2259843
Moved 550.1373 252.3883 478.3058 -0.2491011 0.2322681
Moved 550.168 250.1351 480.8649 -0.2543169 0.2388501
Moved 550.1986 248.2666 482 -0.258642 0.2417695
Moved 550.2294 246.7017 483.2983 -0.2622647 0.2451088
Moved 550.2601 246 484.4872 -0.2638889 0.2481667
Moved 550.2908 244.6811 484 -0.2669419 0.2469135
Moved 550.3215 245 485.2249 -0.2662037 0.2500638
Moved 550.3522 243.6266 485 -0.269383 0.2494856
Moved 550.3829 244 486.2496 -0.2685185 0.2526996
Stationary 550.4136 244 486.2496 -0.2685185 0.2526996
Moved 550.4443 244 487 -0.2685185 0.2546296
Moved 550.475 244 488.3734 -0.2685185 0.258162
Stationary 550.5057 244 488 -0.2685185 0.2572016
Ended 550.5364 244 489.5 -0.2685185 0.2610596
Candidates 550.6592 13 round river give tribe robert time found tone five line younger fine done
Began 551.5496 408 440 0.1111111 0.1337448
Stationary 551.5804 408 440 0.1111111 0.1337448
Moved 551.6111 383.097 440 0.05346537 0.1337448
Moved 551.6418 353.6895 440 -0.01460761 0.1337448
Moved 551.6725 313.1372 440 -0.1084786 0.1337448
Moved 551.7032 275.4848 440 -0.1956371 0.1337448
Moved 551.7338 260.3467 440 -0.2306788 0.1337448
Moved 551.7645 249.7131 440 -0.2552938 0.1337448
Moved 551.7953 242.8833 440 -0.2711036 0.1337448
