the punishment should fit the crime
the punishment should fit the crime
Basic
Radial

0.6 0.6
432 388.8
Moved 947.3526 460.2791 560 0.2321276 0.4423867
Moved 947.3833 439.7502 560 0.1846069 0.4423867
Moved 947.4139 421.3499 547.41 0.1420137 0.410005
Moved 947.4448 407.0009 539.8005 0.1087985 0.3904334
Moved 947.4755 397.9077 528.6347 0.08774936 0.3617147
Moved 947.5063 395.2073 513.4509 0.08149832 0.3226616
Moved 947.537 395 495.377 0.08101851 0.2761753
Moved 947.5677 406.1042 475.8438 0.1067226 0.2259354
Moved 947.5984 414.232 462.6133 0.1255371 0.1919065
Moved 947.6292 427.7847 445.2512 0.1569091 0.1472508
Moved 947.6599 446.7099 425.1288 0.2007174 0.09549595
Moved 947.6907 462.5494 406.4506 0.2373828 0.04745518
Moved 947.7214 473.9995 396.0005 0.2638876 0.02057731
Moved 947.7521 487.4959 387.6281 0.2951293 -0.0009565785
Moved 947.7828 499.9383 383.0123 0.3239312 -0.01282845
Moved 947.8135 504.6302 381 0.3347922 -0.01800419
Moved 947.8443 505 379.5 0.3356481 -0.02186214
Moved 947.8751 495.1581 377.7698 0.3128659 -0.02631238
Moved 947.9058 479.5478 374.9095 0.276731 -0.03366894
Moved 947.9365 460.2163 372.3574 0.2319822 -0.04023312
Moved 947.9673 434.5 371 0.1724537 -0.04372435
Moved 947.998 407.207 370 0.1092754 -0.04629637
Moved 948.0287 381.7966 370 0.05045513 -0.04629637
Moved 948.0594 355.4225 370 -0.01059597 -0.04629637
Moved 948.0901 330.554 369.3649 -0.06816213 -0.04792994
Moved 948.1209 310.0377 368 -0.1156534 -0.05144041
Moved 948.1517 291.6402 365.9486 -0.1582403 -0.05671662
Moved 948.1824 276.235 363.0587 -0.1939005 -0.06414947
Moved 948.2131 264.5626 361.1876 -0.2209198 -0.0689621
Moved 948.2437 254.9547 359 -0.2431605 -0.07458848
Ended 948.2746 245.1245 354.5623 -0.2659155 -0.08600242
Candidates 948.3667 13 should would sound souls found world could sounds sold did dogs works douglas
Began 948.9506 325 341 -0.08101851 -0.1208849
Stationary 948.9814 325 341 -0.08101851 -0.1208849
Moved 949.0121 340.1972 341 -0.04583975 -0.1208849
Moved 949.043 353.5244 341 -0.01498972 -0.1208849
Moved 949.0737 373.4514 341 0.03113757 -0.1208849
Moved 949.1044 392.5262 341 0.0752921 -0.1208849
Moved 949.1351 409.5795 350.5159 0.1147672 -0.09640988
Moved 949.1658 422.3848 354.077 0.1444093 -0.08725068
Moved 949.1966 434.7908 357.9477 0.1731268 -0.0772951
Moved 949.2273 444.2652 360.8163 0.1950583 -0.06991705
Moved 949.2581 454 362 0.2175926 -0.06687243
Moved 949.2888 460.6142 363.2047 0.2329033 -0.06377397
Ended 949.3195 468.1682 365.0561 0.2503895 -0.05901218
Accept 949.381 0 should
Began 949.8112 321 360 -0.09027779 -0.07201654
Stationary 949.842 321 360 -0.09027779 -0.07201654
Stationary 949.8727 321 360 -0.09027779 -0.07201654
Stationary 949.9034 321 360 -0.09027779 -0.07201654
Stationary 949.9342 321 360 -0.09027779 -0.07201654
Stationary 949.9649 321 360 -0.09027779 -0.07201654
Moved 949.9956 311.384 360 -0.112537 -0.07201654
Moved 950.0264 308.8447 360 -0.1184151 -0.07201654
Moved 950.0571 308.4086 353 -0.1194246 -0.09002065
Moved 950.0879 307 351.5341 -0.1226852 -0.09379093
Moved 950.1186 305.6266 352 -0.1258644 -0.09259266
Stationary 950.1493 305.6266 352 -0.1258644 -0.09259266
Moved 950.1801 331.256 371.5466 -0.06653706 -0.04231833
Moved 950.2108 349.0438 388.0438 -0.02536158 0.0001124394
Moved 950.2416 376.0095 411.0987 0.03705909 0.05941018
Moved 950.2723 405.9127 436.9214 0.1062793 0.1258265
Moved 950.303 429.2513 454.5009 0.1603039 0.1710412
Moved 950.3337 442.9949 464.4974 0.1921179 0.1967526
Moved 950.3644 451.7361 471.5521 0.2123522 0.2148973
Moved 950.3952 465.4923 484.6154 0.2441951 0.2484962
Moved 950.4259 472.9819 489.991 0.2615322 0.2623224
Moved 950.4566 476.5 493.5 0.2696759 0.2713476
Moved 950.4874 477 495.4384 0.2708333 0.2763333
Moved 950.5182 477 498.3111 0.2708333 0.2837218
Moved 950.5489 477 501.1771 0.2708333 0.2910934
Moved 950.5796 466.6474 503.7842 0.2468689 0.2977987
Moved 950.6104 448.6952 505 0.205313 0.3009258
Moved 950.6411 422.9132 505 0.1456324 0.3009258
Moved 950.6718 394.9979 505 0.08101355 0.3009258
Moved 950.7025 374.5258 505 0.03362447 0.3009258
Moved 950.7332 350.1031 505 -0.02290939 0.3009258
Moved 950.764 333.1207 505 -0.06222054 0.3009258
Moved 950.7947 322.2101 505 -0.08747652 0.3009258
Ended 950.8254 322 505 -0.08796295 0.3009258
Candidates 950.9171 13 fit city foot short door for shirt shot got show court shit dot
Began 951.4708 276 426 -0.1944444 0.09773654
Stationary 951.5016 276 426 -0.1944444 0.09773654
Stationary 951.5323 276 426 -0.1944444 0.09773654
Moved 951.563 291.5565 426 -0.158434 0.09773654
Moved 951.5938 313.0879 426 -0.1085929 0.09773654
Moved 951.6246 342.1197 426 -0.04138967 0.09773654
Moved 951.6552 378.0157 426 0.04170308 0.09773654
Moved 951.686 412.9654 426 0.122605 0.09773654
Moved 951.7167 447.2438 432.1625 0.2019534 0.1135867
Ended 951.7474 450 434 0.2083333 0.1183127
Accept 951.8089 0 fit
