they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Moved 2417.327 319 583.5091 -0.09490739 0.5028525
Moved 2417.357 319 587.0914 -0.09490739 0.5120662
Moved 2417.388 319 589.9103 -0.09490739 0.5193164
Moved 2417.419 319 592.7823 -0.09490739 0.5267035
Moved 2417.45 319 595.5 -0.09490739 0.5336933
Moved 2417.48 319 600.1555 -0.09490739 0.5456674
Moved 2417.511 319 606.0526 -0.09490739 0.5608346
Moved 2417.542 319 612.8061 -0.09490739 0.5782049
Moved 2417.573 328.357 617.6734 -0.0732477 0.5907237
Moved 2417.604 328.3155 622.6309 -0.07334387 0.6034745
Moved 2417.634 329 627.3785 -0.07175927 0.6156852
Moved 2417.665 330 642.5801 -0.06944443 0.6547841
Ended 2417.696 330 647.5396 -0.06944443 0.66754
Accept 2417.757 1 your
Began 2418.341 401 499 0.09490739 0.2854938
Stationary 2418.372 401 499 0.09490739 0.2854938
Stationary 2418.403 401 499 0.09490739 0.2854938
Moved 2418.433 386.7881 499 0.06200939 0.2854938
Moved 2418.464 375.0903 481.1204 0.03493131 0.2395072
Moved 2418.495 358.0371 454.778 -0.004543662 0.1717539
Moved 2418.526 342.1203 419.8007 -0.04138827 0.0817917
Moved 2418.556 332.5 389 -0.06365741 0.002572016
Moved 2418.587 331 368.0706 -0.06712963 -0.05125893
Moved 2418.618 331 351.9229 -0.06712963 -0.09279094
Moved 2418.649 331 343.2479 -0.06712963 -0.1151031
Moved 2418.679 339.9238 338.4503 -0.0464726 -0.1274426
Moved 2418.71 343.2344 332.5311 -0.03880918 -0.1426669
Moved 2418.741 348.1084 328.8916 -0.02752687 -0.1520278
Moved 2418.772 352.9657 329 -0.01628309 -0.151749
Moved 2418.802 363 329 0.006944438 -0.151749
Moved 2418.833 376.9837 340.7935 0.03931413 -0.1214161
Moved 2418.864 389.3558 345.5423 0.06795327 -0.109202
Moved 2418.895 398.3641 347.841 0.08880575 -0.1032897
Moved 2418.925 412.2885 350 0.1210382 -0.09773669
Moved 2418.956 426.6377 352.0551 0.1542539 -0.09245098
Moved 2418.987 441.0268 355.4053 0.1875619 -0.08383401
Moved 2419.018 455.679 361.8395 0.2214792 -0.06728521
Moved 2419.048 526.6121 394.4601 0.3856762 0.01661532
Moved 2419.079 550.9832 402.4238 0.4420906 0.03709817
Moved 2419.11 565.5 405.5 0.4756944 0.04501017
Moved 2419.141 571.2285 406 0.4889548 0.04629618
Moved 2419.171 574.9875 407 0.4976563 0.04886827
Moved 2419.202 576.4196 407 0.5009711 0.04886827
Moved 2419.233 576 408.3734 0.5000001 0.05240067
Stationary 2419.263 576 408 0.5000001 0.05144025
Moved 2419.294 566.1776 410.0914 0.4772628 0.05681925
Moved 2419.325 556.1327 412.9669 0.4540109 0.06421505
Moved 2419.356 544.9197 417.0402 0.4280549 0.07469173
Moved 2419.386 533.4568 421.7716 0.4015203 0.08686108
Moved 2419.417 513.937 431.0315 0.3563356 0.1106776
Moved 2419.448 492.5696 439.3721 0.3068742 0.1321299
Moved 2419.479 461.1827 459.5246 0.2342191 0.1839624
Moved 2419.51 434.5 479.5 0.1724537 0.2353394
Moved 2419.54 407.6126 502.9885 0.1102144 0.2957523
Moved 2419.571 385.2306 527.7118 0.05840411 0.3593409
Moved 2419.602 367.0174 552.4739 0.01624385 0.4230296
Moved 2419.632 356.8997 570.2006 -0.007176647 0.4686229
Moved 2419.663 348.5 587 -0.02662038 0.5118312
Moved 2419.694 339.6548 599.4602 -0.04709527 0.543879
Moved 2419.725 332.0579 611.9228 -0.06468082 0.575933
Moved 2419.755 325.4462 621.5538 -0.07998556 0.600704
Moved 2419.786 320.4793 627.7811 -0.09148309 0.6167207
Moved 2419.817 311.557 633.2215 -0.1121365 0.6307136
Moved 2419.848 303.7258 635 -0.1302644 0.6352879
Moved 2419.878 297.0772 635 -0.1456545 0.6352879
Moved 2419.909 293.0095 635 -0.1550706 0.6352879
Moved 2419.94 292 620.9193 -0.1574074 0.599072
Moved 2419.97 292 608.0251 -0.1574074 0.5659082
Moved 2420.001 292 600.5482 -0.1574074 0.5466773
Moved 2420.032 301.2491 589.8771 -0.1359973 0.5192312
Moved 2420.063 309.5 573 -0.1168982 0.4758229
Moved 2420.094 318.1221 550.3819 -0.09693965 0.4176488
Moved 2420.124 326.7173 529.5654 -0.07704327 0.3641083
Moved 2420.155 339.2563 502.4874 -0.0480178 0.2944633
Moved 2420.186 353.4057 473.5508 -0.0152646 0.2200381
Moved 2420.217 371.5 448.5 0.02662033 0.1556069
Moved 2420.247 391.6377 425.3623 0.07323543 0.09609642
Moved 2420.278 415.7574 404.2079 0.1290681 0.04168703
Moved 2420.309 437.0318 386.8068 0.1783142 -0.003068947
Moved 2420.339 450.24 373.76 0.2088887 -0.03662564
Moved 2420.37 461.6168 358.972 0.2352241 -0.07466061
Moved 2420.401 468.1721 345.6559 0.2503983 -0.1089098
Moved 2420.432 472.9488 335.205 0.2614555 -0.1357896
Moved 2420.462 474 327.5013 0.2638889 -0.1556036
Moved 2420.493 474 316.8973 0.2638889 -0.1828774
Moved 2420.524 474 307.3206 0.2638889 -0.2075087
Moved 2420.555 466.1837 304 0.2457958 -0.2160494
Moved 2420.585 461.3801 303 0.2346761 -0.2186215
Moved 2420.616 453.531 313.4277 0.2165069 -0.1918012
Moved 2420.647 441.1739 332.2869 0.1879026 -0.143295
Moved 2420.677 430.3291 362.947 0.1627987 -0.06443675
Moved 2420.708 421.4097 395.3613 0.1421521 0.01893322
Moved 2420.739 414.6769 428.9384 0.126567 0.1052941
Moved 2420.77 408.5 467.5 0.1122685 0.2044752
Moved 2420.801 401.8585 500.7074 0.0968947 0.2898852
Moved 2420.831 395.1188 527.584 0.08129358 0.3590124
Moved 2420.862 390.1872 552.3149 0.0698778 0.4226207
Moved 2420.893 387.7703 572.0677 0.06428301 0.473425
Moved 2420.924 384.8159 587.9202 0.05744437 0.5141978
Moved 2420.954 383 601.2635 0.05324075 0.5485172
Moved 2420.985 381 612.7263 0.04861106 0.5779997
Moved 2421.016 380 619.395 0.04629632 0.5951515
Moved 2421.047 379 623.6816 0.04398147 0.6061768
Moved 2421.077 379 625.5 0.04398147 0.6108538
Moved 2421.108 377.6776 626.3224 0.04092037 0.612969
Moved 2421.139 384.144 629.2288 0.05588889 0.6204444
Ended 2421.169 393 631 0.07638891 0.6249998
Candidates 2421.262 13 client current meant menu next bent blame member remember clever name currency cent
Began 2422.061 367 308 0.01620372 -0.2057614
Stationary 2422.092 367 308 0.01620372 -0.2057614
Stationary 2422.123 367 308 0.01620372 -0.2057614
Moved 2422.153 367 339.5 0.01620372 -0.1247429
Moved 2422.184 367 360.8929 0.01620372 -0.06972003
Moved 2422.215 367 380.8694 0.01620372 -0.01834014
Moved 2422.245 367 403.3693 0.01620372 0.03952992
Moved 2422.276 367 407.1262 0.01620372 0.04919295
Moved 2422.307 367 422.9498 0.01620372 0.08989146
