the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Moved 3210.751 431.5008 458.3328 0.1655111 0.1808971
Moved 3210.782 438.407 455.2965 0.1814978 0.1730876
Moved 3210.813 444.3509 451.649 0.1952568 0.1637063
Moved 3210.844 447.1099 449.8901 0.2016433 0.1591822
Ended 3210.874 450 449 0.2083333 0.156893
Accept 3210.936 0 our
Began 3211.397 278 360 -0.1898148 -0.07201654
Stationary 3211.427 278 360 -0.1898148 -0.07201654
Stationary 3211.458 278 360 -0.1898148 -0.07201654
Stationary 3211.489 278 360 -0.1898148 -0.07201654
Stationary 3211.52 278 360 -0.1898148 -0.07201654
Stationary 3211.55 278 360 -0.1898148 -0.07201654
Moved 3211.581 289.4392 351.1028 -0.1633352 -0.09490016
Moved 3211.612 294.5802 351.14 -0.1514347 -0.09480472
Moved 3211.643 302.0628 351 -0.1341138 -0.09516476
Moved 3211.673 309.1161 351 -0.1177867 -0.09516476
Moved 3211.704 317.261 351 -0.09893284 -0.09516476
Moved 3211.735 322.8807 351 -0.08592422 -0.09516476
Moved 3211.765 330.632 351 -0.06798138 -0.09516476
Moved 3211.796 338.05 351 -0.05081008 -0.09516476
Moved 3211.827 345.5 359.5 -0.03356482 -0.07330247
Moved 3211.858 353.4546 361.1136 -0.0151514 -0.06915214
Moved 3211.888 364.9212 364.9685 0.01139164 -0.05923746
Moved 3211.919 377.2671 368.8534 0.03997008 -0.04924546
Moved 3211.95 386.148 372.574 0.06052782 -0.03967583
Moved 3211.98 399.0282 377.5141 0.09034305 -0.02696991
Moved 3212.011 414.6395 385.3837 0.1264804 -0.006729251
Moved 3212.042 428.0334 392.02 0.1574846 0.01033956
Moved 3212.073 439.4843 400.9874 0.1839915 0.03340384
Moved 3212.104 450.4927 410.1195 0.2094738 0.05689173
Moved 3212.134 463.0064 424.0065 0.2384409 0.09260911
Moved 3212.165 474.3817 438.2271 0.2647725 0.1291849
Moved 3212.196 484.6536 454.9803 0.28855 0.1722745
Moved 3212.227 492.0701 471.6752 0.3057178 0.2152139
Moved 3212.257 498.8235 487.0588 0.3213507 0.2547808
Moved 3212.288 502.8307 497.5768 0.3306266 0.2818333
Moved 3212.319 508.571 509.142 0.3439143 0.311579
Moved 3212.349 511.6557 517.9672 0.351055 0.3342776
Moved 3212.38 514.5 524 0.3576389 0.3497942
Moved 3212.411 517.0983 530.1965 0.3636534 0.3657317
Moved 3212.442 519 534.9467 0.3680556 0.3779493
Moved 3212.472 520 538.8509 0.3703704 0.3879909
Moved 3212.503 520 542.2873 0.3703704 0.3968294
Moved 3212.534 520 547.5261 0.3703704 0.4103036
Moved 3212.564 506.6026 553.265 0.3393579 0.4250641
Moved 3212.595 497.0096 556.9968 0.3171518 0.4346626
Moved 3212.626 485.5 557 0.2905093 0.4346707
Moved 3212.657 472.0792 557 0.2594425 0.4346707
Moved 3212.688 461.9873 557 0.2360817 0.4346707
Moved 3212.718 450.6095 550.219 0.2097442 0.4172298
Moved 3212.749 433.9848 538.3232 0.171261 0.3866336
Moved 3212.78 415.7474 521.7474 0.129045 0.3440005
Moved 3212.81 398.5341 503.5341 0.08919924 0.2971554
Moved 3212.841 387.2692 489.4038 0.06312311 0.2608122
Moved 3212.872 377.5851 474.7801 0.0407062 0.2231997
