I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 399.0677 399.8613 591.3503 0.09227146 0.5230202
Moved 399.0984 383.5544 560.7979 0.05452405 0.4444388
Moved 399.1292 374.282 544.923 0.03306032 0.4036085
Moved 399.1599 368.8971 532.6913 0.02059509 0.3721482
Moved 399.1906 365.025 525.0749 0.01163185 0.3525588
Moved 399.2213 363.1502 520.3005 0.007292231 0.3402789
Moved 399.2521 361.6452 517.6451 0.00380824 0.3334494
Moved 399.2828 360.7751 514.7751 0.001794299 0.3260677
Moved 399.3135 361 513 0.002314846 0.321502
Moved 399.3442 360 511.2679 0 0.317047
Moved 399.375 360 510 0 0.3137859
Moved 399.4056 360 508.5968 0 0.3101769
Moved 399.4364 360 507.9092 0 0.3084083
Stationary 399.4671 360 507.9092 0 0.3084083
Moved 399.4978 360 505.6668 0 0.3026409
Moved 399.5286 360 503.5 0 0.2970678
Moved 399.5593 360 502.626 0 0.29482
Moved 399.59 368.9774 501 0.02078116 0.2906378
Moved 399.6207 373.8515 498.1485 0.03206372 0.2833037
Moved 399.6515 377.7296 497.2704 0.04104078 0.2810451
Moved 399.6822 381.1972 495.8028 0.04906764 0.2772705
Moved 399.7129 384.1293 496 0.05585491 0.2777777
Moved 399.7436 389.0186 495 0.06717265 0.2752057
Ended 399.7744 393 495 0.07638891 0.2752057
Candidates 399.8665 13 nov mix noon box bob nox mob non noun min club bin both
Began 400.5424 403 569 0.09953707 0.4655349
Stationary 400.5731 403 569 0.09953707 0.4655349
Moved 400.6039 388.2023 579.2446 0.06528307 0.4918841
Moved 400.6346 367.6251 599.3749 0.01765062 0.5436597
Moved 400.6653 342.6445 624.3555 -0.04017467 0.60791
Moved 400.696 319.5562 649.5917 -0.09361993 0.6728182
Moved 400.7267 299.8759 670.5704 -0.1391761 0.7267755
Moved 400.7575 289.0261 685.2985 -0.1642914 0.7646564
Moved 400.7882 281.4515 694.5485 -0.1818252 0.7884476
Moved 400.8189 277.2845 702.4309 -0.191471 0.8087213
Moved 400.8497 276 706.5837 -0.1944444 0.8194025
Ended 400.8804 276 708.0057 -0.1944444 0.8230597
Accept 400.9725 2 noon
Began 401.3105 230 532 -0.3009259 0.3703703
Moved 401.3412 269.3752 527.8749 -0.2097796 0.3597606
Moved 401.372 377.0553 518.6084 0.03947983 0.3359269
Moved 401.4027 490.0115 519 0.3009526 0.3369341
Moved 401.4334 581.0269 519 0.5116364 0.3369341
Ended 401.4641 654 527 0.6805556 0.3575102
PhraseEnd 401.5255
