where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Moved 2658.363 222.7677 482.9764 -0.3176674 0.2442807
Moved 2658.394 211.9924 502.5114 -0.3426101 0.2945251
Moved 2658.425 203.545 514.0917 -0.3621644 0.3243099
Moved 2658.455 196.6131 525.7737 -0.3782104 0.3543562
Moved 2658.486 188.8668 534.6999 -0.3961417 0.3773144
Moved 2658.517 183.8464 542.2303 -0.4077629 0.3966829
Moved 2658.547 178.0284 548.9433 -0.4212307 0.4139487
Moved 2658.578 173.1573 554.6854 -0.4325063 0.4287176
Moved 2658.609 171.2822 557.7178 -0.4368469 0.4365169
Ended 2658.64 171 558 -0.4375 0.4372427
Candidates 2658.762 13 vw ve be base new care crew case made bare screw chase nasdaq
Began 2659.684 356 349 -0.009259283 -0.1003086
Moved 2659.714 356 360.4349 -0.009259283 -0.07089803
Moved 2659.745 314.9355 428.2765 -0.104316 0.1035917
Moved 2659.776 284.7784 495.5817 -0.1741242 0.2767019
Moved 2659.806 264.8732 545.2412 -0.220201 0.4044269
Moved 2659.837 249.2348 590.7369 -0.2564009 0.5214425
Moved 2659.868 239.067 615.488 -0.2799375 0.5851029
Ended 2659.899 214.3053 658.8497 -0.3372563 0.6966296
Accept 2659.96 2 be
Began 2660.451 199 382 -0.3726852 -0.01543218
Stationary 2660.482 199 382 -0.3726852 -0.01543218
Moved 2660.513 229.1568 382 -0.3028777 -0.01543218
Moved 2660.543 331.4097 381.5367 -0.06618126 -0.01662384
Moved 2660.574 445.2389 397.0743 0.1973124 0.02333912
Moved 2660.605 513.4995 396 0.3553227 0.02057605
Moved 2660.635 564.4617 396 0.4732909 0.02057605
Moved 2660.666 615.4241 396 0.5912597 0.02057605
Moved 2660.697 655.4524 396 0.6839176 0.02057605
Moved 2660.728 680.5684 396 0.7420564 0.02057605
Ended 2660.759 690.465 396 0.7649652 0.02057605
PhraseEnd 2660.82
