they might find your comment offensive
they might find your comment offensive
Basic
Radial

0.6 0.6
432 388.8
Moved 1214.352 263.7999 326.7999 -0.2226854 -0.1574077
Moved 1214.382 257.0822 316.1643 -0.2382357 -0.1847626
Moved 1214.413 250.5197 306.6929 -0.2534266 -0.2091232
Moved 1214.444 246.6328 299.8983 -0.2624242 -0.2265991
Moved 1214.474 241.5421 292.3131 -0.2742082 -0.2461082
Moved 1214.505 237.7675 286.7675 -0.2829456 -0.2603717
Moved 1214.536 235.0149 283.0297 -0.2893175 -0.2699854
Moved 1214.567 233.9618 281.9619 -0.2917551 -0.2727319
Moved 1214.597 233 279.6415 -0.2939815 -0.2787
Moved 1214.628 232 278.7735 -0.2962963 -0.2809324
Stationary 1214.659 232 279 -0.2962963 -0.2803498
Moved 1214.69 232 278 -0.2962963 -0.2829219
Moved 1214.72 242.5592 278 -0.2718536 -0.2829219
Moved 1214.751 252.5216 278 -0.2487925 -0.2829219
Moved 1214.782 265.4346 292.623 -0.2189014 -0.2453111
Moved 1214.813 290.4649 313.6954 -0.1609608 -0.1911128
Moved 1214.843 324.4438 344.155 -0.08230597 -0.11277
Moved 1214.874 367.9244 383.5618 0.01834343 -0.01141513
Moved 1214.905 392.5608 408.0729 0.07537216 0.05162789
Moved 1214.935 409.2956 422.913 0.1141102 0.08979668
Moved 1214.966 417.0575 430.0575 0.1320775 0.1081725
Moved 1214.997 428.0571 438.7928 0.1575395 0.1306398
Moved 1215.028 436.6667 448.4445 0.1774693 0.155464
Moved 1215.058 445.2833 457.2833 0.1974151 0.1781978
Moved 1215.089 451.9331 461.9331 0.2128081 0.1901571
Moved 1215.12 454.9426 464 0.2197746 0.1954732
Moved 1215.151 457.3391 465 0.225322 0.1980452
Moved 1215.181 459.5 466 0.2303241 0.2006171
Moved 1215.212 461 466 0.2337964 0.2006171
Moved 1215.243 463 466 0.2384259 0.2006171
Moved 1215.274 463 450.5009 0.2384259 0.1607532
Moved 1215.304 463 417.0658 0.2384259 0.07475767
Moved 1215.335 438.7489 367.2466 0.1822891 -0.05337805
Moved 1215.366 432.2405 332.4047 0.1672233 -0.142992
Moved 1215.397 432 308.5962 0.1666667 -0.204228
Moved 1215.427 432 293.5195 0.1666667 -0.2430054
Moved 1215.458 432 287.8264 0.1666667 -0.2576483
Moved 1215.489 432 284.0685 0.1666667 -0.2673136
Moved 1215.52 441.2312 280.7687 0.1880353 -0.2758006
Moved 1215.55 443.765 279.235 0.1939004 -0.2797453
Stationary 1215.581 444 279 0.1944444 -0.2803498
Moved 1215.612 447.0756 278 0.2015639 -0.2829219
Moved 1215.642 448.9431 276.0569 0.2058866 -0.2879195
Moved 1215.673 451.4445 276 0.2116771 -0.288066
Moved 1215.704 452.1051 276 0.2132063 -0.288066
Moved 1215.735 453.3729 276 0.2161409 -0.288066
Moved 1215.765 455.0479 276 0.2200184 -0.288066
Stationary 1215.796 455.0479 276 0.2200184 -0.288066
Moved 1215.827 456.0345 276 0.2223021 -0.288066
Moved 1215.858 458.168 276 0.2272407 -0.288066
Moved 1215.888 459.8609 283.7479 0.2311594 -0.2681383
Moved 1215.919 463.7266 297.6329 0.2401078 -0.2324258
Moved 1215.95 466.5829 318.0803 0.2467196 -0.1798348
Moved 1215.98 470.4637 340.246 0.255703 -0.1228242
Moved 1216.011 475.0336 366.2014 0.2662814 -0.05606639
Moved 1216.042 479.8937 389.3624 0.2775319 0.003503988
Moved 1216.073 486.2614 412.2767 0.2922719 0.06244008
Moved 1216.104 492.6539 431.9617 0.3070691 0.1130701
Moved 1216.134 508.9904 473.1769 0.3448851 0.2190763
Moved 1216.165 518.8638 498.6595 0.3677404 0.2846181
Moved 1216.196 523.938 507.907 0.3794862 0.3084027
Moved 1216.226 529.6657 520.6657 0.3927447 0.3412183
Moved 1216.257 532.7023 528.4045 0.3997738 0.3611227
Moved 1216.288 533 531.285 0.4004629 0.3685312
Moved 1216.318 533 534.7642 0.4004629 0.3774799
Moved 1216.349 533 535.5 0.4004629 0.3793723
Moved 1216.38 524.3212 535 0.3803731 0.3780863
Moved 1216.411 512.8027 523.102 0.3537098 0.3474844
Moved 1216.442 509.1873 520.1874 0.3453411 0.339988
Moved 1216.472 505.3175 516.3175 0.3363831 0.3300347
Moved 1216.503 502.5 513.5 0.3298611 0.3227879
Moved 1216.534 500.5776 513 0.3254111 0.321502
Moved 1216.564 499.0096 511.0096 0.3217815 0.3163827
Moved 1216.595 497.1409 511 0.3174557 0.3163579
Moved 1216.626 495.2709 511 0.313127 0.3163579
Moved 1216.656 492.799 511 0.3074051 0.3163579
Moved 1216.687 485.7127 511 0.2910017 0.3163579
Moved 1216.718 461.9151 511 0.2359145 0.3163579
Moved 1216.749 446.2581 511 0.1996717 0.3163579
Moved 1216.78 437.3291 511 0.1790026 0.3163579
Moved 1216.81 418.2385 511 0.1348113 0.3163579
Moved 1216.841 397.166 521.2383 0.08603235 0.342691
Moved 1216.872 380.2796 523.7441 0.04694343 0.3491359
Moved 1216.903 362.3519 527.5296 0.005444289 0.3588724
Moved 1216.933 345.2097 530.3986 -0.03423676 0.3662516
Moved 1216.964 328.652 531 -0.07256488 0.3677982
Moved 1216.995 316.8608 531 -0.09985924 0.3677982
Moved 1217.026 305.3975 525.795 -0.1263946 0.3544111
Moved 1217.056 296.9578 519.4789 -0.145931 0.3381658
Moved 1217.087 290.4771 516 -0.1609326 0.329218
Moved 1217.118 290 515.0386 -0.162037 0.3267452
Moved 1217.148 290 514 -0.162037 0.324074
Moved 1217.179 290 511.2924 -0.162037 0.3171099
Moved 1217.21 290 504.4271 -0.162037 0.2994524
Moved 1217.241 310.878 481.122 -0.1137084 0.2395113
Moved 1217.271 341.9853 443.5883 -0.0417008 0.1429738
Moved 1217.302 350.9517 429.7971 -0.02094507 0.1075026
Moved 1217.333 364.7847 405.0736 0.01107573 0.0439136
Moved 1217.364 373.6998 387.6003 0.03171255 -0.001028006
Moved 1217.394 381.2044 371.489 0.04908422 -0.04246676
Moved 1217.425 385.7328 360.0687 0.0595668 -0.07183993
Moved 1217.456 388.5159 350.9363 0.06600907 -0.09532858
Moved 1217.486 391.3864 343.2271 0.07265379 -0.1151566
Moved 1217.517 392.2562 335.4877 0.07466704 -0.1350626
Moved 1217.548 392 332 0.07407407 -0.144033
Stationary 1217.579 392 332 0.07407407 -0.144033
Moved 1217.609 380 350 0.04629632 -0.09773669
Moved 1217.64 373.4754 389.7174 0.031193 0.004417161
Moved 1217.671 369.1339 429.9285 0.02114336 0.1078407
Moved 1217.702 367 468.2291 0.01620372 0.2063506
