the back yard of our house
the back yard of our house
Basic
Radial

0.6 0.6
432 388.8
Began 2246.792 349 445 -0.02546296 0.1466049
Stationary 2246.822 349 445 -0.02546296 0.1466049
Stationary 2246.853 349 445 -0.02546296 0.1466049
Moved 2246.884 372.3341 473.9453 0.02855122 0.2210527
Moved 2246.914 394.5505 499.7443 0.07997811 0.2874082
Moved 2246.945 412.3184 516.3184 0.1211073 0.3300368
Moved 2246.976 427.6055 531.6844 0.1564942 0.3695585
Moved 2247.007 437.7773 542.7773 0.1800399 0.3980896
Moved 2247.037 442.329 548.658 0.1905764 0.413215
Moved 2247.068 445.2037 551.2037 0.1972308 0.4197625
Moved 2247.099 447.077 553.077 0.201567 0.4245806
Moved 2247.129 447.5859 553.5859 0.2027451 0.4258895
Moved 2247.16 448 554 0.2037037 0.4269547
Stationary 2247.191 448 554 0.2037037 0.4269547
Stationary 2247.222 448 554 0.2037037 0.4269547
Ended 2247.252 448 554 0.2037037 0.4269547
Accept 2247.314 1 our
Began 2247.621 391 348 0.07175922 -0.1028807
Stationary 2247.652 391 348 0.07175922 -0.1028807
Stationary 2247.682 391 348 0.07175922 -0.1028807
Moved 2247.713 391 337.1335 0.07175922 -0.1308295
Moved 2247.744 391 334.304 0.07175922 -0.1381071
Moved 2247.774 391 330.4324 0.07175922 -0.1480648
Moved 2247.805 391 327.5567 0.07175922 -0.1554612
Moved 2247.836 391 324.9866 0.07175922 -0.1620716
Moved 2247.867 391 322.1133 0.07175922 -0.1694616
Moved 2247.897 391 320.6255 0.07175922 -0.1732883
Moved 2247.928 391 319.903 0.07175922 -0.1751465
Moved 2247.959 391 318.7758 0.07175922 -0.178046
Moved 2247.99 398.2759 319 0.0886016 -0.1774692
Moved 2248.02 414.9805 340.7025 0.1272697 -0.1216501
Moved 2248.051 435.6494 368.827 0.1751145 -0.04931336
Moved 2248.082 462.2083 418.1404 0.2365932 0.07752167
Moved 2248.112 477.7123 442.9973 0.2724822 0.1414538
Moved 2248.143 499.1636 465.1636 0.3221381 0.1984661
Moved 2248.174 522.9116 487.3528 0.37711 0.2555369
Moved 2248.205 540.6165 505.6165 0.4180938 0.3025116
Moved 2248.235 549.9572 513.6381 0.4397158 0.3231432
Moved 2248.266 554.7463 518.7463 0.4508017 0.3362816
Moved 2248.297 558.7079 522.7079 0.459972 0.3464709
Moved 2248.327 561.5824 525 0.4666259 0.3523662
Moved 2248.358 563.4512 526 0.4709518 0.3549381
Moved 2248.389 564.0242 527 0.4722783 0.3575102
Moved 2248.419 564 528.3718 0.4722223 0.3610386
Stationary 2248.45 564 528.3718 0.4722223 0.3610386
Moved 2248.481 564 529.1873 0.4722223 0.3631358
Moved 2248.512 564 530.1728 0.4722223 0.3656707
Moved 2248.542 543.5219 532 0.4248191 0.3703703
Moved 2248.573 508.9034 532 0.3446838 0.3703703
Moved 2248.604 490.8119 532 0.3028052 0.3703703
Moved 2248.635 467.8795 532 0.2497211 0.3703703
Moved 2248.665 444.9539 523.7795 0.1966526 0.3492271
Moved 2248.696 426.7693 521.9539 0.1545585 0.3445314
Moved 2248.727 414.6306 521.4077 0.1264596 0.3431266
Moved 2248.757 407.0754 520 0.1089709 0.3395061
Moved 2248.788 403.662 520 0.1010694 0.3395061
Moved 2248.819 402.5 520 0.09837966 0.3395061
Moved 2248.85 401 520 0.09490739 0.3395061
Moved 2248.88 400 519 0.09259263 0.3369341
Moved 2248.911 398.5248 519 0.08917788 0.3369341
Stationary 2248.942 399 519 0.09027779 0.3369341
Moved 2248.972 397.082 517.082 0.08583793 0.3320009
Moved 2249.003 390.4091 504.0226 0.0703913 0.2984121
Moved 2249.034 377.5 485 0.04050931 0.2494856
Moved 2249.065 354.289 459.2891 -0.01321981 0.1833566
Moved 2249.095 336.4379 442.5182 -0.05454193 0.1402216
Moved 2249.126 317.2831 425.2359 -0.09888177 0.09577131
Moved 2249.157 307.6599 414.6599 -0.1211575 0.06856969
Moved 2249.188 295.3388 402.0082 -0.1496787 0.03602919
Moved 2249.218 287.3609 394.3608 -0.1681461 0.01636015
Moved 2249.249 280.823 387.823 -0.1832801 -0.0004552911
Moved 2249.28 274.1149 383.7433 -0.198808 -0.01094842
Moved 2249.31 268.005 379.5025 -0.2129514 -0.02185578
Moved 2249.341 264.6435 375.6435 -0.2207326 -0.03178122
Moved 2249.372 263 374.0945 -0.2245371 -0.0357653
Moved 2249.403 262 374 -0.2268519 -0.03600823
Moved 2249.433 260.3931 374 -0.2305716 -0.03600823
Moved 2249.464 258.9604 374 -0.233888 -0.03600823
Moved 2249.495 257 398.3901 -0.2384259 0.02672352
Moved 2249.525 256 427.2095 -0.2407407 0.1008475
Moved 2249.556 256 446.7061 -0.2407407 0.1509929
Moved 2249.587 266.5 460.5 -0.2164352 0.1864711
Moved 2249.617 266.1861 480.1168 -0.2171617 0.2369259
Moved 2249.648 269.0583 493.2332 -0.2105132 0.2706613
Moved 2249.679 271 511.5125 -0.2060186 0.3176762
Moved 2249.71 271 513.98 -0.2060186 0.3240225
Moved 2249.74 272 520.6138 -0.2037037 0.3410848
Moved 2249.771 272 526.3617 -0.2037037 0.3558685
Moved 2249.802 272 532.111 -0.2037037 0.3706557
Moved 2249.833 272 534 -0.2037037 0.3755144
Moved 2249.863 272 536.48 -0.2037037 0.3818929
Ended 2249.894 272 536 -0.2037037 0.3806583
Candidates 2249.986 13 house most noise node border mouse boat boost mode body choose jose those
Began 2250.447 338 533 -0.05092591 0.3729423
Moved 2250.478 358.2147 533 -0.004132638 0.3729423
Moved 2250.508 384.1504 533 0.0559038 0.3729423
Moved 2250.539 408.168 533 0.1114999 0.3729423
Moved 2250.57 430.0782 533 0.1622181 0.3729423
Moved 2250.6 447.235 533 0.2019328 0.3729423
Moved 2250.631 457.6393 533 0.2260168 0.3729423
Moved 2250.662 463.9052 533 0.2405214 0.3729423
Moved 2250.693 469.924 533 0.2544536 0.3729423
Ended 2250.723 469.924 533 0.2544536 0.3729423
Accept 2250.785 0 house
Began 2250.969 644 473 0.6574074 0.2186213
Stationary 2251 644 473 0.6574074 0.2186213
Stationary 2251.031 644 473 0.6574074 0.2186213
Stationary 2251.061 644 473 0.6574074 0.2186213
Moved 2251.092 652.2135 463.7598 0.6764202 0.1948555
Moved 2251.123 655.0665 459.9335 0.6830243 0.185014
Moved 2251.153 656.9535 456.0465 0.6873923 0.1750167
Moved 2251.184 658 454.3765 0.6898147 0.1707212
Moved 2251.215 659.3775 451.6225 0.6930034 0.1636381
Moved 2251.245 660.2497 450 0.6950224 0.1594649
Moved 2251.276 661 446.5 0.6967592 0.1504629
Moved 2251.307 661 446.3575 0.6967592 0.1500964
Moved 2251.338 662 444.4844 0.6990741 0.1452789
Moved 2251.368 663.3899 442.6101 0.7022914 0.140458
Ended 2251.399 664 442 0.7037036 0.1388888
PhraseEnd 2251.491
