why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 2742.382 263.2004 531 -0.224073 0.3677982
Moved 2742.413 297.9073 531 -0.1437332 0.3677982
Moved 2742.443 329.3572 531 -0.07093246 0.3677982
Moved 2742.474 353.6658 531 -0.01466255 0.3677982
Moved 2742.505 374.3373 531 0.03318826 0.3677982
Moved 2742.536 387.6631 531 0.06403506 0.3677982
Moved 2742.566 397.3366 531 0.08642733 0.3677982
Moved 2742.597 403.2976 531 0.100226 0.3677982
Moved 2742.628 406.1942 531 0.1069311 0.3677982
Moved 2742.658 408 524 0.1111111 0.3497942
Moved 2742.689 408 522.5062 0.1111111 0.3459521
Moved 2742.72 380 522 0.04629632 0.3446501
Moved 2742.75 339.8543 522 -0.04663363 0.3446501
Moved 2742.781 312.3818 522 -0.1102272 0.3446501
Moved 2742.812 290.653 522 -0.1605253 0.3446501
Moved 2742.843 274.8052 522 -0.1972103 0.3446501
Moved 2742.873 261.128 522 -0.2288703 0.3446501
Moved 2742.904 247.2642 522 -0.2609626 0.3446501
Moved 2742.935 236.3397 522 -0.2862507 0.3446501
Moved 2742.966 228.5139 517.5139 -0.3043659 0.3331119
Moved 2742.996 221.7794 512.1691 -0.3199551 0.3193648
Moved 2743.027 216.0467 502.5701 -0.3332252 0.2946761
Moved 2743.058 209.8803 487.6807 -0.3474994 0.2563804
Moved 2743.088 203.0814 460.5701 -0.3632374 0.1866513
Moved 2743.119 201 440.0422 -0.3680556 0.1338533
Moved 2743.149 201 420.0468 -0.3680556 0.08242477
Moved 2743.18 201 407.0659 -0.3680556 0.04903777
Moved 2743.211 201 398.8176 -0.3680556 0.02782288
Moved 2743.242 209.9363 395.0637 -0.3473697 0.01816793
Moved 2743.273 216.5 392.5 -0.3321759 0.01157403
Moved 2743.303 223.9272 390.6909 -0.3149833 0.006921045
Moved 2743.334 234.6876 391 -0.290075 0.007715971
Moved 2743.365 251.3342 402.1671 -0.2515411 0.03643805
Moved 2743.396 266.158 412.564 -0.2172269 0.06317888
Moved 2743.426 281.321 427.321 -0.1821274 0.1011341
Moved 2743.457 293.9963 444.6605 -0.1527864 0.1457316
Moved 2743.488 301.4371 456.8743 -0.1355622 0.1771457
Moved 2743.518 307.7303 469.9211 -0.1209947 0.2107025
