the collapse of the Roman empire
the collapse of the Roman empire
Basic
List

0.6 0.6
432 388.8
Moved 1295.691 385.0689 378.3035 0.05802999 -0.02493956
Moved 1295.721 363.5614 392.329 0.008243918 0.01113413
Moved 1295.752 345.3414 410.6586 -0.03393193 0.05827817
Moved 1295.783 326.9479 431.5608 -0.07650946 0.112039
Moved 1295.814 310.7668 449.2332 -0.1139659 0.1574928
Moved 1295.844 299.2692 463.9744 -0.1405806 0.1954074
Moved 1295.875 287.8378 480.7433 -0.1670421 0.2385372
Moved 1295.906 277.6987 497.2532 -0.1905122 0.281001
Moved 1295.937 269.9505 508.6238 -0.2084479 0.3102463
Moved 1295.967 264.9572 517.0643 -0.2200066 0.3319554
Moved 1295.998 259.0986 525.7043 -0.2335681 0.3541776
Moved 1296.029 254.4542 530.7729 -0.2443189 0.3672141
Moved 1296.06 252 534.6456 -0.25 0.3771748
Moved 1296.09 249.8109 538.3782 -0.2550673 0.3867752
Moved 1296.121 248 540.0621 -0.2592593 0.3911062
Moved 1296.152 246 542 -0.2638889 0.3960905
Moved 1296.182 246 544.5 -0.2638889 0.4025204
Ended 1296.213 246 545 -0.2638889 0.4038065
Candidates 1296.305 13 the threw there urge other where these use that her tiger higher else
Began 1297.873 394 527 0.07870366 0.3575102
Stationary 1297.904 394 527 0.07870366 0.3575102
Stationary 1297.934 394 527 0.07870366 0.3575102
Stationary 1297.965 394 527 0.07870366 0.3575102
Stationary 1297.996 394 527 0.07870366 0.3575102
Stationary 1298.027 394 527 0.07870366 0.3575102
Stationary 1298.057 394 527 0.07870366 0.3575102
Stationary 1298.088 394 527 0.07870366 0.3575102
Moved 1298.119 405.3593 527 0.1049985 0.3575102
Moved 1298.15 417.0745 527 0.132117 0.3575102
Moved 1298.18 430.5304 527 0.1632649 0.3575102
Moved 1298.211 441.9387 527 0.189673 0.3575102
Moved 1298.242 456.5499 535.8082 0.2234951 0.380165
Moved 1298.272 467.5454 539.2727 0.2489477 0.3890758
Moved 1298.303 478.8045 543.5218 0.2750105 0.4000045
Moved 1298.334 491.213 549.1065 0.3037337 0.4143685
Moved 1298.365 502.2669 553.4223 0.3293214 0.4254688
Moved 1298.395 510.8835 557.2945 0.3492672 0.4354281
Moved 1298.426 519.483 559 0.3691736 0.4398148
Moved 1298.457 521.6804 559.6804 0.3742602 0.4415647
Moved 1298.488 524.5 560 0.3807871 0.4423867
Moved 1298.518 525.3734 560 0.3828089 0.4423867
Stationary 1298.549 525 560 0.3819444 0.4423867
Stationary 1298.58 525 560 0.3819444 0.4423867
Moved 1298.61 525 549.5435 0.3819444 0.4154925
Moved 1298.641 514.4114 541.4114 0.3574337 0.3945765
Moved 1298.672 497.1255 524.1254 0.31742 0.3501168
Moved 1298.703 480.875 505.8572 0.2798032 0.3031304
Moved 1298.734 465.575 484.035 0.2443865 0.2470034
Moved 1298.764 453.0694 463.5248 0.2154383 0.1942511
Moved 1298.795 445.2102 440.8938 0.1972458 0.1360436
Moved 1298.826 438.75 416.9999 0.1822917 0.07458824
Moved 1298.856 436.2498 394.2486 0.1765043 0.01607141
Moved 1298.887 436 362.0604 0.1759259 -0.06671724
Moved 1298.918 445.54 315.84 0.1980093 -0.1855966
Moved 1298.949 447.2777 305.0563 0.2020316 -0.2133325
Moved 1298.979 453.4159 283.7523 0.2162405 -0.2681267
Moved 1299.01 460.3513 263.6217 0.2322947 -0.319903
Moved 1299.041 464.5456 248.2721 0.2420036 -0.3593825
Moved 1299.072 468.8109 236.3782 0.2518772 -0.3899738
Moved 1299.102 470.9854 228.0438 0.2569106 -0.4114099
Moved 1299.133 473.8575 221.285 0.263559 -0.4287938
Moved 1299.164 476 215.5381 0.2685185 -0.4435748
Moved 1299.194 478.1967 211.6067 0.2736034 -0.4536866
Moved 1299.225 480.1339 208.8661 0.2780877 -0.4607354
Moved 1299.256 481 205.9958 0.2800926 -0.4681177
Moved 1299.287 482 205.1268 0.2824074 -0.4703528
Moved 1299.317 482 204.5 0.2824074 -0.471965
Stationary 1299.348 482 204.5 0.2824074 -0.471965
Moved 1299.379 460.8054 223.0619 0.2333458 -0.4242236
Moved 1299.41 436.2465 243.2527 0.1764964 -0.3722925
Moved 1299.44 402.7584 272.1427 0.09897777 -0.2979869
Moved 1299.471 372.384 297.7767 0.02866666 -0.2320558
Moved 1299.502 350.6597 315.7552 -0.02162099 -0.1858148
Moved 1299.533 328.5344 336.6573 -0.07283697 -0.1320542
Moved 1299.563 306.5727 354.3921 -0.1236743 -0.08644018
Moved 1299.594 285.684 369.2107 -0.1720278 -0.0483264
Moved 1299.625 271.2903 377.2823 -0.2053465 -0.02756621
Moved 1299.656 257.9947 382.0021 -0.2361234 -0.0154266
Moved 1299.686 246.5088 385.8728 -0.2627111 -0.005471265
Moved 1299.717 237.5164 389.7418 -0.2835267 0.004479718
Moved 1299.748 232.5892 390 -0.2949323 0.005143954
Moved 1299.778 226.7094 390 -0.308543 0.005143954
Moved 1299.809 221.9652 390 -0.3195249 0.005143954
Moved 1299.84 217.0327 390 -0.3309429 0.005143954
Moved 1299.871 215.6047 390 -0.3342484 0.005143954
Moved 1299.901 213.869 390 -0.3382661 0.005143954
Moved 1299.932 210.8625 380.8625 -0.3452257 -0.0183578
Moved 1299.963 209.5 378.5 -0.3483796 -0.02443423
Moved 1299.994 210 378 -0.3472222 -0.02572024
Stationary 1300.024 210 378 -0.3472222 -0.02572024
Moved 1300.055 219.0586 378 -0.3262533 -0.02572024
Moved 1300.086 239.5989 378 -0.2787061 -0.02572024
Moved 1300.117 267.7954 388.6796 -0.2134365 0.001747853
Moved 1300.147 295.0045 391.556 -0.1504525 0.00914605
Moved 1300.178 316.0341 393 -0.101773 0.01285996
Moved 1300.209 334.9389 393 -0.05801181 0.01285996
Moved 1300.24 351.3028 393 -0.02013251 0.01285996
Moved 1300.27 365.65 393 0.01307865 0.01285996
Moved 1300.301 375.7893 393 0.03654937 0.01285996
Moved 1300.332 386.4167 380.7222 0.0611497 -0.01871855
Moved 1300.362 397.0187 374.986 0.08569151 -0.03347232
Moved 1300.393 409.5125 369.2437 0.1146124 -0.04824156
Moved 1300.424 419.5455 364.2272 0.1378368 -0.06114402
Moved 1300.455 430.0266 358.4867 0.1620985 -0.07590878
