is there any indication of this
is there any indication of this
Basic
List

0.6 0.6
432 388.8
Moved 1501.423 501.8218 609.8218 0.3282913 0.5705292
Moved 1501.453 503 611 0.3310186 0.5735595
Moved 1501.484 503 612 0.3310186 0.5761316
Ended 1501.515 503 613 0.3310186 0.5787036
Accept 1501.576 2 there
Began 1501.914 206 449 -0.3564815 0.156893
Stationary 1501.945 206 449 -0.3564815 0.156893
Stationary 1501.976 206 449 -0.3564815 0.156893
Stationary 1502.007 206 449 -0.3564815 0.156893
Moved 1502.037 194.7432 460.2568 -0.3825389 0.1858457
Moved 1502.068 186.9268 464.0366 -0.4006324 0.1955674
Moved 1502.099 183.0876 466.9124 -0.4095195 0.202964
Moved 1502.13 180.5 467 -0.4155093 0.2031892
Moved 1502.16 178.6613 467 -0.4197655 0.2031892
Moved 1502.191 178 467 -0.4212963 0.2031892
Moved 1502.222 176 467 -0.4259259 0.2031892
Moved 1502.252 175 457.9003 -0.4282407 0.1797846
Moved 1502.283 174 450.5964 -0.4305556 0.1609989
Moved 1502.314 174 442.9705 -0.4305556 0.141385
Moved 1502.345 174 434.3585 -0.4305556 0.1192346
Moved 1502.375 174 424.1411 -0.4305556 0.0929553
Moved 1502.406 174 414.064 -0.4305556 0.06703702
Moved 1502.437 182.0295 402.9409 -0.4119686 0.03842817
Moved 1502.468 188.7645 391.4711 -0.3963786 0.008927529
Moved 1502.498 203.4906 376.5943 -0.3622903 -0.02933573
Moved 1502.529 233.6805 351.6869 -0.2924063 -0.09339799
Moved 1502.56 269.9165 326.7223 -0.2085266 -0.1576073
Moved 1502.59 301.5636 304.9175 -0.1352695 -0.2136895
Moved 1502.621 335.3371 278.7303 -0.05709012 -0.2810434
Moved 1502.652 360.2756 256.6208 0.0006380678 -0.3379093
Moved 1502.683 379.6543 236.3457 0.04549602 -0.3900574
Moved 1502.713 393.9189 222.0811 0.0785159 -0.4267462
Moved 1502.744 405.975 208.22 0.1064237 -0.4623972
Moved 1502.775 413.1268 197.8098 0.1229788 -0.4891723
Moved 1502.806 420.3748 188.9377 0.1397565 -0.5119914
Moved 1502.836 424.8828 181.6759 0.1501916 -0.530669
Moved 1502.867 428.3181 177.3638 0.1581437 -0.5417599
Moved 1502.898 430 174.8026 0.162037 -0.5483472
Moved 1502.928 431.5 173.5 0.1655093 -0.5516976
Moved 1502.959 433 171.3723 0.1689814 -0.5571701
Moved 1502.99 434 169.5006 0.1712963 -0.561984
Moved 1503.021 436.3572 170 0.1767527 -0.5606995
Moved 1503.051 443.6965 200.5835 0.1937418 -0.4820384
Moved 1503.082 444 244.5385 0.1944444 -0.3689855
Moved 1503.113 434.7089 285.7466 0.1729372 -0.2629973
Moved 1503.144 429.7812 314.313 0.1615305 -0.1895243
Moved 1503.174 419.8831 345.2629 0.1386184 -0.1099207
Moved 1503.205 410.3315 372.1159 0.1165082 -0.04085423
Moved 1503.236 399.926 392.611 0.09242117 0.01185955
Moved 1503.267 391.7556 404.5555 0.07350822 0.04258109
Moved 1503.297 385.6513 414.6974 0.05937795 0.0686662
Moved 1503.328 377.9085 423.0915 0.04145483 0.09025585
Moved 1503.359 372.6603 430.6794 0.02930622 0.1097721
Moved 1503.39 368.5738 439.2786 0.01984676 0.1318894
Moved 1503.42 364.7097 448.871 0.01090209 0.1565611
Moved 1503.451 360.8262 457.5214 0.001912514 0.17881
Moved 1503.482 359 464.2089 -0.002314796 0.1960105
Moved 1503.512 357 470.2122 -0.006944438 0.211451
Moved 1503.543 357 477.4338 -0.006944438 0.2300251
