I want to hold your hand
Basic
0.6 0.6
432 388.8
Moved 1737.313 424.5171 527 0.1493451 0.3575102
Moved 1737.344 401.5 527 0.0960648 0.3575102
Moved 1737.375 382.4517 527 0.05197157 0.3575102
Moved 1737.406 358.3774 520 -0.003755987 0.3395061
Moved 1737.436 336.252 517.4725 -0.05497217 0.3330052
Moved 1737.467 318.4832 514.1208 -0.0961036 0.3243847
Moved 1737.498 298.499 511.357 -0.1423634 0.3172761
Moved 1737.528 271.9282 505.5509 -0.20387 0.3023428
Moved 1737.559 264.5533 502.8214 -0.2209414 0.2953223
Moved 1737.59 249.166 499.5952 -0.2565602 0.2870245
Ended 1737.62 249.166 499.5952 -0.2565602 0.2870245
Began 1738.603 420 363 0.1388889 -0.06430049
Stationary 1738.634 420 363 0.1388889 -0.06430049
Stationary 1738.665 420 363 0.1388889 -0.06430049
Stationary 1738.696 420 363 0.1388889 -0.06430049
Stationary 1738.726 420 363 0.1388889 -0.06430049
Stationary 1738.757 420 363 0.1388889 -0.06430049
Stationary 1738.788 420 363 0.1388889 -0.06430049
Stationary 1738.818 420 363 0.1388889 -0.06430049
Stationary 1738.849 420 363 0.1388889 -0.06430049
Stationary 1738.88 420 363 0.1388889 -0.06430049
Moved 1738.911 420 373.0626 0.1388889 -0.03841918
Moved 1738.941 420 374.4172 0.1388889 -0.03493517
Moved 1738.972 420 377.2008 0.1388889 -0.0277757
Moved 1739.003 413.5099 379.9271 0.1238656 -0.02076357
Moved 1739.033 409.7015 383.6492 0.1150499 -0.01119041
Moved 1739.064 402.8752 388.0832 0.09924819 0.0002139291
Moved 1739.095 394.7185 392.7605 0.08036683 0.01224404
Moved 1739.126 386.5405 395.4865 0.06143629 0.01925543
Moved 1739.156 378.3684 398.2105 0.04251957 0.0262616
Moved 1739.187 369.399 400.6502 0.02175708 0.0325365
Moved 1739.218 359.8875 402.3708 -0.0002604723 0.03696198
Moved 1739.248 347.5954 404.1011 -0.02871434 0.04141231
Moved 1739.279 327.9339 405 -0.0742271 0.04372424
Moved 1739.31 322.0755 405 -0.08778819 0.04372424
Moved 1739.341 306.261 405 -0.1243958 0.04372424
Moved 1739.371 288.2497 405 -0.1660887 0.04372424
Moved 1739.402 271.7003 396.9572 -0.2043974 0.02303802
Moved 1739.433 251.5144 394.2164 -0.2511241 0.01598856
Moved 1739.464 232.4347 394 -0.2952901 0.01543206
Moved 1739.494 214.359 394 -0.337132 0.01543206
Moved 1739.525 189.9361 394 -0.3936663 0.01543206
Moved 1739.556 178.058 394 -0.4211619 0.01543206
Moved 1739.586 172.6376 394 -0.4337093 0.01543206
Moved 1739.617 163.2259 394 -0.4554955 0.01543206
Moved 1739.648 161.7904 394 -0.4588184 0.01543206
Moved 1739.678 159.0621 394 -0.465134 0.01543206
Moved 1739.709 159 394 -0.4652778 0.01543206
Stationary 1739.74 159 394 -0.4652778 0.01543206
Moved 1739.771 174.7702 393.1757 -0.4287728 0.013312
Moved 1739.801 205.1919 388.3616 -0.3583521 0.0009300875
Moved 1739.832 244.1811 382.4425 -0.2680994 -0.01429405
Moved 1739.863 279.0647 376.4892 -0.1873502 -0.02960605
Moved 1739.894 314.6844 367.7719 -0.1048973 -0.05202721
Moved 1739.924 339.9288 358.5356 -0.04646103 -0.07578304
Moved 1739.955 360.0694 349.4653 0.0001607338 -0.09911203
Moved 1739.986 376.0154 340.3231 0.0370726 -0.1226259
Moved 1740.016 388.8522 332.0985 0.0667875 -0.1437796
Moved 1740.047 399.6924 324.6538 0.09188046 -0.1629274
Moved 1740.078 409.5184 315.8611 0.114626 -0.1855424
Moved 1740.109 416.4033 308.5967 0.1305632 -0.2042266
Moved 1740.139 423.0527 300.9473 0.1459553 -0.223901
Moved 1740.17 430.6137 289.1588 0.1634577 -0.2542211
Moved 1740.201 433.9991 282.0026 0.1712943 -0.2726272
Moved 1740.231 436.7216 275.5568 0.1775963 -0.2892057
Moved 1740.262 437 273.9168 0.1782407 -0.2934238
Moved 1740.293 439 268.3895 0.1828703 -0.3076403
Moved 1740.324 440.5 264.5 0.1863426 -0.3176441
Moved 1740.354 440 258.0583 0.1851852 -0.334212
Moved 1740.385 440 253.3119 0.1851852 -0.3464201
Moved 1740.416 440 248.1902 0.1851852 -0.3595931
Moved 1740.446 440 243.2778 0.1851852 -0.3722278
Moved 1740.477 430.9133 238.9133 0.1641512 -0.3834534
Moved 1740.508 427.7267 235.7267 0.1567747 -0.3916495
Moved 1740.539 426 233.0017 0.1527777 -0.3986582
Moved 1740.569 419.2056 233 0.1370501 -0.3986626
