a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 762.147 155.004 391.0133 -0.4745278 0.007750154
Moved 762.1777 149.2653 368.9286 -0.4878117 -0.04905198
Moved 762.2085 144.2576 353.2882 -0.4994036 -0.08927938
Moved 762.2392 140.7614 341.0456 -0.5074968 -0.1207675
Moved 762.27 138 331.4604 -0.513889 -0.1454209
Moved 762.3007 135.9479 325.9479 -0.5186391 -0.1595989
Moved 762.3314 136 324.509 -0.5185185 -0.1632998
Moved 762.3622 136 322.9865 -0.5185185 -0.167216
Stationary 762.3929 136 323 -0.5185185 -0.1671811
Moved 762.4236 169.4876 352.2803 -0.441001 -0.0918718
Moved 762.4543 217.104 389.7534 -0.3307777 0.004509585
Moved 762.4851 261.025 422.3053 -0.2291089 0.08823371
Moved 762.5158 297.4557 451.5646 -0.1447783 0.1634892
Moved 762.5465 324.2086 470.5775 -0.08285056 0.2123906
Moved 762.5772 346.7906 485.1938 -0.03057718 0.249984
Moved 762.608 365.7056 498.9645 0.0132073 0.2854024
Moved 762.6387 380.4608 508.8456 0.04736294 0.3108168
Moved 762.6695 391.4656 514.4885 0.07283707 0.3253305
Moved 762.7002 402.0576 520.0144 0.09735554 0.3395432
Moved 762.731 409.7749 523.8875 0.1152197 0.3495047
Moved 762.7617 413.7596 525 0.1244435 0.3523662
Moved 762.7924 416.2576 526 0.1302258 0.3549381
Moved 762.8231 418.203 527 0.1347291 0.3575102
Ended 762.8538 419 527 0.1365741 0.3575102
Began 763.4685 275 483 -0.1967592 0.2443414
Stationary 763.4993 275 483 -0.1967592 0.2443414
Stationary 763.53 275 483 -0.1967592 0.2443414
Stationary 763.5607 275 483 -0.1967592 0.2443414
Stationary 763.5914 275 483 -0.1967592 0.2443414
Moved 763.6222 292.2623 483 -0.1568002 0.2443414
Moved 763.653 306.1944 483 -0.12455 0.2443414
Moved 763.6837 323.064 490.8663 -0.08550002 0.2645737
Moved 763.7144 344.8425 491 -0.03508672 0.2649176
Moved 763.7451 364.9857 492 0.01154095 0.2674896
Moved 763.7759 383.1482 492 0.05358378 0.2674896
Moved 763.8066 402.9128 492 0.09933511 0.2674896
Moved 763.8373 424.0416 492 0.1482445 0.2674896
Moved 763.868 441.4074 492 0.188443 0.2674896
Moved 763.8988 455.5 492 0.2210648 0.2674896
Moved 763.9295 470.7755 492 0.2564248 0.2674896
Moved 763.9603 484.9918 484 0.289333 0.2469135
Moved 763.991 497.4481 483 0.3181668 0.2443414
Moved 764.0218 504.9919 482 0.3356294 0.2417695
Moved 764.0525 510.6068 479.6966 0.3486268 0.235845
Moved 764.0832 513.1749 480 0.3545715 0.2366254
Moved 764.1139 516.0466 479 0.361219 0.2340534
Ended 764.1447 516 479 0.3611111 0.2340534
Began 765.4661 212 355 -0.3425926 -0.08487654
Stationary 765.4969 212 355 -0.3425926 -0.08487654
Stationary 765.5276 212 355 -0.3425926 -0.08487654
Stationary 765.5583 212 355 -0.3425926 -0.08487654
Stationary 765.5891 212 355 -0.3425926 -0.08487654
Stationary 765.6198 212 355 -0.3425926 -0.08487654
Moved 765.6506 212 371.1393 -0.3425926 -0.04336596
Moved 765.6813 220.6506 390.5543 -0.3225681 0.00656956
Moved 765.712 223.516 405.5799 -0.3159353 0.04521574
Moved 765.7428 227.4014 423.0067 -0.3069413 0.09003776
Moved 765.7735 230.9156 443.4093 -0.2988064 0.1425136
Moved 765.8043 234.5655 461.4791 -0.2903577 0.1889894
