electric cars need big fuel cells
Basic
0.6 0.6
432 388.8
Moved 1417.323 208.5954 326.5955 -0.3504735 -0.1579336
Moved 1417.354 207 322.7239 -0.3541667 -0.1678912
Moved 1417.385 204.9266 323 -0.3589662 -0.1671811
Stationary 1417.416 204.9266 323 -0.3589662 -0.1671811
Ended 1417.446 205 323 -0.3587963 -0.1671811
Began 1418.338 504 244 0.3333333 -0.3703704
Stationary 1418.368 504 244 0.3333333 -0.3703704
Stationary 1418.399 504 244 0.3333333 -0.3703704
Stationary 1418.43 504 244 0.3333333 -0.3703704
Moved 1418.46 504 254.2385 0.3333333 -0.3440368
Moved 1418.491 470.8227 293.1995 0.2565339 -0.2438284
Moved 1418.522 445.8826 322.8967 0.1988023 -0.1674468
Moved 1418.552 418.4329 356.3238 0.1352614 -0.08147188
Moved 1418.583 390.8846 388.8943 0.07149199 0.002300043
Moved 1418.614 368.0956 415.0336 0.0187398 0.0695307
Moved 1418.645 347.9815 440.0216 -0.02782057 0.1338003
Moved 1418.675 332.0316 458.9684 -0.06474162 0.1825318
Moved 1418.706 309.717 484.1395 -0.1163957 0.2472724
Moved 1418.737 302.5599 492.7281 -0.1329633 0.2693625
Moved 1418.768 288.3561 506.6439 -0.1658423 0.3051539
Moved 1418.798 275.9187 515.4011 -0.1946326 0.3276776
Moved 1418.829 262.2656 523.0938 -0.226237 0.3474633
Moved 1418.86 250.3215 529.8392 -0.2538853 0.3648128
Moved 1418.891 238.8468 533.2883 -0.2804471 0.3736837
Moved 1418.921 230.5594 536.8602 -0.299631 0.3828707
Moved 1418.952 222.5434 539.7283 -0.3181866 0.3902476
Moved 1418.983 218.3983 540 -0.3277816 0.3909464
Moved 1419.013 215.9005 541 -0.3335638 0.3935184
Moved 1419.044 213.9962 542 -0.3379717 0.3960905
Moved 1419.075 212.5 542 -0.3414352 0.3960905
Moved 1419.106 211.5 543 -0.34375 0.3986624
Stationary 1419.136 211.5 543 -0.34375 0.3986624
Moved 1419.167 211 543 -0.3449074 0.3986624
Stationary 1419.198 211 543 -0.3449074 0.3986624
Stationary 1419.229 211 543 -0.3449074 0.3986624
Stationary 1419.259 211 543 -0.3449074 0.3986624
Moved 1419.29 225.7063 526.0093 -0.3108651 0.3549622
Moved 1419.321 240.9171 506.7772 -0.2756548 0.3054967
Moved 1419.351 256.7032 487.2812 -0.239113 0.2553528
Moved 1419.382 272.7126 464.2023 -0.2020541 0.1959934
Moved 1419.413 282.233 448.945 -0.1800162 0.1567515
Moved 1419.444 290.867 435.5549 -0.16003 0.122312
Moved 1419.474 295.8556 422.7222 -0.1484825 0.08930591
Moved 1419.505 300.7232 412.1073 -0.1372149 0.06200433
Moved 1419.536 304.5945 401.2164 -0.1282534 0.03399284
Moved 1419.567 308.1872 393.7192 -0.1199371 0.01470993
Moved 1419.597 310 386.0042 -0.1157407 -0.005133279
Moved 1419.628 311.8651 382.1349 -0.1114235 -0.01508509
Moved 1419.659 312 379.5 -0.1111111 -0.02186214
Moved 1419.689 312 379 -0.1111111 -0.02314815
Moved 1419.72 315.2283 379 -0.1036382 -0.02314815
Ended 1419.751 319 379 -0.09490739 -0.02314815
Began 1420.488 372 169 0.02777775 -0.5632716
Stationary 1420.519 372 169 0.02777775 -0.5632716
Stationary 1420.55 372 169 0.02777775 -0.5632716
Stationary 1420.58 372 169 0.02777775 -0.5632716
Stationary 1420.611 372 169 0.02777775 -0.5632716
Moved 1420.642 372 184.8207 0.02777775 -0.5225806
Moved 1420.673 382.2665 203.6992 0.05154282 -0.4740246
Moved 1420.703 388 229.5 0.06481478 -0.4076646
Moved 1420.734 392.0365 251.1641 0.07415851 -0.3519443
Moved 1420.765 397.9026 285.8311 0.08773744 -0.2627802
Moved 1420.796 402.7673 323.4405 0.09899835 -0.1660482
Moved 1420.826 404 351.8062 0.1018518 -0.09309109
Moved 1420.857 407.2 380.7995 0.1092592 -0.01851988
Moved 1420.888 409 407.5293 0.113426 0.05022959
Moved 1420.918 410 432.4533 0.1157407 0.1143346
Moved 1420.949 411 449.2982 0.1180555 0.1576598
Moved 1420.98 413.3311 467.3174 0.1234516 0.2040056
Moved 1421.011 414 487.1984 0.125 0.2551399
Moved 1421.041 416.7842 501.4894 0.1314449 0.2918966
Moved 1421.072 422.7078 521.1234 0.145157 0.3423956
Moved 1421.103 430.3194 544.0787 0.1627764 0.4014368
Moved 1421.134 437.6243 561.5607 0.1796858 0.4464008
Moved 1421.164 446.397 575.0956 0.1999931 0.4812129
Moved 1421.195 456.1609 590.6016 0.2225947 0.5210945
Moved 1421.226 462.1762 599.7642 0.236519 0.544661
Moved 1421.256 463 603.4537 0.2384259 0.5541505
Moved 1421.287 464 604 0.2407408 0.5555555
Moved 1421.318 458.1462 604 0.2271903 0.5555555
Moved 1421.349 445.4781 593.1825 0.197866 0.5277327
