in sharp contrast to your words
Basic
0.6 0.6
432 388.8
Moved 564.1776 317.4023 464.2012 -0.0986057 0.1959905
Moved 564.2083 322.2828 468.1414 -0.08730838 0.2061249
Moved 564.239 325.0124 471.0124 -0.08098974 0.2135092
Moved 564.2697 328.886 473.886 -0.07202312 0.2209002
Moved 564.3004 331.3908 475 -0.06622503 0.2237653
Moved 564.3312 334.2473 478.2473 -0.05961269 0.2321175
Moved 564.3619 337.1363 480.1363 -0.05292525 0.236976
Moved 564.3926 341.5004 483.7502 -0.04282316 0.246271
Moved 564.4233 345.0872 486.5436 -0.03452038 0.2534556
Moved 564.454 348.4145 489.4144 -0.02681836 0.2608395
Moved 564.4848 351.2865 491.2864 -0.02017021 0.2656543
Moved 564.5155 352.8127 492 -0.01663715 0.2674896
Ended 564.5462 353 492 -0.01620372 0.2674896
Began 564.9457 290 535 -0.162037 0.3780863
Stationary 564.9764 290 535 -0.162037 0.3780863
Stationary 565.0071 290 535 -0.162037 0.3780863
Stationary 565.0378 290 535 -0.162037 0.3780863
Stationary 565.0685 290 535 -0.162037 0.3780863
Moved 565.0992 318.0893 535 -0.0970155 0.3780863
Moved 565.1299 346.8581 535 -0.03042107 0.3780863
Moved 565.1607 369.5802 525.9171 0.02217651 0.354725
Moved 565.1915 383.0906 524.3819 0.05345046 0.3507764
Moved 565.2222 397.4651 523 0.08672486 0.3472221
Moved 565.2529 410.3914 520.6522 0.1166467 0.3411835
Moved 565.2836 422.1248 518.775 0.1438073 0.3363554
Moved 565.3143 433.621 517 0.170419 0.33179
Moved 565.345 446.3766 515 0.1999459 0.326646
Moved 565.3757 455.3945 513.5352 0.2208205 0.3228784
Moved 565.4065 463.0252 514 0.2384842 0.324074
Moved 565.4372 472.653 514 0.2607709 0.324074
Moved 565.4679 479.511 514 0.2766459 0.324074
Moved 565.4987 485.2607 514 0.2899555 0.324074
Moved 565.5294 489.3102 514 0.2993291 0.324074
Moved 565.5601 492.0291 514 0.3056229 0.324074
Moved 565.5908 494.894 514 0.3122546 0.324074
Ended 565.6215 495 514 0.3125 0.324074
Began 566.0209 295 500 -0.150463 0.2880658
Stationary 566.0517 295 500 -0.150463 0.2880658
Stationary 566.0825 295 500 -0.150463 0.2880658
Moved 566.1132 312.1514 500 -0.1107607 0.2880658
Moved 566.1439 326.9941 500 -0.07640247 0.2880658
Moved 566.1746 342.3792 500 -0.0407888 0.2880658
Moved 566.2054 355.3852 500 -0.01068244 0.2880658
Moved 566.2361 366.3042 500 0.01459301 0.2880658
Moved 566.2668 378.8878 500 0.04372169 0.2880658
Moved 566.2975 392.2619 500 0.07468025 0.2880658
Moved 566.3282 408.334 507.7224 0.1118842 0.3079278
Moved 566.3589 421.3947 510.2789 0.1421172 0.3145033
Moved 566.3896 434.7448 514.149 0.1730205 0.3244572
Moved 566.4203 452.1484 520.0636 0.2133064 0.3396696
Moved 566.4511 467.5 524 0.2488426 0.3497942
Moved 566.4819 485.0647 527.413 0.2895016 0.3585723
Moved 566.5126 495.8547 530 0.3144785 0.3652262
Moved 566.5433 502.3055 532 0.3294109 0.3703703
Moved 566.574 504.7186 533 0.3349967 0.3729423
Moved 566.6047 507.5 534 0.3414352 0.3755144
Moved 566.6354 508 534 0.3425926 0.3755144
Stationary 566.6662 508 534 0.3425926 0.3755144
Stationary 566.6969 508 534 0.3425926 0.3755144
Stationary 566.7277 508 534 0.3425926 0.3755144
Moved 566.7584 485.9241 534 0.2914909 0.3755144
Moved 566.7891 471.5859 534 0.2583008 0.3755144
Moved 566.8198 453.038 534 0.2153657 0.3755144
Moved 566.8505 438.6703 534 0.1821072 0.3755144
Moved 566.8813 426.0613 534 0.1529196 0.3755144
Moved 566.912 414.8813 534 0.1270401 0.3755144
Moved 566.9427 405.5341 534 0.1054031 0.3755144
Moved 566.9734 398.9478 527 0.09015708 0.3575102
Moved 567.0042 393.3336 526 0.07716099 0.3549381
Moved 567.0349 388.1613 526 0.06518821 0.3549381
Moved 567.0656 385.7044 526 0.05950103 0.3549381
Moved 567.0963 380.8337 525 0.04822612 0.3523662
Moved 567.127 372.7953 523.2651 0.02961884 0.3479041
Moved 567.1578 362.7844 520.3922 0.006445249 0.3405149
Moved 567.1885 356.054 519 -0.009134362 0.3369341
Moved 567.2192 348.3072 515.6536 -0.02706662 0.3283271
Moved 567.2499 344.1115 515 -0.03677899 0.326646
Moved 567.2806 338.7092 513 -0.04928435 0.321502
Moved 567.3114 331.7396 511 -0.06541768 0.3163579
Moved 567.3421 325.7028 508.9009 -0.0793916 0.3109592
Moved 567.3728 318.9881 506.9941 -0.0949349 0.3060547
Moved 567.4036 312.2381 506 -0.1105599 0.3034978
Moved 567.4343 305.7448 505.2482 -0.1255908 0.3015643
Moved 567.465 300.3981 505 -0.1379673 0.3009258
Moved 567.4957 296.8282 505 -0.1462311 0.3009258
Moved 567.5264 293.9551 503.9551 -0.1528816 0.2982385
Moved 567.5572 292.5267 504 -0.1561882 0.2983539
Moved 567.5879 290.7832 504 -0.1602241 0.2983539
Moved 567.6186 289.8978 504 -0.1622736 0.2983539
Ended 567.6493 290 504 -0.162037 0.2983539
Began 568.0795 201 500 -0.3680556 0.2880658
Stationary 568.1102 201 500 -0.3680556 0.2880658
Stationary 568.1409 201 500 -0.3680556 0.2880658
Moved 568.1716 189.7099 494.8398 -0.3941899 0.2747936
Moved 568.2024 181 481.5 -0.4143519 0.2404835
Moved 568.2331 172.8539 467.0898 -0.4332087 0.2034201
Moved 568.2638 167.107 456.1605 -0.4465116 0.1753099
Moved 568.2946 161.3959 443.7919 -0.4597316 0.1434976
Moved 568.3253 158.3306 433.9918 -0.4668274 0.1182916
Moved 568.356 156 428.4582 -0.4722222 0.104059
Moved 568.3867 155 424.9543 -0.474537 0.0950471
Moved 568.4175 155 423.0822 -0.474537 0.09023191
Moved 568.4482 155 421 -0.474537 0.08487643
Moved 568.4789 154 418.2344 -0.4768519 0.07776339
Stationary 568.5096 154 418 -0.4768519 0.07716041
Stationary 568.5403 154 418 -0.4768519 0.07716041
Moved 568.571 154 416.0678 -0.4768519 0.07219079
Ended 568.6017 154 415.5 -0.4768519 0.07073037
Backspace 569.9844
Began 570.4453 462 564 0.2361111 0.4526748
Stationary 570.476 462 564 0.2361111 0.4526748
Moved 570.5067 462 547.0817 0.2361111 0.4091607
Moved 570.5374 449.6893 525.7571 0.207614 0.3543133
Moved 570.5682 444.5518 500.759 0.1957217 0.290018
Moved 570.5989 438.3968 470.5714 0.1814741 0.2123749
Moved 570.6296 435.526 449.6821 0.1748287 0.1586473
Moved 570.6603 432.0586 428.5273 0.1668023 0.1042368
Moved 570.691 430.2104 410.0519 0.1625241 0.05671791
Moved 570.7218 429 394.1031 0.1597223 0.0156974
Moved 570.7525 427.4674 371.207 0.1561746 -0.04319179
Moved 570.7832 426 352.7477 0.1527777 -0.09066947
Moved 570.8139 424.0992 335.6943 0.1483777 -0.1345313
Moved 570.8447 422.2141 315.0703 0.144014 -0.1875765
Moved 570.8754 421 303 0.1412037 -0.2186215
Moved 570.9061 418.7972 293.1889 0.1361047 -0.2438558
Moved 570.9368 418 285.7735 0.1342593 -0.2629283
Moved 570.9676 417 279.1075 0.1319444 -0.2800734
Moved 570.9983 416 274.311 0.1296297 -0.29241
Moved 571.029 415 270.6609 0.1273148 -0.3017981
Moved 571.0598 413.7908 266.7908 0.1245158 -0.311752
Moved 571.0905 412.5 263 0.1215278 -0.3215021
Ended 571.1212 412.5 263 0.1215278 -0.3215021
Began 571.6434 193 425 -0.3865741 0.09516452
Stationary 571.6742 193 425 -0.3865741 0.09516452
Stationary 571.705 193 425 -0.3865741 0.09516452
Moved 571.7357 207.2205 425 -0.3536563 0.09516452
Moved 571.7664 234.168 425 -0.2912779 0.09516452
Moved 571.7971 262.9313 425 -0.224696 0.09516452
Moved 571.8278 281.3102 425 -0.1821524 0.09516452
Moved 571.8585 292.0849 425 -0.1572108 0.09516452
Moved 571.8892 307.1906 425 -0.122244 0.09516452
Moved 571.92 322.5225 425 -0.08675341 0.09516452
Moved 571.9507 339.8974 425 -0.04653385 0.09516452
Moved 571.9814 352.5886 425 -0.0171561 0.09516452
Moved 572.0121 364.5663 425 0.01057029 0.09516452
Moved 572.0428 372.8274 425 0.02969305 0.09516452
Moved 572.0736 379.5379 425 0.04522651 0.09516452
Moved 572.1043 386.3299 425 0.06094883 0.09516452
Moved 572.1351 390.5357 425 0.07068455 0.09516452
Moved 572.1658 392.5 425 0.07523149 0.09516452
Stationary 572.1965 392.5 425 0.07523149 0.09516452
Moved 572.2272 361.2728 413.6061 0.002946258 0.06585913
Moved 572.2579 306.2653 401.8531 -0.1243859 0.03563037
Moved 572.2887 272 392.5 -0.2037037 0.01157403
Moved 572.3194 241.8838 386.752 -0.2734172 -0.003210075
Moved 572.3501 221.0745 383.0106 -0.3215868 -0.01283284
Moved 572.3808 202.7476 379.1495 -0.3640103 -0.02276354
Moved 572.4116 188.6969 377.7394 -0.3965349 -0.02639056
Moved 572.4423 178.034 377 -0.4212177 -0.02829226
Moved 572.473 172.8001 377 -0.433333 -0.02829226
Moved 572.5037 169.5 376 -0.4409722 -0.03086435
Moved 572.5344 168.4757 376 -0.4433433 -0.03086435
Moved 572.5652 168 376 -0.4444444 -0.03086435
Moved 572.5959 199.9486 402.574 -0.3704894 0.03748442
Moved 572.6266 262.9757 441.6783 -0.2245933 0.1380613
Moved 572.6573 344.5923 476.3047 -0.03566607 0.2271211
Moved 572.6881 368.7254 482.5322 0.02019763 0.2431382
Moved 572.7188 387.0281 485.4056 0.0625651 0.2505288
Moved 572.7495 400.8892 486.9778 0.09465079 0.2545725
Moved 572.7803 414.3719 488 0.125861 0.2572016
Moved 572.811 423.1478 489 0.1461754 0.2597736
Moved 572.8417 429 489 0.1597223 0.2597736
Moved 572.8724 433.1348 490 0.1692935 0.2623456
Moved 572.9031 437.0032 491 0.1782481 0.2649176
Moved 572.9338 439.5 491 0.1840278 0.2649176
Moved 572.9646 441.2768 491 0.1881408 0.2649176
Moved 572.9953 443.1253 492.1253 0.1924197 0.267812
Moved 573.0261 444.374 492 0.1953101 0.2674896
Moved 573.0568 445.2492 492 0.1973361 0.2674896
Moved 573.0875 446.0446 492 0.1991771 0.2674896
Moved 573.1182 447.2492 492 0.2019656 0.2674896
Moved 573.1489 449.293 492 0.2066968 0.2674896
Moved 573.1797 452.7144 492 0.2146167 0.2674896
Moved 573.2104 458.0423 492 0.2269496 0.2674896
Moved 573.2411 465.6327 492.5443 0.24452 0.2688894
Moved 573.2719 476.6603 493 0.2700471 0.2700616
Moved 573.3026 488.9644 494 0.2985286 0.2726337
Moved 573.3333 501.4662 494.8665 0.3274679 0.2748624
Moved 573.364 511.9271 496 0.351683 0.2777777
Moved 573.3947 520.5 497 0.3715278 0.2803498
Moved 573.4255 525.2708 498 0.3825713 0.2829217
