watch out for low flying objects
Basic
0.6 0.6
432 388.8
Moved 865.7226 359.5 557 -0.001157423 0.4346707
Moved 865.7534 358.5 558 -0.003472219 0.4372427
Moved 865.7842 359 558 -0.002314796 0.4372427
Moved 865.8148 357.7442 558 -0.005221664 0.4372427
Moved 865.8456 358 549.371 -0.004629641 0.4150487
Moved 865.8763 358 542.6859 -0.004629641 0.3978547
Moved 865.9071 374.818 531.1517 0.03430098 0.3681883
Moved 865.9378 385.726 525.3096 0.0595508 0.3531626
Moved 865.9686 407.0442 516.3186 0.1088985 0.3300375
Moved 865.9993 426.5038 510.5704 0.1539439 0.3152529
Moved 866.03 441.5028 506.9162 0.188664 0.3058544
Moved 866.0609 451.4907 504 0.2117839 0.2983539
Moved 866.0916 458.9948 500.5026 0.2291546 0.2893585
Moved 866.1223 464.7238 498.6381 0.2424162 0.284563
Moved 866.153 467.9082 495.0918 0.2497875 0.2754418
Moved 866.1838 470.7465 489.7604 0.2563577 0.2617294
Moved 866.2145 472.6164 478.9183 0.260686 0.2338432
Moved 866.2453 473 462.0913 0.2615741 0.1905639
Moved 866.276 456.1664 425.0101 0.2226074 0.09519047
Moved 866.3067 428.6276 379.0199 0.1588603 -0.02309705
Moved 866.3375 411.1997 349.1995 0.1185179 -0.09979577
Moved 866.3682 390.5 309.5 0.0706019 -0.2019033
Moved 866.3989 382.424 290.4639 0.0519074 -0.2508644
Moved 866.4296 374.8531 261.2654 0.03438215 -0.3259636
Moved 866.4604 370.0682 240.3412 0.02330611 -0.3797809
Moved 866.4912 367.6808 228.4038 0.01777957 -0.4104841
Moved 866.5219 364.6999 220.3997 0.01087934 -0.4310708
Moved 866.5527 362.833 214.6659 0.006557802 -0.4458182
Moved 866.5834 361 211.9528 0.002314846 -0.4527965
Moved 866.6141 357.8453 212 -0.004987667 -0.4526749
Moved 866.6448 349.6455 244.5149 -0.02396867 -0.3690461
Moved 866.6756 343.3831 284.3181 -0.03846492 -0.2666717
Moved 866.7064 343 320.1404 -0.03935183 -0.1745361
Moved 866.7371 343 356.3662 -0.03935183 -0.0813627
Moved 866.7678 343 381.9587 -0.03935183 -0.0155383
Moved 866.7985 343 399.1569 -0.03935183 0.02869567
Moved 866.8293 343 411.0203 -0.03935183 0.05920849
Moved 866.86 343 418.741 -0.03935183 0.07906634
Moved 866.8907 343 423.7415 -0.03935183 0.09192772
Moved 866.9215 343 426 -0.03935183 0.09773654
Moved 866.9523 343 428 -0.03935183 0.1028806
Ended 866.983 343 429 -0.03935183 0.1054526
Began 867.6285 546 508 0.4305556 0.3086419
Stationary 867.6593 546 508 0.4305556 0.3086419
Stationary 867.6901 546 508 0.4305556 0.3086419
Moved 867.7207 534.5105 508 0.4039595 0.3086419
Moved 867.7515 530.7531 508 0.3952619 0.3086419
Moved 867.7823 524.764 508 0.3813982 0.3086419
Moved 867.813 520.0179 508 0.3704119 0.3086419
Moved 867.8437 513.4247 500.4749 0.3551499 0.2892873
Moved 867.8745 504.8203 497.6068 0.3352323 0.2819105
Moved 867.9052 496.2144 492.7382 0.3153113 0.2693881
Moved 867.936 488.6459 485.6459 0.2977916 0.2511469
Moved 867.9667 480.4413 479.0809 0.2787992 0.2342616
Moved 867.9974 466.4341 466.4341 0.2463753 0.2017337
Moved 868.0281 449.7326 448.7326 0.2077143 0.1562052
Moved 868.0589 432.2499 428.2856 0.1672452 0.1036153
Moved 868.0897 408.622 399.8022 0.112551 0.03035549
