insurance is important for bad drivers
Basic
0.6 0.6
432 388.8
Moved 340.9218 507.6768 517.1179 0.3418444 0.3320932
Moved 340.9525 513.1102 523.1102 0.3544217 0.3475055
Moved 340.9833 517.9445 528.8334 0.3656122 0.3622257
Moved 341.014 520.8182 531.8182 0.3722645 0.3699028
Moved 341.0447 522.6893 536.3785 0.3765956 0.3816318
Moved 341.0754 523 539.2446 0.3773148 0.3890035
Moved 341.1062 523 543.1199 0.3773148 0.3989708
Moved 341.1369 500.0034 544 0.3240819 0.4012345
Moved 341.1675 474.4426 544 0.2649134 0.4012345
Moved 341.1983 441.9077 534.1815 0.1896011 0.3759812
Moved 341.2291 407.2941 526.1882 0.109477 0.3554223
Moved 341.2598 383.9953 519.713 0.05554477 0.3387678
Moved 341.2906 368.3254 513.3953 0.01927177 0.3225186
Moved 341.3213 354.3641 508.1821 -0.01304607 0.3091102
Moved 341.352 340.5896 506.7179 -0.04493142 0.3053443
Moved 341.3828 330.4081 506 -0.06849974 0.3034978
Moved 341.4133 323.6258 505 -0.08419956 0.3009258
Moved 341.4441 316.8994 505 -0.09976988 0.3009258
Moved 341.4749 308.7481 505 -0.1186387 0.3009258
Moved 341.5056 304.0541 505 -0.1295044 0.3009258
Moved 341.5363 296.6165 505 -0.1467211 0.3009258
Moved 341.5671 289.6602 512.6699 -0.1628236 0.320653
Moved 341.5978 284.926 514 -0.1737825 0.324074
Moved 341.6285 281.8983 514 -0.1807911 0.324074
Moved 341.6592 278.0349 514.965 -0.189734 0.3265561
Moved 341.69 275.1702 515 -0.1963654 0.326646
Moved 341.7207 273.651 515 -0.199882 0.326646
Ended 341.7515 273 515 -0.2013889 0.326646
Began 342.366 400 266 0.09259263 -0.3137861
Stationary 342.3967 400 266 0.09259263 -0.3137861
Stationary 342.4274 400 266 0.09259263 -0.3137861
Stationary 342.4582 400 266 0.09259263 -0.3137861
Stationary 342.4889 400 266 0.09259263 -0.3137861
Moved 342.5197 382.6556 289.1805 0.05244354 -0.2541654
Moved 342.5503 371.8469 305.0179 0.0274234 -0.2134314
Moved 342.5811 359.0172 320.4741 -0.002274911 -0.1736777
Moved 342.6118 348.6127 331.5164 -0.02635941 -0.1452769
Moved 342.6426 339.0031 340.9969 -0.04860396 -0.1208927
Moved 342.6733 330.4444 348.5556 -0.0684158 -0.1014517
Moved 342.704 320.8217 357.1783 -0.09069056 -0.07927388
Moved 342.7347 307.9254 364.806 -0.1205431 -0.05965542
Moved 342.7655 299.7756 370.6122 -0.1394084 -0.04472183
Moved 342.7962 289.6048 376.7964 -0.1629518 -0.02881595
Moved 342.827 278.1364 384.3976 -0.189499 -0.009265358
Moved 342.8577 267.6673 390.6664 -0.2137331 0.006857938
Moved 342.8884 259.394 395.7373 -0.2328842 0.01990039
Moved 342.9191 250.0882 399.728 -0.2544254 0.03016444
Moved 342.9499 236.98 402.604 -0.2847684 0.03756166
Moved 342.9806 223.6063 404 -0.3157261 0.04115226
Moved 343.0113 215.0906 405 -0.3354383 0.04372424
Moved 343.042 204.5908 405 -0.3597436 0.04372424
Moved 343.0728 194.124 405 -0.3839723 0.04372424
Moved 343.1035 183.5557 397.2225 -0.4084359 0.02372027
Moved 343.1342 172.867 395.9667 -0.4331782 0.0204905
Moved 343.1649 165.2811 395 -0.4507381 0.01800408
Moved 343.1957 160.4454 394 -0.461932 0.01543206
Moved 343.2264 156.7082 393 -0.4705828 0.01285996
Moved 343.2571 154.5 393 -0.4756944 0.01285996
Moved 343.2878 153.7011 393 -0.4775437 0.01285996
Moved 343.3186 152.8446 393 -0.4795263 0.01285996
Stationary 343.3493 153 393 -0.4791667 0.01285996
Moved 343.38 160.5948 393 -0.4615861 0.01285996
Moved 343.4108 177.5031 393 -0.4224465 0.01285996
Moved 343.4415 196.0422 393 -0.3795319 0.01285996
Moved 343.4721 216.3674 392.3761 -0.3324828 0.01125532
Moved 343.503 237.4866 391 -0.2835957 0.007715971
Moved 343.5337 260.5844 390 -0.2301286 0.005143954
Moved 343.5644 280.1015 389 -0.1849503 0.002572016
Moved 343.5951 299.1044 389 -0.1409619 0.002572016
Moved 343.6259 310.8156 389 -0.1138528 0.002572016
Moved 343.6566 318.3641 389 -0.09637947 0.002572016
Moved 343.6873 327.0632 389 -0.07624254 0.002572016
Moved 343.718 332.8064 389 -0.06294822 0.002572016
Moved 343.7487 335.7769 389 -0.05607197 0.002572016
Moved 343.7795 338.2951 389 -0.05024274 0.002572016
Ended 343.8102 340 389 -0.04629632 0.002572016
Began 345.1316 305 409 -0.1273148 0.05401234
Stationary 345.1623 305 409 -0.1273148 0.05401234
Stationary 345.193 305 409 -0.1273148 0.05401234
Stationary 345.2237 305 409 -0.1273148 0.05401234
Moved 345.2545 313.2529 421.8794 -0.1082108 0.08713824
Moved 345.2852 318.9574 432.9148 -0.09500603 0.1155216
Moved 345.3159 322.7063 444.4126 -0.08632798 0.1450941
Moved 345.3466 327.7954 456.4885 -0.07454767 0.1761536
Moved 345.3774 331.7688 466.3064 -0.06534999 0.2014052
Moved 345.4081 335.631 474.8929 -0.05640984 0.2234898
Moved 345.4388 338.5 485 -0.04976853 0.2494856
Moved 345.4695 341.0075 495.03 -0.04396418 0.2752828
Moved 345.5003 343 502.7794 -0.03935183 0.2952145
Moved 345.531 344 509.519 -0.03703703 0.3125489
Moved 345.5617 345 513.2332 -0.03472224 0.3221018
Moved 345.5925 345 517.1797 -0.03472224 0.3322524
Moved 345.6232 345 520.0558 -0.03472224 0.3396495
Moved 345.6539 345 522.9257 -0.03472224 0.3470309
