the back yard of our house
Basic
0.6 0.6
432 388.8
Moved 2005.165 380.1138 529.2277 0.04655977 0.3632398
Moved 2005.196 380 523.7841 0.04629632 0.3492387
Moved 2005.227 379 518.969 0.04398147 0.3368543
Moved 2005.258 378 513.511 0.04166663 0.3228162
Moved 2005.288 378 508.0624 0.04166663 0.3088023
Moved 2005.319 378 504.8071 0.04166663 0.3004296
Moved 2005.35 377 501.4405 0.03935188 0.2917708
Moved 2005.38 377 498.7281 0.03935188 0.2847945
Moved 2005.411 376 496.0098 0.03703703 0.277803
Moved 2005.442 375 493.2932 0.03472219 0.2708157
Moved 2005.473 374 492 0.03240744 0.2674896
Moved 2005.503 372.1598 489.1598 0.0281477 0.2601845
Moved 2005.534 369.4456 486.4456 0.02186477 0.2532037
Moved 2005.565 366.7259 485 0.01556923 0.2494856
Moved 2005.595 362.666 481.666 0.006171167 0.2409103
Moved 2005.626 355.8488 478.6163 -0.009609313 0.2330664
Moved 2005.657 346.5429 471.6572 -0.03115073 0.2151676
Moved 2005.688 338.3915 467.6958 -0.05001957 0.2049788
Moved 2005.718 327.8661 460.1496 -0.07438397 0.1855699
Moved 2005.749 316.0101 452.006 -0.1018285 0.1646245
Moved 2005.78 304.1197 443.8398 -0.1293526 0.1436208
Moved 2005.811 293.5352 436.7211 -0.1538536 0.1253114
Moved 2005.841 282.6101 429.4576 -0.1791434 0.1066295
Moved 2005.872 271.2877 421.2877 -0.2053525 0.08561648
Moved 2005.903 261.8073 414.1055 -0.2272978 0.06714377
Moved 2005.933 253.2857 406.9642 -0.2470239 0.04877624
Moved 2005.964 244.7982 401.1988 -0.2666709 0.03394747
Moved 2005.995 236.6075 394.7383 -0.2856309 0.01733093
Moved 2006.026 230.3025 390.3024 -0.3002258 0.005921807
Moved 2006.056 223.1977 386.7326 -0.3166719 -0.003259839
Moved 2006.087 215.0313 382.0104 -0.3355758 -0.01540541
Moved 2006.118 207.5687 378.2844 -0.3528503 -0.02498878
Moved 2006.148 200.6811 375.5604 -0.3687937 -0.03199495
Moved 2006.179 196.1622 373.1622 -0.379254 -0.03816306
Moved 2006.21 190.4421 372 -0.3924951 -0.04115226
Moved 2006.241 186.7157 371 -0.4011211 -0.04372435
Moved 2006.271 184.2159 371 -0.4069076 -0.04372435
Moved 2006.302 182.9211 371 -0.4099049 -0.04372435
Moved 2006.333 180.9117 371 -0.4145563 -0.04372435
Stationary 2006.364 181 371 -0.4143519 -0.04372435
Moved 2006.394 181 383.9241 -0.4143519 -0.01048343
Moved 2006.425 191.0762 396.127 -0.3910275 0.02090258
Moved 2006.455 203.7667 412.7667 -0.3616512 0.06370015
Moved 2006.486 217.3705 428.8446 -0.3301609 0.1050529
Moved 2006.517 230.2704 442.1245 -0.3003001 0.1392089
Moved 2006.548 243.7307 455.7307 -0.269142 0.1742043
Moved 2006.579 254.1932 464.8949 -0.2449231 0.1977749
Moved 2006.609 262.045 474.0676 -0.2267476 0.2213672
Moved 2006.64 269.313 480.313 -0.2099236 0.2374305
Moved 2006.671 275.4951 488.4951 -0.1956133 0.2584749
Moved 2006.701 281.77 497.54 -0.1810879 0.2817388
Moved 2006.732 286 504.5 -0.1712963 0.2996398
Moved 2006.763 290.001 512.0029 -0.1620348 0.3189375
Moved 2006.794 294.4601 520.1901 -0.1517128 0.3399951
Moved 2006.824 296.0833 523.1667 -0.1479552 0.3476509
Moved 2006.855 298.6191 528.2382 -0.1420854 0.3606949
Moved 2006.886 302.6142 538.2283 -0.1328376 0.3863896
Moved 2006.917 305.3373 542.3373 -0.126534 0.3969581
Moved 2006.947 307.0599 546.0599 -0.1225465 0.4065325
Moved 2006.978 308 547 -0.1203704 0.4089505
Moved 2007.009 308 549.189 -0.1203704 0.4145807
Stationary 2007.039 308 549 -0.1203704 0.4140946
Stationary 2007.07 308 549 -0.1203704 0.4140946
Stationary 2007.101 308 549 -0.1203704 0.4140946
Stationary 2007.132 308 549 -0.1203704 0.4140946
Moved 2007.162 308 540.3607 -0.1203704 0.3918742
Moved 2007.193 297.6134 528.0336 -0.1444134 0.3601688
Moved 2007.224 292.7757 514.3271 -0.1556118 0.3249153
Moved 2007.255 288.6663 497.9976 -0.1651244 0.2829156
Moved 2007.285 282.9399 480.6993 -0.1783799 0.2384241
Moved 2007.316 279.5 465.5 -0.1863426 0.1993312
Moved 2007.347 276.8221 450.1105 -0.1925414 0.1597493
Moved 2007.377 274.0989 435.5936 -0.1988451 0.1224114
Moved 2007.408 272.3737 421.8686 -0.2028386 0.0871105
Moved 2007.439 270.9544 409.7719 -0.2061241 0.05599748
Moved 2007.469 270 399.8474 -0.2083333 0.0304717
Moved 2007.5 268.5 393 -0.2118056 0.01285996
Moved 2007.531 267.7653 385.2958 -0.2135063 -0.006955268
Moved 2007.562 267 381.3591 -0.2152778 -0.01708066
Moved 2007.592 267 380 -0.2152778 -0.02057613
Ended 2007.623 267 380 -0.2152778 -0.02057613
Began 2008.053 509 556 0.3449074 0.4320986
Stationary 2008.084 509 556 0.3449074 0.4320986
Stationary 2008.114 509 556 0.3449074 0.4320986
Stationary 2008.145 509 556 0.3449074 0.4320986
Moved 2008.176 498.3415 556 0.320235 0.4320986
Moved 2008.207 493.8846 556 0.3099181 0.4320986
Moved 2008.238 488.4371 556 0.2973081 0.4320986
Moved 2008.268 483.9933 548.9766 0.2870216 0.4140342
Moved 2008.299 480.1628 547.5814 0.2781547 0.4104459
Moved 2008.33 476.8426 544.8427 0.270469 0.4034018
Moved 2008.36 473.2392 543.1196 0.2621278 0.39897
Moved 2008.391 470.5 540.5 0.2557871 0.3922324
Moved 2008.422 468.009 538.009 0.2500207 0.3858254
Moved 2008.453 464.2882 535.2882 0.2414078 0.3788276
Moved 2008.483 462.5581 534 0.237403 0.3755144
Moved 2008.514 460.0971 530.0971 0.2317063 0.365476
Moved 2008.545 458 525.7954 0.2268519 0.354412
Moved 2008.576 456 521.6771 0.2222222 0.3438197
Moved 2008.606 451.9533 514.9067 0.2128549 0.326406
Moved 2008.637 447.3144 508.9715 0.2021166 0.3111405
Moved 2008.668 439.4754 499.4754 0.1839707 0.2867165
Moved 2008.698 429.3956 490.2968 0.160638 0.2631088
Moved 2008.729 420.1332 480.5109 0.1391972 0.2379394
Moved 2008.76 409.0415 471.0346 0.113522 0.2135663
Moved 2008.791 398.12 461.84 0.0882407 0.1899176
Moved 2008.821 385.7722 452.2177 0.05965779 0.1651689
Moved 2008.852 375.3658 443.5244 0.03556897 0.1428095
Moved 2008.883 364.6934 435.2701 0.01086434 0.1215794
Moved 2008.913 353.7765 426.7765 -0.01440619 0.09973372
Moved 2008.944 343.9088 418.9088 -0.03724803 0.0794979
Moved 2008.975 334.5 410.5 -0.05902777 0.05787029
Moved 2009.006 324.5676 402.5676 -0.08201947 0.0374681
Moved 2009.036 314.5322 393.3992 -0.1052495 0.01388667
Moved 2009.067 305.6139 386.2104 -0.1258939 -0.00460295
Moved 2009.098 296.8963 378.8962 -0.1460735 -0.02341502
Moved 2009.129 290.4796 373.4797 -0.1609267 -0.03734651
Moved 2009.159 285.0315 368.0315 -0.1735383 -0.05135933
Moved 2009.19 279.7903 363.5805 -0.1856707 -0.06280734
Moved 2009.221 277 361 -0.1921296 -0.06944452
Moved 2009.251 273.6541 360 -0.1998747 -0.07201654
Ended 2009.282 274 359 -0.199074 -0.07458848
Began 2010.419 482 512 0.2824074 0.31893
Stationary 2010.45 482 512 0.2824074 0.31893
Stationary 2010.48 482 512 0.2824074 0.31893
Stationary 2010.511 482 512 0.2824074 0.31893
Stationary 2010.542 482 512 0.2824074 0.31893
Stationary 2010.573 482 512 0.2824074 0.31893
Stationary 2010.603 482 512 0.2824074 0.31893
Moved 2010.634 470.3203 512 0.2553711 0.31893
Moved 2010.665 463.5 512 0.2395834 0.31893
Moved 2010.695 457.5292 512 0.225762 0.31893
Moved 2010.726 451.0839 512 0.2108424 0.31893
Moved 2010.757 446.4821 512 0.2001901 0.31893
Moved 2010.788 439.7943 505 0.184709 0.3009258
Moved 2010.818 434.6148 504.205 0.1727195 0.2988809
Moved 2010.849 429 504 0.1597223 0.2983539
Moved 2010.88 425.0821 503 0.150653 0.2957818
Moved 2010.911 418.6385 501.3193 0.1357374 0.291459
Moved 2010.941 414.1905 501 0.1254411 0.2906378
Moved 2010.972 407.7428 498.8714 0.1105159 0.285163
Moved 2011.003 401.3921 498 0.09581506 0.2829217
Moved 2011.033 394.2159 497 0.07920355 0.2803498
Moved 2011.064 388.0316 496 0.064888 0.2777777
Moved 2011.095 383 496 0.05324075 0.2777777
Moved 2011.125 376.824 495 0.03894448 0.2752057
Moved 2011.156 369.5627 494 0.02213587 0.2726337
Moved 2011.187 363.3857 493 0.007837315 0.2700616
Moved 2011.218 357.0737 492 -0.006773919 0.2674896
Moved 2011.248 348.9977 491.3326 -0.02546832 0.265773
Moved 2011.279 340.8149 491 -0.04440993 0.2649176
Moved 2011.31 333.7527 491 -0.0607577 0.2649176
Moved 2011.341 328.2502 491 -0.07349496 0.2649176
Moved 2011.371 320.5269 491 -0.09137283 0.2649176
Moved 2011.402 314.0809 491 -0.1062942 0.2649176
Moved 2011.433 306.9562 491 -0.1227866 0.2649176
Moved 2011.464 300.6309 491 -0.1374285 0.2649176
Moved 2011.494 294.3073 491 -0.1520664 0.2649176
Moved 2011.525 287.8599 494.9904 -0.166991 0.2751811
Moved 2011.556 283.4159 500.2921 -0.1772781 0.2888169
Moved 2011.586 280.3019 504.3962 -0.1844863 0.2993728
Moved 2011.617 279 507 -0.1875 0.3060699
Moved 2011.648 275.8672 512.2655 -0.1947517 0.3196129
Moved 2011.679 276 514.5 -0.1944444 0.32536
Ended 2011.709 276 518.4832 -0.1944444 0.3356047
Began 2012.201 396 371 0.08333336 -0.04372435
Stationary 2012.232 396 371 0.08333336 -0.04372435
Stationary 2012.262 396 371 0.08333336 -0.04372435
Stationary 2012.293 396 371 0.08333336 -0.04372435
Stationary 2012.324 396 371 0.08333336 -0.04372435
Stationary 2012.354 396 371 0.08333336 -0.04372435
Stationary 2012.385 396 371 0.08333336 -0.04372435
Moved 2012.416 396 361.8828 0.08333336 -0.06717407
Stationary 2012.447 396 362 0.08333336 -0.06687243
Moved 2012.477 396 361 0.08333336 -0.06944452
Stationary 2012.508 396 361 0.08333336 -0.06944452
Moved 2012.539 396 359.8914 0.08333336 -0.07229596
Stationary 2012.569 396 359.8914 0.08333336 -0.07229596
Stationary 2012.6 396 360 0.08333336 -0.07201654
Moved 2012.631 404.6636 360 0.103388 -0.07201654
Moved 2012.662 404.0606 368.4849 0.1019922 -0.05019317
Moved 2012.692 405.9263 374.7789 0.1063108 -0.03400504
Moved 2012.723 411.3029 385.6058 0.1187568 -0.006157871
Moved 2012.754 418.1353 396.5137 0.1345724 0.02189726
Moved 2012.785 423.4991 406.9982 0.1469887 0.04886364
Moved 2012.815 430.3994 416.8659 0.1629616 0.07424355
Moved 2012.846 438.7727 428.9659 0.1823443 0.105365
Moved 2012.877 445.0953 441.4922 0.1969799 0.1375829
Moved 2012.907 451.9943 453.3257 0.2129498 0.1680188
Moved 2012.938 457.1138 462.1708 0.2248005 0.1907684
Moved 2012.969 464.5577 472.1155 0.2420318 0.2163463
Moved 2013 470.2513 479.377 0.2552113 0.2350229
Moved 2013.03 477.6649 490.4415 0.2723724 0.2634811
Moved 2013.061 484.2179 499.8268 0.2875414 0.2876204
Moved 2013.092 489.6811 506.6811 0.3001876 0.3052497
Moved 2013.123 493.7784 511.5568 0.3096723 0.3177901
Moved 2013.153 499 517 0.3217593 0.33179
Moved 2013.184 502.2276 521.4553 0.3292306 0.3432491
Moved 2013.215 504.9514 523.9514 0.3355357 0.3496692
Moved 2013.245 506 525.3624 0.337963 0.3532982
Moved 2013.276 507 527.0851 0.3402778 0.3577292
Moved 2013.307 508.5 528.5 0.34375 0.3613682
Moved 2013.338 508 529.1786 0.3425926 0.3631137
Stationary 2013.368 508 529.1786 0.3425926 0.3631137
Moved 2013.399 508 530.0612 0.3425926 0.3653837
Moved 2013.43 508 531.0887 0.3425926 0.3680265
Stationary 2013.46 508 531.0887 0.3425926 0.3680265
Stationary 2013.491 508 531 0.3425926 0.3677982
Moved 2013.522 508 532 0.3425926 0.3703703
Stationary 2013.553 508 532 0.3425926 0.3703703
Moved 2013.583 508 533.0538 0.3425926 0.3730807
Stationary 2013.614 508 533.0538 0.3425926 0.3730807
Moved 2013.645 508 534.1412 0.3425926 0.3758776
Moved 2013.676 499.513 534 0.3229467 0.3755144
Moved 2013.706 498.0788 535 0.3196269 0.3780863
Moved 2013.737 495.3607 535.6393 0.3133348 0.3797307
Moved 2013.768 492.6356 536 0.3070269 0.3806583
Moved 2013.798 488.913 536 0.2984096 0.3806583
Moved 2013.829 484.0029 537.4985 0.2870437 0.3845126
Moved 2013.86 478.5676 537 0.2744621 0.3832304
Moved 2013.891 473.1219 537 0.2618563 0.3832304
Moved 2013.921 467 537 0.2476852 0.3832304
Moved 2013.952 460.9304 537 0.2336351 0.3832304
Moved 2013.983 454.4944 537 0.2187371 0.3832304
Moved 2014.014 446.5346 528.5115 0.2003116 0.3613979
Moved 2014.044 441.229 526.0764 0.1880301 0.3551345
Moved 2014.075 433.1294 521.3765 0.169281 0.3430464
Moved 2014.106 424.9596 516.3064 0.1503694 0.3300061
Moved 2014.136 415.787 508.787 0.1291366 0.3106662
Moved 2014.167 405.5966 500.9475 0.1055478 0.2905027
Moved 2014.198 391.0734 487.0734 0.0719291 0.2548182
Moved 2014.229 376.5452 474.4543 0.03829897 0.2223617
Moved 2014.259 362.2047 458.2047 0.00510335 0.1805674
Moved 2014.29 349.5896 445.5896 -0.02409816 0.1481213
Moved 2014.321 334.2451 429.4526 -0.05961786 0.1066167
Moved 2014.351 323 416.5 -0.08564815 0.07330243
Moved 2014.382 311.0279 404.028 -0.1133613 0.04122408
Moved 2014.413 300.4043 393.4043 -0.1379531 0.01389994
Moved 2014.444 290.5005 383.5004 -0.1608785 -0.01157305
Moved 2014.474 281.7072 375.7072 -0.1812334 -0.0316174
Moved 2014.505 273 369.5 -0.2013889 -0.04758238
Moved 2014.536 264.2131 362.4098 -0.2217289 -0.06581852
Moved 2014.567 254.4529 355.7264 -0.2443219 -0.0830082
Moved 2014.597 251.0658 354.7106 -0.2521625 -0.08562095
Moved 2014.628 245.9146 352.9573 -0.2640865 -0.0901303
Moved 2014.659 241.4282 352 -0.2744717 -0.09259266
Moved 2014.689 236 352 -0.287037 -0.09259266
Moved 2014.72 230.5386 352 -0.2996791 -0.09259266
Moved 2014.751 226.7545 352 -0.3084386 -0.09259266
Moved 2014.782 222.6523 352 -0.3179345 -0.09259266
