that is a very odd question
Basic
0.6 0.6
432 388.8
Moved 694.9576 251.4456 486.4456 -0.2512833 0.2532035
Moved 694.9883 243.2231 475.3718 -0.270317 0.2247216
Moved 695.019 234.6252 462.042 -0.2902194 0.1904372
Moved 695.0497 227.0124 447.0248 -0.3078416 0.1518128
Moved 695.0805 221.6299 434.3831 -0.3203012 0.1192981
Moved 695.1113 217.9715 419.8574 -0.3287697 0.08193769
Moved 695.142 215.1088 408.4353 -0.3353962 0.05255981
Moved 695.1727 213 398.7247 -0.3402778 0.02758399
Moved 695.2035 212 392.3987 -0.3425926 0.0113134
Moved 695.2342 212 384.6645 -0.3425926 -0.008579066
Moved 695.265 212 378.9135 -0.3425926 -0.02337083
Moved 695.2957 212 374.3331 -0.3425926 -0.03515157
Moved 695.3265 212 371.5846 -0.3425926 -0.04222077
Moved 695.3572 212 368 -0.3425926 -0.05144041
Moved 695.3879 212 365.8578 -0.3425926 -0.05695021
Moved 695.4187 212 364.5 -0.3425926 -0.06044246
Moved 695.4494 212 363.6768 -0.3425926 -0.06255986
Moved 695.4802 212 363 -0.3425926 -0.06430049
Moved 695.5109 220.308 363 -0.3233612 -0.06430049
Moved 695.5416 226.5518 363 -0.3089078 -0.06430049
Moved 695.5724 231.2848 370.9967 -0.2979519 -0.04373283
Moved 695.6031 233.7366 373.7366 -0.2922763 -0.03668561
Moved 695.6339 239.1201 382.2402 -0.2798146 -0.01481437
Moved 695.6646 244.8927 391.7853 -0.2664521 0.009735955
Moved 695.6953 249.6195 401.239 -0.2555104 0.03405072
Moved 695.7261 255.3649 411.0473 -0.242211 0.05927796
Moved 695.7568 260.4458 420.8916 -0.2304495 0.0845977
Moved 695.7876 266.2826 431.3768 -0.2169383 0.1115658
Moved 695.8184 270.9222 439.8834 -0.2061985 0.1334447
Moved 695.8491 274.6109 447.8328 -0.1976599 0.1538908
Moved 695.8798 279.6858 455.0287 -0.1859125 0.1723988
Moved 695.9105 285.416 462.6241 -0.172648 0.1919343
Moved 695.9413 291.2315 469.1544 -0.1591863 0.2087303
Moved 695.972 295.9247 476.5663 -0.1483223 0.227794
Moved 696.0027 306.0495 485.5372 -0.1248853 0.2508672
Moved 696.0335 318.5184 495.7592 -0.09602223 0.2771583
Moved 696.0643 333.4314 504.9543 -0.06150141 0.3008083
Moved 696.095 349.6476 511.5492 -0.02396385 0.3177704
Moved 696.1257 370.4931 519.2838 0.02428969 0.3376639
Moved 696.1564 388.5318 524.5063 0.06604592 0.3510965
Moved 696.1872 415.9213 530.8714 0.1294475 0.3674675
Moved 696.218 433.7928 533.2988 0.1708168 0.3737109
Moved 696.2487 449.8634 535.1727 0.2080171 0.3785304
Moved 696.2795 457.5982 535.5997 0.2259218 0.3796289
Moved 696.3102 471.8366 536 0.2588809 0.3806583
Moved 696.3409 485.0308 536 0.2894232 0.3806583
Moved 696.3716 494.6274 536 0.3116375 0.3806583
Moved 696.4024 503.6479 536 0.3325183 0.3806583
Moved 696.4331 506.5359 536 0.3392035 0.3806583
Moved 696.4639 512.2494 536 0.3524292 0.3806583
Moved 696.4946 516.9937 528.0032 0.3634114 0.3600903
Moved 696.5253 520.5637 524.4363 0.3716753 0.3509163
Moved 696.5561 524.4289 519.1423 0.3806224 0.3373
Moved 696.5869 526 511.1166 0.3842592 0.3166578
Moved 696.6176 527 496.0041 0.3865741 0.2777883
Moved 696.6484 508.3332 465.7914 0.3433639 0.2000808
Moved 696.6791 479.6802 426.9566 0.2770374 0.100197
Moved 696.7098 454.4355 396.5444 0.2186006 0.02197623
Moved 696.7405 435.213 369.3196 0.1741043 -0.04804642
Moved 696.7712 415.2361 332.4723 0.1278614 -0.1428182
Moved 696.8021 406.6675 315.4459 0.1080268 -0.1866103
Moved 696.8328 402.523 302.0461 0.098433 -0.2210749
Moved 696.8635 400.4684 290.8737 0.09367684 -0.2498105
Moved 696.8943 400 285.1348 0.09259263 -0.264571
Moved 696.925 398 272.1839 0.08796295 -0.2978809
Moved 696.9557 397 265.6859 0.0856481 -0.3145941
Moved 696.9865 397 259.7255 0.0856481 -0.3299241
Moved 697.0172 397 254.9773 0.0856481 -0.3421366
Moved 697.048 397 250.6232 0.0856481 -0.3533355
Moved 697.0787 397 247.0463 0.0856481 -0.3625353
Moved 697.1094 397 244.5 0.0856481 -0.3690844
Moved 697.1401 397 242.3196 0.0856481 -0.3746925
Ended 697.1709 397 241.5 0.0856481 -0.3768004
PhraseEnd 698.1238
