taking the train is usually faster
Basic
0.6 0.6
432 388.8
Moved 836.9307 454.5746 200.2762 0.2189227 -0.4828285
Moved 836.9614 456 195.5592 0.2222222 -0.494961
Moved 836.9921 457.9455 192.0546 0.2267256 -0.503975
Moved 837.0229 458 189.1855 0.2268519 -0.511354
Moved 837.0536 458.6906 187.3094 0.2284505 -0.5161794
Moved 837.0844 459 185.8333 0.2291666 -0.5199763
Moved 837.115 459 184.5 0.2291666 -0.5234053
Moved 837.1458 459 182.5 0.2291666 -0.5285494
Ended 837.1765 459 181 0.2291666 -0.5324075
Began 838.2211 519 604 0.3680556 0.5555555
Stationary 838.2519 519 604 0.3680556 0.5555555
Stationary 838.2827 519 604 0.3680556 0.5555555
Moved 838.3134 504.4696 604 0.3344203 0.5555555
Moved 838.3441 486.6786 594.5595 0.2932374 0.5312743
Moved 838.3748 465.8841 586.824 0.2451021 0.5113786
Moved 838.4055 446.3167 579.6188 0.1998071 0.4928465
Moved 838.4362 427.1061 571.0398 0.1553382 0.4707813
Moved 838.467 405.8605 559.4302 0.1061585 0.4409213
Moved 838.4977 388.0946 549.821 0.06503384 0.4162061
Moved 838.5284 373.5 541.5 0.03125002 0.3948044
Moved 838.5591 355.2899 528.4928 -0.01090298 0.3613497
Moved 838.5898 337.1918 515.137 -0.0527967 0.3269984
Moved 838.6205 321.6357 501.7947 -0.08880616 0.2926817
Moved 838.6512 305.9512 488.2438 -0.125113 0.2578287
Moved 838.6821 285.4522 468.4523 -0.1725642 0.2069244
Moved 838.7128 269.3619 453.3619 -0.2098103 0.1681119
Moved 838.7434 258.0178 440.0178 -0.2360698 0.1337906
Moved 838.7742 245.963 424.4537 -0.2639746 0.09375933
Moved 838.8049 234.4997 410.1246 -0.2905099 0.05690484
Moved 838.8357 226.2708 398.0278 -0.3095583 0.02579147
Moved 838.8664 219.435 389.435 -0.325382 0.003690798
Moved 838.8971 214.6264 381.6263 -0.3365131 -0.01639315
Moved 838.9279 210.441 375.882 -0.3462014 -0.03116765
Moved 838.9586 206.1453 369.1453 -0.3561452 -0.04849469
