id,mode,cand,block,phrase,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,All,Top1(ratio),Top2(ratio),Top3(ratio),Top4(ratio),Top5(ratio),Top6(ratio),Top7(ratio),Top8(ratio),Top9(ratio),Top10(ratio),Top11(ratio),Top12(ratio),Top13(ratio)
8,FixStart,List,2,20,47,54,55,55,55,55,55,56,56,56,56,56,56,57,0.824561,0.947368,0.964912,0.964912,0.964912,0.964912,0.964912,0.982456,0.982456,0.982456,0.982456,0.982456,0.982456
8,FixStart,List,3,30,48,51,52,53,53,53,53,53,53,53,53,53,53,53,0.90566,0.962264,0.981132,1,1,1,1,1,1,1,1,1,1
8,FixStart,List,4,40,48,53,53,54,57,58,59,59,59,60,61,61,61,62,0.774194,0.854839,0.854839,0.870968,0.919355,0.935484,0.951613,0.951613,0.951613,0.967742,0.983871,0.983871,0.983871
9,FixStart,List,1,10,48,52,52,54,54,54,55,56,56,56,56,56,56,65,0.738462,0.8,0.8,0.830769,0.830769,0.830769,0.846154,0.861538,0.861538,0.861538,0.861538,0.861538,0.861538
9,FixStart,List,2,20,44,51,51,52,55,58,58,58,58,58,58,59,59,62,0.709677,0.822581,0.822581,0.83871,0.887097,0.935484,0.935484,0.935484,0.935484,0.935484,0.935484,0.951613,0.951613
9,FixStart,List,3,30,36,44,47,48,49,49,52,53,54,55,55,55,55,63,0.571429,0.698413,0.746032,0.761905,0.777778,0.777778,0.825397,0.84127,0.857143,0.873016,0.873016,0.873016,0.873016
9,FixStart,List,4,40,41,49,52,54,55,55,55,55,55,56,56,56,57,66,0.621212,0.742424,0.787879,0.818182,0.833333,0.833333,0.833333,0.833333,0.833333,0.848485,0.848485,0.848485,0.863636
9,Basic,List,1,10,41,48,52,53,57,58,62,67,68,68,69,69,69,96,0.427083,0.5,0.541667,0.552083,0.59375,0.604167,0.645833,0.697917,0.708333,0.708333,0.71875,0.71875,0.71875
9,Basic,List,2,20,37,42,47,53,57,59,60,61,62,62,62,64,64,82,0.451219,0.512195,0.573171,0.646341,0.695122,0.719512,0.731707,0.743902,0.756098,0.756098,0.756098,0.780488,0.780488
9,Basic,List,3,30,43,49,53,54,55,57,58,59,60,60,60,60,60,84,0.511905,0.583333,0.630952,0.642857,0.654762,0.678571,0.690476,0.702381,0.714286,0.714286,0.714286,0.714286,0.714286
9,Basic,List,4,40,43,48,57,57,58,59,59,60,60,60,61,62,62,68,0.632353,0.705882,0.838235,0.838235,0.852941,0.867647,0.867647,0.882353,0.882353,0.882353,0.897059,0.911765,0.911765
10,FixStart,Radial,1,10,48,55,58,58,58,59,59,59,60,60,60,60,60,60,0.8,0.916667,0.966667,0.966667,0.966667,0.983333,0.983333,0.983333,1,1,1,1,1
10,FixStart,Radial,2,20,44,50,50,50,50,50,50,52,52,52,53,53,53,54,0.814815,0.925926,0.925926,0.925926,0.925926,0.925926,0.925926,0.962963,0.962963,0.962963,0.981481,0.981481,0.981481
10,FixStart,Radial,3,30,48,52,53,54,55,55,55,55,55,55,55,55,55,55,0.872727,0.945455,0.963636,0.981818,1,1,1,1,1,1,1,1,1
10,FixStart,Radial,4,40,51,56,58,59,59,59,59,59,59,60,60,60,60,62,0.822581,0.903226,0.935484,0.951613,0.951613,0.951613,0.951613,0.951613,0.951613,0.967742,0.967742,0.967742,0.967742
10,Basic,Radial,1,10,38,45,47,47,49,51,53,53,53,53,56,56,56,62,0.612903,0.725806,0.758065,0.758065,0.790323,0.822581,0.854839,0.854839,0.854839,0.854839,0.903226,0.903226,0.903226
10,Basic,Radial,2,20,38,42,45,49,49,49,49,51,52,52,52,52,52,57,0.666667,0.736842,0.789474,0.859649,0.859649,0.859649,0.859649,0.894737,0.912281,0.912281,0.912281,0.912281,0.912281
10,Basic,Radial,3,30,36,47,50,50,51,51,51,53,53,53,53,53,53,55,0.654545,0.854545,0.909091,0.909091,0.927273,0.927273,0.927273,0.963636,0.963636,0.963636,0.963636,0.963636,0.963636
10,Basic,Radial,4,40,39,46,46,49,50,51,51,51,53,54,54,54,54,56,0.696429,0.821429,0.821429,0.875,0.892857,0.910714,0.910714,0.910714,0.946429,0.964286,0.964286,0.964286,0.964286
11,FixStart,List,1,10,50,53,54,55,55,55,56,56,57,57,58,58,58,62,0.806452,0.854839,0.870968,0.887097,0.887097,0.887097,0.903226,0.903226,0.919355,0.919355,0.935484,0.935484,0.935484
11,FixStart,List,2,20,35,42,42,45,45,48,49,50,51,51,51,51,53,57,0.614035,0.736842,0.736842,0.789474,0.789474,0.842105,0.859649,0.877193,0.894737,0.894737,0.894737,0.894737,0.929825
11,FixStart,List,3,30,37,43,45,46,47,51,52,54,54,55,55,55,57,68,0.544118,0.632353,0.661765,0.676471,0.691176,0.75,0.764706,0.794118,0.794118,0.808824,0.808824,0.808824,0.838235
11,FixStart,List,4,40,42,48,52,55,55,55,55,56,57,57,57,57,57,62,0.677419,0.774194,0.83871,0.887097,0.887097,0.887097,0.887097,0.903226,0.919355,0.919355,0.919355,0.919355,0.919355
11,Basic,List,1,10,28,39,44,45,48,48,48,51,51,51,51,52,52,59,0.474576,0.661017,0.745763,0.762712,0.813559,0.813559,0.813559,0.864407,0.864407,0.864407,0.864407,0.881356,0.881356
11,Basic,List,2,20,35,41,47,48,48,50,50,50,51,52,54,55,55,67,0.522388,0.61194,0.701493,0.716418,0.716418,0.746269,0.746269,0.746269,0.761194,0.776119,0.80597,0.820895,0.820895
11,Basic,List,3,30,34,38,45,50,53,55,55,55,57,57,57,57,57,67,0.507463,0.567164,0.671642,0.746269,0.791045,0.820895,0.820895,0.820895,0.850746,0.850746,0.850746,0.850746,0.850746
