id,mode,cand,block,phrase,WPM,N(words),correct,uncorrected,cancel,uncorrectCancel,delete,noexpand,wrongCancel(noexpand)
4,FixStart,Radial,3,22,18.0132,6,6,0,0,0,0,0,0
4,FixStart,Radial,3,23,16.1308,6,6,0,0,0,0,0,0
4,FixStart,Radial,3,24,15.8042,6,6,0,0,0,0,0,0
4,FixStart,Radial,3,25,18.9079,4,4,0,0,0,0,0,0
4,FixStart,Radial,3,26,16.8094,6,6,0,0,0,0,0,0
4,FixStart,Radial,3,27,17.6184,6,6,0,0,0,0,0,0
4,FixStart,Radial,3,28,15.0598,7,7,0,0,0,0,0,0
4,FixStart,Radial,3,29,15.1121,5,5,0,0,0,0,0,0
4,FixStart,Radial,3,30,18.014,8,7,1,0,0,0,0,0
4,FixStart,Radial,4,31,18.8976,6,6,0,0,0,0,0,0
4,FixStart,Radial,4,32,19.489,5,5,0,0,0,0,0,0
4,FixStart,Radial,4,33,20.425,5,5,0,0,0,0,0,0
4,FixStart,Radial,4,34,18.9093,5,5,0,0,0,0,0,0
4,FixStart,Radial,4,35,19.1388,5,5,0,0,0,0,0,0
4,FixStart,Radial,4,36,19.3744,5,5,0,0,0,0,0,0
4,FixStart,Radial,4,37,20.0425,6,6,0,0,0,0,0,0
4,FixStart,Radial,4,38,18.2894,7,7,0,0,0,0,0,0
4,FixStart,Radial,4,39,17.0078,5,5,0,0,0,0,0,0
4,FixStart,Radial,4,40,19.9101,6,6,0,0,0,0,0,0
4,Basic,Radial,1,1,14.5249,6,6,0,0,0,0,0,0
4,Basic,Radial,1,2,13.9479,6,6,0,0,0,0,0,0
4,Basic,Radial,1,3,16.5961,5,5,0,0,0,0,0,0
4,Basic,Radial,1,4,15.3034,5,5,0,0,0,0,0,0
4,Basic,Radial,1,5,13.5481,6,6,0,0,0,0,0,0
4,Basic,Radial,1,6,14.7662,5,5,0,0,0,0,0,0
4,Basic,Radial,1,7,13.0159,5,5,0,0,0,0,0,0
4,Basic,Radial,1,8,17.0881,5,5,0,0,0,0,0,0
4,Basic,Radial,1,9,13.0728,6,6,0,0,0,1,0,0
4,Basic,Radial,1,10,14.8736,7,7,0,0,0,0,0,0
4,Basic,Radial,2,11,15.9292,6,6,0,0,0,0,0,0
4,Basic,Radial,2,12,15.2007,6,6,0,0,0,0,0,0
4,Basic,Radial,2,13,15.2904,5,5,0,0,0,0,0,0
4,Basic,Radial,2,14,11.8078,5,5,0,1,0,0,0,0
4,Basic,Radial,2,15,16.8303,6,6,0,0,0,0,0,0
4,Basic,Radial,2,16,19.6362,4,4,0,0,0,0,0,0
4,Basic,Radial,2,17,17.9244,4,4,0,0,0,0,0,0
4,Basic,Radial,2,18,19.0633,4,4,0,0,0,0,0,0
4,Basic,Radial,2,19,15.7687,5,5,0,0,0,0,0,0
4,Basic,Radial,2,20,15.7846,5,5,0,0,0,0,0,0
4,Basic,Radial,3,21,16.1477,6,6,0,0,0,0,0,0
4,Basic,Radial,3,22,17.5804,4,4,0,0,0,0,0,0
4,Basic,Radial,3,23,16.2515,8,7,1,0,0,0,0,0
4,Basic,Radial,3,24,15.9774,5,5,0,0,0,0,0,0
4,Basic,Radial,3,25,14.3022,6,6,0,0,0,0,0,0
4,Basic,Radial,3,26,15.9787,4,4,0,0,0,0,0,0
4,Basic,Radial,3,27,13.3273,8,8,0,1,1,0,1,1
4,Basic,Radial,3,28,15.8362,5,5,0,0,0,0,0,0
4,Basic,Radial,3,29,16.7168,7,7,0,0,0,0,0,0
4,Basic,Radial,3,30,15.5917,5,5,0,0,0,0,0,0
4,Basic,Radial,4,31,15.9545,6,6,0,0,0,0,0,0
4,Basic,Radial,4,32,16.5305,5,5,0,0,0,0,0,0
4,Basic,Radial,4,33,13.5754,5,5,0,0,0,0,0,0
4,Basic,Radial,4,34,15.5297,5,5,0,0,0,0,0,0
4,Basic,Radial,4,35,14.3389,6,6,0,0,0,0,0,0
4,Basic,Radial,4,36,13.8451,6,6,0,0,0,0,0,0
4,Basic,Radial,4,37,10.5427,7,7,0,3,0,0,2,0
4,Basic,Radial,4,38,14.7972,5,5,0,0,0,0,0,0
4,Basic,Radial,4,39,17.0737,5,5,0,0,0,0,0,0
4,Basic,Radial,4,40,12.22,5,5,0,0,0,1,0,0
5,Basic,Radial,1,1,16.4344,9,9,0,0,0,0,0,0
5,Basic,Radial,1,2,9.56891,6,6,0,2,0,0,1,0
5,Basic,Radial,1,3,13.5947,4,4,0,2,1,0,2,1
5,Basic,Radial,1,4,14.6977,5,5,0,1,1,0,1,1
5,Basic,Radial,1,5,18.3715,5,5,0,0,0,0,0,0
5,Basic,Radial,1,6,16.2193,5,5,0,0,0,0,0,0
5,Basic,Radial,1,7,16.4146,5,5,0,0,0,0,0,0
5,Basic,Radial,1,8,20.0812,6,6,0,0,0,0,0,0
5,Basic,Radial,1,9,11.5802,6,6,0,2,0,0,1,0
5,Basic,Radial,1,10,17.8032,6,6,0,0,0,0,0,0
5,Basic,Radial,2,11,12.6565,6,6,0,3,2,0,3,2
5,Basic,Radial,2,12,15.793,5,5,0,1,0,0,1,0
5,Basic,Radial,2,13,22.3931,5,5,0,0,0,0,0,0
5,Basic,Radial,2,14,16.9805,6,6,0,0,0,0,0,0
5,Basic,Radial,2,15,21.4382,6,6,0,0,0,0,0,0
5,Basic,Radial,2,16,16.4356,5,5,0,1,0,0,1,0
5,Basic,Radial,2,17,27.743,4,4,0,0,0,0,0,0
5,Basic,Radial,2,18,13.7834,5,5,0,1,0,1,1,0
5,Basic,Radial,2,19,11.7655,6,6,0,3,0,0,2,0
5,Basic,Radial,2,20,11.8337,4,4,0,1,0,1,1,0
5,Basic,Radial,3,21,21.5957,6,6,0,0,0,0,0,0
5,Basic,Radial,3,22,10.7623,8,8,0,4,2,0,3,2
5,Basic,Radial,3,23,15.9172,6,6,0,1,0,0,1,0
5,Basic,Radial,3,24,14.8876,6,6,0,1,1,0,1,1
5,Basic,Radial,3,25,23.5345,5,5,0,0,0,0,0,0
5,Basic,Radial,3,26,19.8675,6,6,0,0,0,0,0,0
5,Basic,Radial,3,27,11.6565,5,5,0,4,1,0,4,0
5,Basic,Radial,3,28,21.862,5,5,0,0,0,0,0,0
5,Basic,Radial,3,29,13.0669,4,4,0,1,0,0,1,0
5,Basic,Radial,3,30,18.3657,5,5,0,0,0,0,0,0
5,Basic,Radial,4,31,13.6904,6,6,0,1,1,1,1,1
5,Basic,Radial,4,32,15.5762,6,6,0,1,0,0,1,0
5,Basic,Radial,4,33,24.2707,5,5,0,0,0,0,0,0
5,Basic,Radial,4,34,15.0211,6,6,0,1,0,0,1,0
