id,mode,cand,block,part(#/50),GestureSpeed(keyW/s)
2,FixStart,List,2,17,37.0988
2,FixStart,List,2,18,36.4714
2,FixStart,List,2,19,36.534
2,FixStart,List,2,20,36.1765
2,FixStart,List,2,21,36.1396
2,FixStart,List,2,22,36.0232
2,FixStart,List,2,23,33.9028
2,FixStart,List,2,24,34.7295
2,FixStart,List,2,25,33.1394
2,FixStart,List,2,26,33.6397
2,FixStart,List,2,27,36.5283
2,FixStart,List,2,28,40.7781
2,FixStart,List,2,29,41.6085
2,FixStart,List,2,30,40.4652
2,FixStart,List,2,31,38.0573
2,FixStart,List,2,32,35.532
2,FixStart,List,2,33,34.1872
2,FixStart,List,2,34,37.204
2,FixStart,List,2,35,35.6152
2,FixStart,List,2,36,34.7582
2,FixStart,List,2,37,33.8108
2,FixStart,List,2,38,35.3003
2,FixStart,List,2,39,36.5457
2,FixStart,List,2,40,39.0812
2,FixStart,List,2,41,36.4124
2,FixStart,List,2,42,33.9494
2,FixStart,List,2,43,33.0914
2,FixStart,List,2,44,31.177
2,FixStart,List,2,45,28.3241
2,FixStart,List,2,46,25.3176
2,FixStart,List,2,47,24.0181
2,FixStart,List,2,48,19.4946
2,FixStart,List,2,49,14.1773
2,FixStart,List,2,50,5.03253
2,FixStart,List,3,1,22.6554
2,FixStart,List,3,2,28.1176
2,FixStart,List,3,3,29.8256
2,FixStart,List,3,4,29.5733
2,FixStart,List,3,5,30.2848
2,FixStart,List,3,6,29.2147
2,FixStart,List,3,7,30.3855
2,FixStart,List,3,8,31.2401
2,FixStart,List,3,9,33.9331
2,FixStart,List,3,10,34.5547
2,FixStart,List,3,11,32.3833
2,FixStart,List,3,12,30.4151
2,FixStart,List,3,13,30.7956
2,FixStart,List,3,14,35.0279
2,FixStart,List,3,15,37.8258
2,FixStart,List,3,16,37.8083
2,FixStart,List,3,17,37.6411
2,FixStart,List,3,18,38.8047
2,FixStart,List,3,19,38.9693
2,FixStart,List,3,20,36.8657
2,FixStart,List,3,21,36.7472
2,FixStart,List,3,22,37.2508
2,FixStart,List,3,23,38.1663
2,FixStart,List,3,24,38.9323
2,FixStart,List,3,25,36.9421
2,FixStart,List,3,26,36.0441
2,FixStart,List,3,27,36.8025
2,FixStart,List,3,28,35.0386
2,FixStart,List,3,29,32.7566
2,FixStart,List,3,30,33.999
2,FixStart,List,3,31,33.6619
2,FixStart,List,3,32,34.6226
2,FixStart,List,3,33,34.642
2,FixStart,List,3,34,32.3389
2,FixStart,List,3,35,30.7907
2,FixStart,List,3,36,29.6414
2,FixStart,List,3,37,28.4195
2,FixStart,List,3,38,29.2152
2,FixStart,List,3,39,31.843
2,FixStart,List,3,40,31.1987
2,FixStart,List,3,41,30.0254
2,FixStart,List,3,42,27.8458
2,FixStart,List,3,43,24.9895
2,FixStart,List,3,44,23.8557
2,FixStart,List,3,45,22.8178
2,FixStart,List,3,46,21.2017
2,FixStart,List,3,47,20.2351
2,FixStart,List,3,48,16.8171
2,FixStart,List,3,49,12.0793
2,FixStart,List,3,50,4.55667
2,FixStart,List,4,1,20.5138
2,FixStart,List,4,2,24.9366
2,FixStart,List,4,3,27.9319
2,FixStart,List,4,4,29.0432
2,FixStart,List,4,5,29.5724
2,FixStart,List,4,6,31.9252
2,FixStart,List,4,7,31.2806
2,FixStart,List,4,8,31.6188
2,FixStart,List,4,9,33.0739
2,FixStart,List,4,10,34.04
2,FixStart,List,4,11,34.8394
2,FixStart,List,4,12,33.6349
2,FixStart,List,4,13,31.712
2,FixStart,List,4,14,31.4394
2,FixStart,List,4,15,32.5136
2,FixStart,List,4,16,36.9409
2,FixStart,List,4,17,37.6984
2,FixStart,List,4,18,39.6199
2,FixStart,List,4,19,40.1712
2,FixStart,List,4,20,40.1213
2,FixStart,List,4,21,37.3041
2,FixStart,List,4,22,36.7275
2,FixStart,List,4,23,36.6507
2,FixStart,List,4,24,36.3216
2,FixStart,List,4,25,34.8099
2,FixStart,List,4,26,34.4821
2,FixStart,List,4,27,32.4858
2,FixStart,List,4,28,32.1837
2,FixStart,List,4,29,32.3504
2,FixStart,List,4,30,32.0382
2,FixStart,List,4,31,31.6902
2,FixStart,List,4,32,34.2392
2,FixStart,List,4,33,32.7751
2,FixStart,List,4,34,31.5107
2,FixStart,List,4,35,33.6052
2,FixStart,List,4,36,33.5739
2,FixStart,List,4,37,31.5179
2,FixStart,List,4,38,31.0514
2,FixStart,List,4,39,29.8539
2,FixStart,List,4,40,28.9223
2,FixStart,List,4,41,31.8675
2,FixStart,List,4,42,32.0373
2,FixStart,List,4,43,31.5267
2,FixStart,List,4,44,28.6541
2,FixStart,List,4,45,27.4073
2,FixStart,List,4,46,24.2197
2,FixStart,List,4,47,21.3593
2,FixStart,List,4,48,17.0674
2,FixStart,List,4,49,12.3328
2,FixStart,List,4,50,4.60996
2,Basic,List,1,1,20.7971
2,Basic,List,1,2,33.6915
2,Basic,List,1,3,36.4472
2,Basic,List,1,4,37.8871
2,Basic,List,1,5,38.7154
2,Basic,List,1,6,38.1934
2,Basic,List,1,7,38.6723
2,Basic,List,1,8,37.649
2,Basic,List,1,9,36.6567
2,Basic,List,1,10,34.8507
2,Basic,List,1,11,32.2224
2,Basic,List,1,12,32.6159
2,Basic,List,1,13,33.897
2,Basic,List,1,14,33.5687
2,Basic,List,1,15,33.447
2,Basic,List,1,16,34.7603
2,Basic,List,1,17,35.5815
2,Basic,List,1,18,33.7147
2,Basic,List,1,19,33.5076
2,Basic,List,1,20,33.6827
2,Basic,List,1,21,34.2342
2,Basic,List,1,22,34.7307
2,Basic,List,1,23,32.4696
2,Basic,List,1,24,32.0088
2,Basic,List,1,25,29.6808
2,Basic,List,1,26,29.6592
2,Basic,List,1,27,29.3427
2,Basic,List,1,28,30.2515
2,Basic,List,1,29,32.0235
2,Basic,List,1,30,33.484
