id,scale,size,sentence,WPM,words
6,1x1,0.75,we accept personal checks,47.6637,4
6,1x1,0.75,coming up with killer sound bites,46.0155,6
6,1x1,0.75,my bare face in the wind,42.9101,6
6,1x1,0.75,he is still on our team,44.0283,6
6,1x1,0.75,call for more details,44.7403,4
6,1x1,0.75,are you talking to me,47.3239,5
6,1x1,1.25,he is just like everyone else,46.3432,6
6,1x1,1.25,just in time for the party,52.8017,6
6,1x1,1.25,healthy food is good for you,51.3793,6
6,1x1,1.25,what a monkey sees a monkey will do,54.5525,8
6,1x1,1.25,the five boxing wizards jump quickly,54.0426,6
6,1x1,1.25,the quick brown fox jumps over the lazy dog,45.3862,9
6,1x1,1.25,come and see our new car,44.5503,6
6,1x1,1.25,you must be getting old,49.5218,5
6,1x1,1.25,watch out for low flying objects,47.7683,6
6,1x1,1.25,the dow jones index has risen,42.2299,6
6,1x1,1,did you have a good time,46.773,6
6,1x1,1,reading week is just about here,51.6588,6
6,1x1,1,parking lot is full of trucks,54.3258,6
6,1x1,1,the quick brown fox jumps over the lazy dog,54.3805,9
6,1x1,1,the force is with you,57.1001,5
6,1x1,1,the five boxing wizards jump quickly,60.2091,6
6,1x1,1,our fax number has changed,54.5226,5
6,1x1,1,stay away from strangers,50.8564,4
6,1x1,1,love means many things,46.354,4
6,1x1,1,popularity is desired by all,44.4474,5
7,1x1,1.25,the force is with you,15.5738,5
7,1x1,1.25,just in time for the party,15.2355,6
7,1x1,1.25,popularity is desired by all,15.2973,5
7,1x1,1.25,the quick brown fox jumps over the lazy dog,14.2403,9
7,1x1,1.25,my bare face in the wind,13.9876,6
7,1x1,1.25,our fax number has changed,15.9262,5
7,1x1,1.25,the five boxing wizards jump quickly,13.8259,6
7,1x1,1.25,reading week is just about here,15.2181,6
7,1x1,1.25,the dow jones index has risen,14.4361,6
7,1x1,1.25,coming up with killer sound bites,14.9713,6
7,1x1,1,come and see our new car,17.2345,6
7,1x1,1,he is still on our team,15.6914,6
7,1x1,1,we accept personal checks,14.3314,4
7,1x1,1,the five boxing wizards jump quickly,14.6494,6
7,1x1,1,healthy food is good for you,16.5127,6
7,1x1,1,the quick brown fox jumps over the lazy dog,16.1253,9
7,1x1,1,frequently asked questions,16.7772,3
7,1x1,1,the music is better than it sounds,16.9382,7
7,1x1,1,you must be getting old,17.6031,5
7,1x1,1,did you have a good time,16.3709,6
7,1x1,0.75,the five boxing wizards jump quickly,17.3192,6
7,1x1,0.75,parking lot is full of trucks,16.6713,6
7,1x1,0.75,watch out for low flying objects,16.7397,6
7,1x1,0.75,stay away from strangers,15.1218,4
7,1x1,0.75,are you talking to me,16.071,5
7,1x1,0.75,he is just like everyone else,16.4995,6
7,1x1,0.75,love means many things,16.7056,4
7,1x1,0.75,what a monkey sees a monkey will do,17.1382,8
7,1x1,0.75,the quick brown fox jumps over the lazy dog,16.8859,9
7,1x1,0.75,call for more details,15.9782,4
7,1x3,1.25,the force is with you,18.1778,5
7,1x3,1.25,just in time for the party,20.6281,6
7,1x3,1.25,popularity is desired by all,20.0237,5
7,1x3,1.25,the quick brown fox jumps over the lazy dog,18.0697,9
7,1x3,1.25,my bare face in the wind,17.2266,6
7,1x3,1.25,our fax number has changed,19.6607,5
7,1x3,1.25,the five boxing wizards jump quickly,18.0814,6
7,1x3,1.25,reading week is just about here,20.8472,6
7,1x3,1.25,the dow jones index has risen,19.8112,6
7,1x3,1.25,coming up with killer sound bites,18.9361,6
7,1x3,1,come and see our new car,20.5872,6
7,1x3,1,he is still on our team,21.2523,6
7,1x3,1,we accept personal checks,13.0008,4
7,1x3,1,the five boxing wizards jump quickly,14.4217,6
7,1x3,1,healthy food is good for you,15.5486,6
7,1x3,1,the quick brown fox jumps over the lazy dog,13.9993,9
7,1x3,1,frequently asked questions,18.1027,3
7,1x3,1,the music is better than it sounds,18.0524,7
7,1x3,1,you must be getting old,17.644,5
7,1x3,1,did you have a good time,18.4498,6
7,1x3,0.75,the five boxing wizards jump quickly,15.3235,6
7,1x3,0.75,parking lot is full of trucks,16.0943,6
7,1x3,0.75,watch out for low flying objects,15.5514,6
7,1x3,0.75,stay away from strangers,16.1826,4
7,1x3,0.75,are you talking to me,16.3671,5
7,1x3,0.75,he is just like everyone else,16.6502,6
7,1x3,0.75,love means many things,14.7995,4
7,1x3,0.75,what a monkey sees a monkey will do,19.606,8
7,1x3,0.75,the quick brown fox jumps over the lazy dog,14.5051,9
7,1x3,0.75,call for more details,16.3677,4
8,1x3,1,did you have a good time,21.2815,6
8,1x3,1,love means many things,19.3608,4
8,1x3,1,he is just like everyone else,16.7956,6
8,1x3,1,the force is with you,16.2733,5
8,1x3,1,the five boxing wizards jump quickly,19.4963,6
8,1x3,1,the quick brown fox jumps over the lazy dog,17.3875,9
8,1x3,1,our fax number has changed,19.6267,5
8,1x3,1,my bare face in the wind,20.9159,6
8,1x3,1,we accept personal checks,18.8616,4
8,1x3,1,come and see our new car,20.949,6
8,1x3,0.75,call for more details,19.4688,4
8,1x3,0.75,just in time for the party,16.9622,6
8,1x3,0.75,you must be getting old,19.5443,5
8,1x3,0.75,coming up with killer sound bites,18.5881,6
8,1x3,0.75,the quick brown fox jumps over the lazy dog,15.5017,9
8,1x3,0.75,parking lot is full of trucks,15.6479,6
8,1x3,0.75,stay away from strangers,19.989,4
8,1x3,0.75,the five boxing wizards jump quickly,18.0876,6
8,1x3,0.75,are you talking to me,20.0135,5
8,1x3,0.75,reading week is just about here,21.0757,6
8,1x3,1.25,healthy food is good for you,21.6736,6
8,1x3,1.25,the quick brown fox jumps over the lazy dog,17.1291,9
8,1x3,1.25,the music is better than it sounds,20.2007,7
8,1x3,1.25,the five boxing wizards jump quickly,19.1233,6
8,1x3,1.25,what a monkey sees a monkey will do,19.3045,8
8,1x3,1.25,he is still on our team,18.6343,6
8,1x3,1.25,the dow jones index has risen,17.3694,6
8,1x3,1.25,popularity is desired by all,20.8407,5
8,1x3,1.25,frequently asked questions,20.6124,3
8,1x3,1.25,watch out for low flying objects,18.0355,6
8,1x1,1,did you have a good time,17.3883,6
8,1x1,1,love means many things,18.3668,4
8,1x1,1,he is just like everyone else,17.2524,6
8,1x1,1,the force is with you,16.5727,5
8,1x1,1,the five boxing wizards jump quickly,16.5152,6
8,1x1,1,the quick brown fox jumps over the lazy dog,14.9814,9
8,1x1,1,our fax number has changed,18.3867,5
8,1x1,1,my bare face in the wind,17.162,6
8,1x1,1,we accept personal checks,15.506,4
8,1x1,1,come and see our new car,18.5935,6
8,1x1,0.75,call for more details,18.6674,4
8,1x1,0.75,just in time for the party,15.8927,6
8,1x1,0.75,you must be getting old,18.2197,5
8,1x1,0.75,coming up with killer sound bites,18.4084,6
8,1x1,0.75,the quick brown fox jumps over the lazy dog,16.0225,9
8,1x1,0.75,parking lot is full of trucks,19.1528,6
8,1x1,0.75,stay away from strangers,17.8738,4
8,1x1,0.75,the five boxing wizards jump quickly,16.9972,6
8,1x1,0.75,are you talking to me,17.6404,5
8,1x1,0.75,reading week is just about here,21.8405,6
8,1x1,1.25,healthy food is good for you,18.5572,6
8,1x1,1.25,the quick brown fox jumps over the lazy dog,16.8731,9
8,1x1,1.25,the music is better than it sounds,18.8678,7
8,1x1,1.25,the five boxing wizards jump quickly,17.65,6
8,1x1,1.25,what a monkey sees a monkey will do,18.3869,8
8,1x1,1.25,he is still on our team,17.8235,6
8,1x1,1.25,the dow jones index has risen,17.6357,6
8,1x1,1.25,popularity is desired by all,18.8199,5
8,1x1,1.25,frequently asked questions,18.2778,3
8,1x1,1.25,watch out for low flying objects,18.8531,6
9,1x1,1,come and see our new car,11.9578,6
9,1x1,1,just in time for the party,11.7509,6
9,1x1,1,stay away from strangers,13.3127,4
9,1x1,1,he is just like everyone else,10.5029,6
9,1x1,1,parking lot is full of trucks,11.0775,6
9,1x1,1,are you talking to me,11.8307,5
9,1x1,1,the quick brown fox jumps over the lazy dog,11.1497,9
9,1x1,1,love means many things,11.3363,4
9,1x1,1,the five boxing wizards jump quickly,12.4387,6
9,1x1,1,you must be getting old,14.0449,5
9,1x1,0.75,healthy food is good for you,12.5575,6
9,1x1,0.75,my bare face in the wind,10.4719,6
9,1x1,0.75,call for more details,13.4869,4
9,1x1,0.75,the quick brown fox jumps over the lazy dog,12.6692,9
9,1x1,0.75,popularity is desired by all,12.6079,5
9,1x1,0.75,the five boxing wizards jump quickly,12.9261,6
9,1x1,0.75,what a monkey sees a monkey will do,13.3931,8
9,1x1,0.75,the force is with you,11.5712,5
9,1x1,0.75,he is still on our team,14.9359,6
9,1x1,0.75,coming up with killer sound bites,15.5409,6
9,1x1,1.25,frequently asked questions,13.3492,3
9,1x1,1.25,did you have a good time,14.3977,6
9,1x1,1.25,the music is better than it sounds,12.9745,7
9,1x1,1.25,we accept personal checks,12.6126,4
9,1x1,1.25,the quick brown fox jumps over the lazy dog,14.3208,9
9,1x1,1.25,reading week is just about here,18.3231,6
9,1x1,1.25,watch out for low flying objects,16.6088,6
9,1x1,1.25,the five boxing wizards jump quickly,16.8692,6
9,1x1,1.25,our fax number has changed,12.3238,5
9,1x1,1.25,the dow jones index has risen,15.7976,6
9,1x3,1,come and see our new car,14.2245,6
9,1x3,1,just in time for the party,17.0743,6
9,1x3,1,stay away from strangers,16.6708,4
9,1x3,1,he is just like everyone else,16.4802,6
9,1x3,1,parking lot is full of trucks,14.6273,6
9,1x3,1,are you talking to me,18.2926,5
9,1x3,1,the quick brown fox jumps over the lazy dog,14.2778,9
9,1x3,1,love means many things,14.0741,4
9,1x3,1,the five boxing wizards jump quickly,16.5032,6
9,1x3,1,you must be getting old,19.7027,5
9,1x3,0.75,healthy food is good for you,18.1698,6
9,1x3,0.75,my bare face in the wind,15.8384,6
9,1x3,0.75,call for more details,20.0049,4
9,1x3,0.75,the quick brown fox jumps over the lazy dog,17.9715,9
9,1x3,0.75,popularity is desired by all,15.079,5
9,1x3,0.75,the five boxing wizards jump quickly,17.4057,6
9,1x3,0.75,what a monkey sees a monkey will do,17.0447,8
9,1x3,0.75,the force is with you,16.966,5
9,1x3,0.75,he is still on our team,16.3418,6
9,1x3,0.75,coming up with killer sound bites,16.1965,6
9,1x3,1.25,the dow jones index has risen,14.8766,6
9,1x3,1.25,the quick brown fox jumps over the lazy dog,12.7564,9
9,1x3,1.25,popularity is desired by all,14.3496,5
9,1x3,1.25,love means many things,13.7504,4
9,1x3,1.25,reading week is just about here,16.1188,6
9,1x3,1.25,stay away from strangers,13.049,4
9,1x3,1.25,come and see our new car,15.6663,6
