id,scale,size,word,algorithm,distance
1,1x1,0.75,in,DTW,0.307096
1,1x1,0.75,the,SHARK2,0.446371
1,1x1,0.75,the,DTW,0.320055
1,1x1,0.75,water,SHARK2,0.308844
1,1x1,0.75,water,DTW,0.230201
1,1x1,0.75,problem,SHARK2,0.835638
1,1x1,0.75,problem,DTW,0.558191
1,1x1,0.75,with,SHARK2,0.494011
1,1x1,0.75,with,DTW,0.259202
1,1x1,0.75,the,SHARK2,0.525557
1,1x1,0.75,the,DTW,0.356907
1,1x1,0.75,engine,SHARK2,0.526078
1,1x1,0.75,engine,DTW,0.449785
1,1x3,1.25,yes,SHARK2,0.612498
1,1x3,1.25,yes,DTW,0.561099
1,1x3,1.25,you,SHARK2,0.699114
1,1x3,1.25,you,DTW,0.57693
1,1x3,1.25,are,SHARK2,0.880269
1,1x3,1.25,are,DTW,0.705899
1,1x3,1.25,very,SHARK2,0.384026
1,1x3,1.25,very,DTW,0.21271
1,1x3,1.25,smart,SHARK2,2.07915
1,1x3,1.25,smart,DTW,0.914981
1,1x3,1.25,love,SHARK2,1.17833
1,1x3,1.25,love,DTW,0.507577
1,1x3,1.25,means,SHARK2,0.577842
1,1x3,1.25,means,DTW,0.405246
1,1x3,1.25,many,SHARK2,0.807556
1,1x3,1.25,many,DTW,0.500857
1,1x3,1.25,things,SHARK2,0.524209
1,1x3,1.25,things,DTW,0.39725
1,1x3,1.25,time,SHARK2,0.580753
1,1x3,1.25,time,DTW,0.410943
1,1x3,1.25,to,SHARK2,1.33118
1,1x3,1.25,to,DTW,0.893323
1,1x3,1.25,go,SHARK2,0.516864
1,1x3,1.25,go,DTW,0.474682
1,1x3,1.25,shopping,SHARK2,0.74559
1,1x3,1.25,shopping,DTW,0.341737
1,1x3,1.25,you,SHARK2,0.559976
1,1x3,1.25,you,DTW,0.525279
1,1x3,1.25,must,SHARK2,0.58035
1,1x3,1.25,must,DTW,0.292927
1,1x3,1.25,be,SHARK2,0.399965
1,1x3,1.25,be,DTW,0.218419
1,1x3,1.25,getting,SHARK2,0.650126
1,1x3,1.25,getting,DTW,0.475777
1,1x3,1.25,old,SHARK2,0.702201
1,1x3,1.25,old,DTW,0.439512
1,1x3,1.25,we,SHARK2,1.48827
1,1x3,1.25,we,DTW,1.22768
1,1x3,1.25,run,SHARK2,0.631254
1,1x3,1.25,run,DTW,0.426616
1,1x3,1.25,the,SHARK2,0.430189
1,1x3,1.25,the,DTW,0.262763
1,1x3,1.25,risk,SHARK2,0.439188
1,1x3,1.25,risk,DTW,0.27075
1,1x3,1.25,of,SHARK2,0.605048
1,1x3,1.25,of,DTW,0.387838
1,1x3,1.25,failure,SHARK2,0.702371
1,1x3,1.25,failure,DTW,0.434625
1,1x3,1.25,do,SHARK2,0.648942
1,1x3,1.25,do,DTW,0.371953
1,1x3,1.25,not,SHARK2,0.631458
1,1x3,1.25,not,DTW,0.53164
1,1x3,1.25,say,SHARK2,0.543428
1,1x3,1.25,say,DTW,0.329833
1,1x3,1.25,anything,SHARK2,0.423446
1,1x3,1.25,anything,DTW,0.369343
1,1x3,1.25,one,SHARK2,0.423853
1,1x3,1.25,one,DTW,0.34045
1,1x3,1.25,heck,SHARK2,0.398283
1,1x3,1.25,heck,DTW,0.290422
1,1x3,1.25,of,SHARK2,0.233585
1,1x3,1.25,of,DTW,0.129418
1,1x3,1.25,question,SHARK2,0.78327
1,1x3,1.25,question,DTW,0.512339
1,1x3,1.25,the,SHARK2,0.547232
1,1x3,1.25,the,DTW,0.293775
1,1x3,1.25,quick,SHARK2,0.952468
1,1x3,1.25,quick,DTW,0.726586
1,1x3,1.25,brown,SHARK2,0.590746
1,1x3,1.25,brown,DTW,0.554932
1,1x3,1.25,fox,SHARK2,0.493199
1,1x3,1.25,fox,DTW,0.447524
1,1x3,1.25,jumps,SHARK2,0.989879
1,1x3,1.25,jumps,DTW,0.612513
1,1x3,1.25,over,SHARK2,0.421491
1,1x3,1.25,over,DTW,0.20256
1,1x3,1.25,the,SHARK2,0.36563
1,1x3,1.25,the,DTW,0.219461
1,1x3,1.25,lazy,SHARK2,0.476943
1,1x3,1.25,lazy,DTW,0.392375
1,1x3,1.25,dog,SHARK2,0.399552
1,1x3,1.25,dog,DTW,0.228675
1,1x3,1.25,the,SHARK2,0.383838
1,1x3,1.25,the,DTW,0.102437
1,1x3,1.25,five,SHARK2,0.527761
1,1x3,1.25,five,DTW,0.527761
1,1x3,1.25,boxing,SHARK2,1.03249
1,1x3,1.25,boxing,DTW,0.533327
1,1x3,1.25,wizards,SHARK2,0.773409
1,1x3,1.25,wizards,DTW,0.444879
1,1x3,1.25,jump,SHARK2,0.72718
1,1x3,1.25,jump,DTW,0.448318
1,1x3,1.25,quickly,SHARK2,0.41189
1,1x3,1.25,quickly,DTW,0.357929
1,1x3,1.25,breathing,SHARK2,0.813486
1,1x3,1.25,breathing,DTW,0.449547
1,1x3,1.25,is,SHARK2,0.482677
1,1x3,1.25,is,DTW,0.107418
1,1x3,1.25,difficult,SHARK2,0.589433
1,1x3,1.25,difficult,DTW,0.345869
1,1x3,1,if,SHARK2,0.950468
1,1x3,1,if,DTW,0.857896
1,1x3,1,at,SHARK2,0.668219
1,1x3,1,at,DTW,0.657555
1,1x3,1,first,SHARK2,0.614511
1,1x3,1,first,DTW,0.289082
1,1x3,1,you,SHARK2,0.357477
1,1x3,1,you,DTW,0.327202
1,1x3,1,do,SHARK2,0.368638
1,1x3,1,do,DTW,0.240367
1,1x3,1,not,SHARK2,0.374752
1,1x3,1,not,DTW,0.208611
1,1x3,1,succeed,SHARK2,0.587737
1,1x3,1,succeed,DTW,0.292791
1,1x3,1,please,SHARK2,0.335324
1,1x3,1,please,DTW,0.304964
1,1x3,1,provide,SHARK2,1.17248
1,1x3,1,provide,DTW,0.882439
1,1x3,1,your,SHARK2,0.367296
1,1x3,1,your,DTW,0.241267
1,1x3,1,date,SHARK2,0.457606
1,1x3,1,date,DTW,0.365579
1,1x3,1,of,SHARK2,0.62006
1,1x3,1,of,DTW,0.174773
1,1x3,1,birth,SHARK2,0.305526
1,1x3,1,birth,DTW,0.274467
1,1x3,1,watch,SHARK2,0.897502
1,1x3,1,watch,DTW,0.505276
1,1x3,1,out,SHARK2,0.48291
1,1x3,1,out,DTW,0.223693
1,1x3,1,for,SHARK2,0.537413
1,1x3,1,for,DTW,0.390248
1,1x3,1,low,SHARK2,0.594739
1,1x3,1,low,DTW,0.428293
1,1x3,1,flying,SHARK2,1.06442
1,1x3,1,flying,DTW,0.46892
1,1x3,1,objects,SHARK2,0.600946
1,1x3,1,objects,DTW,0.371318
1,1x3,1,the,SHARK2,0.867541
1,1x3,1,the,DTW,0.640941
1,1x3,1,force,SHARK2,0.362989
1,1x3,1,force,DTW,0.288803
1,1x3,1,is,SHARK2,0.454091
1,1x3,1,is,DTW,0.28535
1,1x3,1,with,SHARK2,0.617811
1,1x3,1,with,DTW,0.411347
1,1x3,1,you,SHARK2,0.467683
1,1x3,1,you,DTW,0.332968
1,1x3,1,the,SHARK2,0.320197
1,1x3,1,the,DTW,0.249251
1,1x3,1,quick,SHARK2,0.745121
1,1x3,1,quick,DTW,0.362653
1,1x3,1,brown,SHARK2,0.653387
1,1x3,1,brown,DTW,0.60029
1,1x3,1,fox,SHARK2,0.533804
1,1x3,1,fox,DTW,0.443069
1,1x3,1,jumps,SHARK2,0.670649
1,1x3,1,jumps,DTW,0.418713
1,1x3,1,over,SHARK2,0.543848
1,1x3,1,over,DTW,0.42438
1,1x3,1,the,SHARK2,0.317921
1,1x3,1,the,DTW,0.317738
1,1x3,1,lazy,SHARK2,0.549144
1,1x3,1,lazy,DTW,0.380148
1,1x3,1,dog,SHARK2,0.522662
1,1x3,1,dog,DTW,0.38484
1,1x3,1,are,SHARK2,0.343933
1,1x3,1,are,DTW,0.170642
1,1x3,1,you,SHARK2,0.515351
1,1x3,1,you,DTW,0.468566
1,1x3,1,talking,SHARK2,0.71855
1,1x3,1,talking,DTW,0.548994
1,1x3,1,to,SHARK2,1.26412
1,1x3,1,to,DTW,0.899669
1,1x3,1,me,SHARK2,0.335591
1,1x3,1,me,DTW,0.158534
1,1x3,1,he,SHARK2,0.99277
1,1x3,1,he,DTW,0.941113
1,1x3,1,is,SHARK2,0.333817
1,1x3,1,is,DTW,0.33223
1,1x3,1,just,SHARK2,0.511438
1,1x3,1,just,DTW,0.382353
1,1x3,1,like,SHARK2,0.567772
1,1x3,1,like,DTW,0.364817
1,1x3,1,everyone,SHARK2,0.895085
1,1x3,1,everyone,DTW,0.549609
1,1x3,1,else,SHARK2,0.330309
1,1x3,1,else,DTW,0.330309
1,1x3,1,problem,SHARK2,0.7964
1,1x3,1,problem,DTW,0.522869
1,1x3,1,with,SHARK2,0.34568
1,1x3,1,with,DTW,0.155603
1,1x3,1,the,SHARK2,0.813418
1,1x3,1,the,DTW,0.466432
1,1x3,1,engine,SHARK2,0.675467
1,1x3,1,engine,DTW,0.611725
1,1x3,1,the,SHARK2,0.685708
1,1x3,1,the,DTW,0.381132
1,1x3,1,five,SHARK2,0.958819
1,1x3,1,five,DTW,0.854423
1,1x3,1,boxing,SHARK2,0.574798
1,1x3,1,boxing,DTW,0.461163
1,1x3,1,wizards,SHARK2,0.693382
1,1x3,1,wizards,DTW,0.526613
1,1x3,1,jump,SHARK2,0.71147
1,1x3,1,jump,DTW,0.463263
1,1x3,1,quickly,SHARK2,0.532494
1,1x3,1,quickly,DTW,0.47133
1,1x3,1,the,SHARK2,0.60836
1,1x3,1,the,DTW,0.381395
1,1x3,1,power,SHARK2,1.00114
1,1x3,1,power,DTW,0.959549
1,1x3,1,of,SHARK2,1.20424
1,1x3,1,of,DTW,0.746352
