ID,Age,Gender,Dominant,Thumb(mm),Index(mm),Phone,Usage,X,Y,Height,Width,Height(mm),Width(mm),Dist2Right(mm)
9,24,Male,Right,68,80,1440P,Thumb,0.465292,0.523207,0.24375,0.572429,27.5203,36.3538,33.9582
9,24,Male,Right,68,80,720P,Thumb,0.50476,0.658228,0.253856,0.62659,24.1653,33.5514,26.5181
9,24,Male,Right,68,80,1440P,Thumb,0.457717,0.548803,0.228465,0.573969,25.7946,36.4516,34.4393
9,24,Male,Right,68,80,720P,Thumb,0.447097,0.705503,0.278056,0.597474,26.469,31.9923,29.6058
9,24,Male,Right,68,80,1440P,Thumb,0.420241,0.544434,0.237789,0.536772,26.8473,34.0893,36.8193
9,24,Male,Right,68,80,720P,Thumb,0.461378,0.65632,0.234514,0.636646,22.3241,34.0898,28.841
9,24,Male,Right,68,80,1440P,Thumb,0.460416,0.54016,0.228758,0.554001,25.8277,35.1835,34.2679
9,24,Male,Right,68,80,720P,Index,0.455556,0.687965,0.246242,0.663889,23.4405,35.5486,29.1528
9,24,Male,Right,68,80,1440P,Index,0.420062,0.58124,0.216426,0.526715,24.4353,33.4506,36.8307
9,24,Male,Right,68,80,720P,Index,0.537406,0.686354,0.285668,0.677589,27.1936,36.2822,24.7701
9,24,Male,Right,68,80,1440P,Index,0.44154,0.498449,0.310375,0.747878,35.0426,47.4962,35.4667
9,24,Male,Right,68,80,720P,Index,0.510623,0.705947,0.263106,0.632357,25.0459,33.8602,26.2042
9,24,Male,Right,68,80,1440P,Index,0.482906,0.520467,0.328519,0.700187,37.0911,44.4675,32.8396
9,24,Male,Right,68,80,720P,Index,0.418151,0.757519,0.275774,0.662813,26.2518,35.491,31.1557
9,24,Male,Right,68,80,1440P,Index,0.473006,0.536541,0.275035,0.655544,31.0526,41.6323,33.4683
9,24,Male,Right,68,80,720P,Index,0.493946,0.582091,0.270431,0.585114,25.7432,31.3305,27.0972
9,24,Male,Right,68,80,1440P,Index,0.513405,0.519839,0.283354,0.644787,31.9918,40.9492,30.9027
9,24,Male,Right,68,80,720P,Index,0.4505,0.548865,0.236793,0.596222,22.541,31.9253,29.4235
9,24,Male,Right,68,80,1440P,Index,0.483201,0.519835,0.321963,0.756181,36.3509,48.0236,32.8209
10,21,Male,Right,60,73,720P,Thumb,0.526258,0.724822,0.312575,0.732956,29.755,39.2468,25.367
10,21,Male,Right,60,73,1440P,Thumb,0.530384,0.560539,0.227219,0.647385,25.6539,41.1141,29.8244
10,21,Male,Right,60,73,720P,Thumb,0.547866,0.582145,0.351334,0.711693,33.4446,38.1083,24.21
10,21,Male,Right,60,73,1440P,Thumb,0.632415,0.62849,0.246707,0.560851,27.8542,35.6185,23.3446
10,21,Male,Right,60,73,720P,Thumb,0.530176,0.759345,0.328716,0.724371,31.2915,38.7872,25.1572
10,21,Male,Right,60,73,1440P,Thumb,0.493614,0.615016,0.278453,0.660078,31.4385,41.9202,32.1596
10,21,Male,Right,60,73,720P,Thumb,0.444444,0.701016,0.341094,0.808333,32.4697,43.283,29.7478
10,21,Male,Right,60,73,1440P,Thumb,0.506587,0.614959,0.253207,0.68691,28.5881,43.6243,31.3357
10,21,Male,Right,60,73,720P,Index,0.483526,0.707075,0.29499,0.880772,28.081,47.1618,27.6551
10,21,Male,Right,60,73,1440P,Index,0.465768,0.603852,0.285336,0.628797,32.2156,39.9337,33.928
10,21,Male,Right,60,73,720P,Index,0.527884,0.794531,0.365625,0.747782,34.8049,40.0407,25.2799
10,21,Male,Right,60,73,1440P,Index,0.442723,0.557259,0.341505,0.679013,38.5573,43.1227,35.3916
10,21,Male,Right,60,73,720P,Index,0.412737,0.682059,0.372163,0.75786,35.4273,40.5804,31.4456
10,21,Male,Right,60,73,1440P,Index,0.46827,0.594617,0.26632,0.725058,30.0686,46.047,33.7691
10,21,Male,Right,60,73,720P,Index,0.464679,0.708908,0.332949,0.696025,31.6944,37.2694,28.6643
10,21,Male,Right,60,73,1440P,Index,0.441485,0.590816,0.325711,0.677474,36.7741,43.025,35.4701
10,21,Male,Right,60,73,720P,Index,0.430058,0.582031,0.36875,0.759328,35.1024,40.659,30.5181
10,21,Male,Right,60,73,1440P,Index,0.422557,0.532037,0.280277,0.718512,31.6444,45.6312,36.6723
10,21,Male,Right,60,73,720P,Index,0.522633,0.589298,0.339533,0.763336,32.3211,40.8736,25.5611
10,21,Male,Right,60,73,1440P,Index,0.488597,0.554452,0.357628,0.717474,40.3776,45.5653,32.4782
11,25,Male,Right,63,72,720P,Thumb,0.526529,0.726629,0.292055,0.778597,27.8016,41.6908,25.3525
11,25,Male,Right,63,72,1440P,Thumb,0.550571,0.655557,0.303223,0.566705,34.2351,35.9903,28.5423
11,25,Male,Right,63,72,720P,Thumb,0.530388,0.745342,0.272331,0.778114,25.924,41.6649,25.1459
11,25,Male,Right,63,72,1440P,Thumb,0.559164,0.645938,0.312617,0.638241,35.2957,40.5334,27.9966
11,25,Male,Right,63,72,720P,Thumb,0.518189,0.74288,0.308005,0.799239,29.3199,42.796,25.7991
11,25,Male,Right,63,72,1440P,Thumb,0.556059,0.659861,0.318645,0.651853,35.9762,41.3979,28.1938
11,25,Male,Right,63,72,720P,Thumb,0.505615,0.757475,0.27255,0.807748,25.9449,43.2517,26.4724
11,25,Male,Right,63,72,1440P,Thumb,0.545476,0.67325,0.283844,0.595257,32.0471,37.8036,28.8659
11,25,Male,Right,63,72,720P,Index,0.501386,0.748891,0.311842,0.801801,29.6852,42.9332,26.6988
11,25,Male,Right,63,72,1440P,Index,0.561567,0.665672,0.316586,0.669519,35.7438,42.5198,27.844
11,25,Male,Right,63,72,720P,Index,0.485102,0.766711,0.352172,0.926171,33.5243,49.5927,27.5707
11,25,Male,Right,63,72,1440P,Index,0.570927,0.664008,0.342,0.712937,38.6132,45.2772,27.2495
11,25,Male,Right,63,72,720P,Index,0.491664,0.786894,0.409024,0.947903,38.9362,50.7564,27.2194
11,25,Male,Right,63,72,1440P,Index,0.476117,0.706049,0.368605,0.810918,41.617,51.4998,33.2707
11,25,Male,Right,63,72,720P,Index,0.496209,0.76934,0.391711,0.921526,37.2881,49.344,26.976
11,25,Male,Right,63,72,1440P,Index,0.492671,0.687727,0.333148,0.73388,37.6138,46.6072,32.2194
11,25,Male,Right,63,72,720P,Index,0.497719,0.791476,0.403892,0.927611,38.4477,49.6699,26.8951
11,25,Male,Right,63,72,1440P,Index,0.497105,0.677699,0.381266,0.856151,43.0464,54.3724,31.9378
11,25,Male,Right,63,72,720P,Index,0.50461,0.745703,0.442969,0.96061,42.1675,51.4368,26.5261
11,25,Male,Right,63,72,1440P,Index,0.491193,0.724092,0.396637,0.91178,44.7819,57.9053,32.3133
12,20,Male,Right,65,72,720P,Thumb,0.575286,0.587758,0.217703,0.635553,20.7238,34.0313,22.7417
12,20,Male,Right,65,72,1440P,Thumb,0.534662,0.521463,0.190918,0.632592,21.5554,40.1747,29.5527
12,20,Male,Right,65,72,720P,Thumb,0.516956,0.622274,0.191625,0.610431,18.2414,32.6861,25.8651
12,20,Male,Right,65,72,1440P,Thumb,0.50604,0.566936,0.189684,0.600449,21.416,38.1333,31.3704
12,20,Male,Right,65,72,720P,Thumb,0.548635,0.662732,0.172339,0.604019,16.4055,32.3428,24.1688
12,20,Male,Right,65,72,1440P,Thumb,0.530755,0.585072,0.182184,0.646226,20.5693,41.0405,29.8008
12,20,Male,Right,65,72,720P,Thumb,0.533176,0.634406,0.184338,0.646631,17.5477,34.6245,24.9965
12,20,Male,Right,65,72,1440P,Thumb,0.513331,0.564922,0.206992,0.619214,23.3702,39.325,30.9074
12,20,Male,Right,65,72,720P,Index,0.56866,0.581277,0.205573,0.633192,19.5692,33.9049,23.0965
12,20,Male,Right,65,72,1440P,Index,0.509896,0.576414,0.217039,0.633305,24.5046,40.2199,31.1255
12,20,Male,Right,65,72,720P,Index,0.533728,0.611456,0.27135,0.732061,25.8306,39.1989,24.967
12,20,Male,Right,65,72,1440P,Index,0.541218,0.567689,0.257191,0.786397,29.0379,49.9425,29.1363
12,20,Male,Right,65,72,720P,Index,0.553855,0.624094,0.242438,0.645279,23.0784,34.5521,23.8893
12,20,Male,Right,65,72,1440P,Index,0.472209,0.617852,0.282125,0.821443,31.853,52.1682,33.519
12,20,Male,Right,65,72,720P,Index,0.533152,0.640518,0.223873,0.704085,21.3111,37.7009,24.9978
12,20,Male,Right,65,72,1440P,Index,0.484213,0.552434,0.261211,0.839852,29.4918,53.3373,32.7566
12,20,Male,Right,65,72,720P,Index,0.543285,0.612748,0.238563,0.721996,22.7095,38.66,24.4552
12,20,Male,Right,65,72,1440P,Index,0.546358,0.581082,0.275492,0.766298,31.1042,48.666,28.8099
12,20,Male,Right,65,72,720P,Index,0.497372,0.636895,0.243322,0.72362,23.1625,38.7469,26.9137
12,20,Male,Right,65,72,1440P,Index,0.486872,0.518242,0.283758,0.814506,32.0374,51.7276,32.5877
13,19,Female,Right,59,71,720P,Thumb,0.563485,0.753512,0.275898,0.731363,26.2636,39.1615,23.3736
13,19,Female,Right,59,71,1440P,Thumb,0.561303,0.711961,0.256398,0.640422,28.9484,40.6719,27.8608
13,19,Female,Right,59,71,720P,Thumb,0.532244,0.807089,0.292072,0.726375,27.8032,38.8945,25.0464
13,19,Female,Right,59,71,1440P,Thumb,0.568296,0.764365,0.25216,0.648255,28.4699,41.1694,27.4166
13,19,Female,Right,59,71,720P,Thumb,0.547948,0.708897,0.308769,0.783796,29.3926,41.9691,24.2056
13,19,Female,Right,59,71,1440P,Thumb,0.557185,0.707201,0.266684,0.66649,30.1096,42.3275,28.1223
13,19,Female,Right,59,71,720P,Thumb,0.523121,0.744619,0.267012,0.809313,25.4177,43.3355,25.5349
13,19,Female,Right,59,71,1440P,Thumb,0.544301,0.709076,0.272707,0.680621,30.7897,43.2249,28.9406
13,19,Female,Right,59,71,720P,Index,0.519432,0.740234,0.277344,0.81782,26.4012,43.791,25.7325
13,19,Female,Right,59,71,1440P,Index,0.53627,0.73565,0.27577,0.669126,31.1355,42.4948,29.4505
13,19,Female,Right,59,71,720P,Index,0.515206,0.793027,0.246992,0.777921,23.5119,41.6545,25.9588
13,19,Female,Right,59,71,1440P,Index,0.548614,0.742438,0.260266,0.765606,29.385,48.6221,28.6666
13,19,Female,Right,59,71,720P,Index,0.539583,0.805964,0.20876,0.8875,19.8725,47.5221,24.6535
13,19,Female,Right,59,71,1440P,Index,0.518446,0.730764,0.328418,0.806858,37.0797,51.2419,30.5825
13,19,Female,Right,59,71,720P,Index,0.549349,0.817187,0.232813,0.793143,22.1621,42.4696,24.1305
13,19,Female,Right,59,71,1440P,Index,0.558768,0.735949,0.271023,0.772158,30.5996,49.0382,28.0218
13,19,Female,Right,59,71,720P,Index,0.52521,0.787759,0.299483,0.863327,28.5087,46.2277,25.4231
13,19,Female,Right,59,71,1440P,Index,0.532337,0.744953,0.232266,0.678924,26.2237,43.1171,29.7004
13,19,Female,Right,59,71,720P,Index,0.544444,0.809978,0.289716,0.786111,27.5789,42.0931,24.3932
13,19,Female,Right,59,71,1440P,Index,0.506828,0.729654,0.260465,0.738205,29.4075,46.8819,31.3204
14,18,Female,Right,70,73,720P,Thumb,0.5495,0.68482,0.456954,0.783753,43.4988,41.9668,24.1225
14,18,Female,Right,70,73,1440P,Thumb,0.557404,0.627006,0.32252,0.687081,36.4137,43.6351,28.1084
14,18,Female,Right,70,73,720P,Thumb,0.579018,0.715366,0.519986,0.800297,49.499,42.8527,22.5419
14,18,Female,Right,70,73,1440P,Thumb,0.570524,0.619979,0.363324,0.704424,41.0208,44.7365,27.2751
