questioning the wisdom of the courts
questioning the wisdom of the courts
Basic
0.6 0.6
432 326.4
Moved 1614.948 390 358.6396 0.06944448 -0.02867755
Moved 1614.994 410.426 407.7811 0.116727 0.1218783
Moved 1615.039 433.1576 448.2521 0.1693462 0.2458703
Moved 1615.087 442.653 460.653 0.1913264 0.2838634
Moved 1615.134 446.2474 462 0.1996467 0.2879903
Moved 1615.204 460.1455 421.4543 0.2318183 0.1637695
Moved 1615.249 463 326.4777 0.2384259 -0.1272131
Moved 1615.296 434.3442 251.6949 0.1720931 -0.3563267
Moved 1615.344 419.4565 221.6848 0.1376309 -0.4482697
Moved 1615.39 406.0526 210.0316 0.1066033 -0.4839717
Moved 1615.433 393.5505 207 0.07766316 -0.4932598
Moved 1615.479 369.5402 226.1519 0.02208372 -0.4345838
Moved 1615.525 337.1306 280.0286 -0.05293846 -0.2695201
Moved 1615.571 321.0851 335.4893 -0.09008075 -0.09960381
Moved 1615.618 319 369.7636 -0.09490739 0.00540322
Ended 1615.69 332.5 407 -0.06365741 0.1194853
Candidates 1615.797 5 questioning staining disappointing retailing sequencing
Began 1616.377 331 378 -0.06712963 0.03063726
Moved 1616.422 331 455.3904 -0.06712963 0.2677403
Ended 1616.468 313 568.5 -0.1087963 0.6142769
Accept 1616.513 questioning
Began 1616.793 300 472 -0.1388889 0.3186275
Stationary 1616.846 300 472 -0.1388889 0.3186275
Stationary 1616.89 300 472 -0.1388889 0.3186275
Stationary 1616.933 300 472 -0.1388889 0.3186275
Moved 1616.977 292.2012 452.4024 -0.1569417 0.2585858
Moved 1617.021 291 444.4885 -0.1597222 0.2343396
Moved 1617.067 290 439.9424 -0.162037 0.2204118
Moved 1617.114 290 438 -0.162037 0.2144608
Stationary 1617.158 290 438 -0.162037 0.2144608
Moved 1617.202 305.6364 438 -0.1258416 0.2144608
Moved 1617.246 327.6101 452.3051 -0.07497653 0.2582876
Moved 1617.292 349.7506 462.4376 -0.02372543 0.289331
Moved 1617.339 357.742 466 -0.00522693 0.300245
Moved 1617.383 362.6868 466 0.006219447 0.300245
Moved 1617.429 378.0009 441.9984 0.04166881 0.2267107
Moved 1617.474 394.0072 403.9785 0.07872035 0.1102282
Moved 1617.545 399 334.2346 0.09027779 -0.103448
Moved 1617.59 399 323.7459 0.09027779 -0.1355823
Moved 1617.634 388.136 322 0.0651297 -0.1409313
Moved 1617.677 374.2021 321 0.03287524 -0.1439951
Moved 1617.726 334.7619 356.9894 -0.05842154 -0.03373333
Moved 1617.773 282.1469 395.8776 -0.1802156 0.08540934
Moved 1617.819 268.107 409.8395 -0.2127152 0.1281847
Moved 1617.869 265 428.9681 -0.2199074 0.1867895
Ended 1617.916 265 445.5 -0.2199074 0.2374387
Candidates 1618.07 5 rubber drive river tube the
Began 1618.58 306 387 -0.125 0.05821083
Stationary 1618.632 306 387 -0.125 0.05821083
Moved 1618.679 306 294.4289 -0.125 -0.2254016
Moved 1618.724 306 240.4429 -0.125 -0.3907999
Moved 1618.771 306 229.0818 -0.125 -0.4256072
Moved 1618.818 306 225.6819 -0.125 -0.4360237
Moved 1618.863 306 224.9073 -0.125 -0.4383966
Moved 1618.908 306 223.9468 -0.125 -0.4413396
Moved 1618.954 306 222.9801 -0.125 -0.4443011
Moved 1618.999 306 221.7511 -0.125 -0.4480664
Moved 1619.043 306 220.861 -0.125 -0.4507935
Moved 1619.088 306 219.8599 -0.125 -0.4538608
Moved 1619.134 306 218.8135 -0.125 -0.4570666
