usage,type,key,x,y
Indirect,start,a,-0.375,-0.113426
Indirect,start,a,-0.5,-0.143519
Indirect,start,a,-0.49537,-0.0162038
Indirect,start,a,-0.409722,0.0879629
Indirect,start,a,-0.386574,-0.0185185
Indirect,start,a,-0.226852,-0.0972223
Indirect,start,a,-0.414352,-0.233796
Indirect,start,a,-0.402778,-0.162037
Indirect,start,a,-0.405093,-0.0439816
Indirect,start,a,-0.50463,-0.319444
Indirect,start,a,-0.5,-0.152778
Indirect,start,a,-0.546296,-0.12963
Indirect,start,a,-0.476852,-0.31713
Indirect,start,a,-0.634259,0.222222
Indirect,start,a,-0.407407,-0.252315
Indirect,start,a,-0.483796,-0.185185
Indirect,start,a,-0.655093,-0.0694445
Indirect,start,a,-0.601852,-0.087963
Indirect,start,a,-0.62963,0.0300925
Indirect,start,a,-0.402778,0.101852
Indirect,start,a,-0.525463,0.00925923
Indirect,start,a,-0.5625,-0.0162038
Indirect,start,a,-0.537037,-3.53213e-008
Indirect,start,a,-0.506945,-0.037037
Indirect,start,a,-0.430556,-0.347222
Indirect,start,a,-0.467593,0.0254629
Indirect,start,a,-0.453704,-0.0833334
Indirect,start,a,-0.502315,-0.0601852
Indirect,start,a,-0.543982,-0.0185185
Indirect,start,a,-0.337963,-0.159722
Indirect,start,a,-0.395833,0.011574
Indirect,start,a,-0.469907,-0.162037
Indirect,start,a,-0.333333,-0.127315
Indirect,start,a,-0.5625,-0.162037
Indirect,start,a,-0.421296,-0.0833334
Indirect,start,a,-0.349537,0.0254629
Indirect,start,a,-0.435185,0.0231481
Indirect,start,a,-0.465278,-0.0486111
Indirect,start,a,-0.479167,-0.0231482
Indirect,start,a,-0.391204,-0.136574
Indirect,start,a,-0.509259,0.0995369
Indirect,start,a,-0.636574,-0.199074
Indirect,start,a,-0.462963,-0.115741
Indirect,start,a,-0.460648,-0.0486111
Indirect,start,a,-0.201389,-0.148148
Indirect,start,a,-0.293982,0.074074
Indirect,start,a,-0.356482,0.00925923
Indirect,start,a,-0.601852,-0.0925926
Indirect,start,a,-0.275463,-0.122685
Indirect,start,a,-0.356482,-0.0694445
Indirect,start,a,-0.395833,-0.0208333
Indirect,start,a,-0.446759,-3.53213e-008
Indirect,start,a,-0.456018,0.138889
Indirect,start,a,-0.30787,-0.0532408
Indirect,start,a,-0.506945,-0.138889
Indirect,start,a,-0.472222,-0.106482
Indirect,start,a,-0.354167,-0.122685
Indirect,start,a,-0.555555,0.0231481
Indirect,start,a,-0.486111,-0.050926
Indirect,start,a,-0.539352,0.0439814
Indirect,start,a,-0.435185,-0.00925926
Indirect,start,a,-0.259259,-0.0439816
Indirect,start,a,-0.465278,-0.00231485
Indirect,start,a,-0.386574,-0.0046297
Indirect,start,a,-0.384259,-0.0277779
Indirect,start,a,-0.386574,-0.0833334
Indirect,start,a,-0.418982,-0.155093
Indirect,start,a,-0.365741,0.143518
Indirect,start,a,-0.564815,-0.037037
Indirect,start,a,-0.4375,-0.261574
Indirect,start,a,-0.37037,-0.152778
Indirect,start,a,-0.347222,-0.178241
Indirect,start,a,-0.358796,-0.12963
Indirect,start,a,-0.435185,-0.108796
Indirect,start,a,-0.273148,-0.0648149
Indirect,start,a,-0.405093,-0.125
Indirect,start,a,-0.4375,-0.050926
Indirect,start,a,-0.384259,-0.203704
Indirect,start,a,-0.520833,0.173611
Indirect,start,a,-0.578704,0.00694437
Indirect,start,a,-0.391204,-0.236111
Indirect,start,a,-0.453704,0.00231481
Indirect,start,a,-0.483796,0.0601852
Indirect,end,a,-0.270833,0.00231481
Indirect,end,a,-0.361111,0.00925923
Indirect,end,a,-0.395833,0.00462956
Indirect,end,a,-0.451389,0.0347222
Indirect,end,a,-0.386574,-0.0324074
Indirect,end,a,-0.444444,0.0231481
Indirect,end,a,-0.393518,-0.0304171
Indirect,end,a,-0.587963,0.0949073
Indirect,end,a,-0.581018,-0.013889
Indirect,end,a,-0.44213,-0.0763889
Indirect,end,a,-0.439815,-0.025463
Indirect,end,a,-0.421296,0.0717593
Indirect,end,a,-0.334491,0.101852
Indirect,end,a,-0.434396,0.028737
Indirect,end,a,-0.456018,0.106481
Indirect,end,a,-0.39916,0.0364277
Indirect,end,a,-0.449074,-0.12963
Indirect,end,a,-0.418982,0.0648147
Indirect,end,a,-0.425926,-0.108796
Indirect,end,a,-0.486111,0.0810184
Indirect,end,a,-0.402778,-0.087963
Indirect,end,a,-0.326389,-0.0185185
