id,algorithm,block,mode,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,all,top1(ratio),top2(ratio),top3(ratio),top4(ratio),top5(ratio),top6(ratio),top7(ratio),top8(ratio),top9(ratio),top10(ratio),top11(ratio),top12(ratio)
7,DTW,6,FixStart,25,29,30,31,32,32,32,33,33,33,33,33,33,0.757576,0.878788,0.909091,0.939394,0.969697,0.969697,0.969697,1,1,1,1,1
7,DTW,7,FixStart,26,31,31,31,32,32,32,32,32,32,32,32,32,0.8125,0.96875,0.96875,0.96875,1,1,1,1,1,1,1,1
7,DTW,8,FixStart,24,29,29,29,29,29,29,29,29,29,29,29,29,0.827586,1,1,1,1,1,1,1,1,1,1,1
8,DTW,1,Basic,26,28,30,30,30,30,30,30,30,30,30,30,37,0.702703,0.756757,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811,0.810811
8,DTW,2,Basic,22,29,30,31,32,33,33,33,33,33,33,33,39,0.564103,0.74359,0.769231,0.794872,0.820513,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154
8,DTW,3,Basic,28,29,30,30,31,31,31,31,31,31,32,32,34,0.823529,0.852941,0.882353,0.882353,0.911765,0.911765,0.911765,0.911765,0.911765,0.911765,0.941176,0.941176
8,DTW,4,Basic,24,26,29,29,32,33,33,33,33,33,33,33,34,0.705882,0.764706,0.852941,0.852941,0.941176,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588,0.970588
8,DTW,5,Basic,16,20,24,28,29,31,31,31,31,32,32,32,35,0.457143,0.571429,0.685714,0.8,0.828571,0.885714,0.885714,0.885714,0.885714,0.914286,0.914286,0.914286
8,DTW,6,Basic,25,29,30,30,30,30,32,32,32,32,32,32,36,0.694444,0.805556,0.833333,0.833333,0.833333,0.833333,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889
8,DTW,7,Basic,24,27,27,28,28,28,29,29,32,32,32,32,35,0.685714,0.771429,0.771429,0.8,0.8,0.8,0.828571,0.828571,0.914286,0.914286,0.914286,0.914286
8,DTW,8,Basic,22,27,27,29,31,31,31,31,31,32,32,32,34,0.647059,0.794118,0.794118,0.852941,0.911765,0.911765,0.911765,0.911765,0.911765,0.941176,0.941176,0.941176
8,DTW,1,FixStart,26,29,33,33,33,33,34,34,34,34,34,34,34,0.764706,0.852941,0.970588,0.970588,0.970588,0.970588,1,1,1,1,1,1
8,DTW,2,FixStart,26,29,30,32,32,32,32,32,32,33,33,33,36,0.722222,0.805556,0.833333,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.916667,0.916667,0.916667
8,DTW,3,FixStart,27,30,31,31,33,33,33,33,33,33,34,34,35,0.771429,0.857143,0.885714,0.885714,0.942857,0.942857,0.942857,0.942857,0.942857,0.942857,0.971429,0.971429
8,DTW,4,FixStart,27,32,32,32,33,34,34,34,34,34,34,34,35,0.771429,0.914286,0.914286,0.914286,0.942857,0.971429,0.971429,0.971429,0.971429,0.971429,0.971429,0.971429
8,DTW,5,FixStart,24,32,35,35,35,35,35,35,35,35,35,35,38,0.631579,0.842105,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053,0.921053
8,DTW,6,FixStart,23,25,30,31,31,31,31,31,31,31,31,31,31,0.741935,0.806452,0.967742,1,1,1,1,1,1,1,1,1
8,DTW,7,FixStart,27,29,30,33,33,33,33,33,34,34,34,34,36,0.75,0.805556,0.833333,0.916667,0.916667,0.916667,0.916667,0.916667,0.944444,0.944444,0.944444,0.944444
8,DTW,8,FixStart,25,27,28,30,31,32,32,33,34,34,34,34,35,0.714286,0.771429,0.8,0.857143,0.885714,0.914286,0.914286,0.942857,0.971429,0.971429,0.971429,0.971429
9,DTW,1,Basic,25,28,30,30,31,31,31,31,31,31,32,32,36,0.694444,0.777778,0.833333,0.833333,0.861111,0.861111,0.861111,0.861111,0.861111,0.861111,0.888889,0.888889
9,DTW,2,Basic,34,37,38,38,38,38,38,38,38,38,38,38,43,0.790698,0.860465,0.883721,0.883721,0.883721,0.883721,0.883721,0.883721,0.883721,0.883721,0.883721,0.883721
9,DTW,3,Basic,27,30,33,33,33,33,33,33,33,33,33,33,39,0.692308,0.769231,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154,0.846154
9,DTW,4,Basic,27,30,31,31,32,32,32,32,32,32,32,32,36,0.75,0.833333,0.861111,0.861111,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889,0.888889
