user_id,usage,phrase_id,word_id,precision
1,Direct,78,3,0.458011
1,Direct,78,4,0.379302
1,Direct,79,1,0.198011
1,Direct,79,2,0.483303
1,Direct,79,3,0.32728
1,Direct,79,4,0.765301
1,Direct,79,5,0.563088
1,Direct,80,1,0.652843
1,Direct,80,2,0.644332
1,Direct,80,3,0.564189
1,Direct,80,4,0.581264
2,Indirect,1,1,0.254373
2,Indirect,1,2,0.788947
2,Indirect,1,3,0.564411
2,Indirect,1,4,0.491861
2,Indirect,1,5,0.504979
2,Indirect,1,6,0.698526
2,Indirect,1,7,0.373497
2,Indirect,1,8,0.554696
2,Indirect,1,9,0.851111
2,Indirect,2,1,0.457768
2,Indirect,2,2,0.588364
2,Indirect,2,3,0.544673
2,Indirect,2,4,0.571049
2,Indirect,2,5,0.469418
2,Indirect,2,6,0.682476
2,Indirect,3,1,0.474825
2,Indirect,3,2,0.539768
2,Indirect,3,3,0.482835
2,Indirect,3,4,1.23918
2,Indirect,3,5,0.606099
2,Indirect,3,6,0.608688
2,Indirect,4,1,0.608571
2,Indirect,4,2,0.372415
2,Indirect,4,3,0.557463
2,Indirect,4,4,0.488251
2,Indirect,5,1,0.685733
2,Indirect,5,2,0.558399
2,Indirect,5,3,0.291151
2,Indirect,5,4,0.974322
2,Indirect,5,5,0.481752
2,Indirect,5,6,0.277337
2,Indirect,6,1,0.308709
2,Indirect,6,2,0.729622
2,Indirect,6,3,0.401086
2,Indirect,6,4,0.590899
2,Indirect,6,5,0.749947
2,Indirect,6,6,0.558729
2,Indirect,6,7,0.724541
2,Indirect,7,1,0.533949
2,Indirect,7,2,1.30238
2,Indirect,7,3,0.936975
2,Indirect,7,4,0.478403
2,Indirect,7,5,0.354607
2,Indirect,7,6,0.647705
2,Indirect,8,1,0.488436
2,Indirect,8,2,0.286844
2,Indirect,8,3,0.316982
2,Indirect,8,4,0.283787
2,Indirect,8,5,0.428415
2,Indirect,8,6,0.493355
2,Indirect,9,1,0.664038
2,Indirect,9,2,0.68135
2,Indirect,9,3,0.134735
2,Indirect,9,4,0.217528
2,Indirect,9,5,0.51516
2,Indirect,10,1,0.38792
2,Indirect,10,2,0.639827
2,Indirect,10,3,0.488338
2,Indirect,10,4,0.198553
2,Indirect,10,5,0.399205
2,Indirect,10,6,2.03173
2,Indirect,10,7,0.462147
2,Indirect,11,1,0.741688
2,Indirect,11,2,0.4434
2,Indirect,11,3,1.5556
2,Indirect,11,4,0.266787
2,Indirect,11,5,0.487595
2,Indirect,11,6,0.427167
2,Indirect,11,7,0.48534
2,Indirect,12,1,0.488404
2,Indirect,12,2,0.676811
2,Indirect,12,3,0.599434
2,Indirect,12,4,0.825214
2,Indirect,12,5,0.273636
2,Indirect,13,1,0.68681
2,Indirect,13,2,1.01675
2,Indirect,13,3,0.494868
2,Indirect,13,4,0.556491
2,Indirect,13,5,0.457128
2,Indirect,14,1,2.10565
2,Indirect,14,2,0.542117
2,Indirect,14,3,0.570431
2,Indirect,14,4,0.492657
2,Indirect,14,5,0.902329
2,Indirect,14,6,0.43883
2,Indirect,15,1,0.465819
2,Indirect,15,2,1.61111
2,Indirect,15,3,1.24213
2,Indirect,15,4,1.81551
2,Indirect,15,5,0.591113
2,Indirect,15,6,0.470495
2,Indirect,15,7,0.688436
2,Indirect,16,1,0.872363
2,Indirect,16,2,0.652949
2,Indirect,16,3,0.411692
2,Indirect,16,4,0.867631
2,Indirect,16,5,0.45607
2,Indirect,16,6,0.427479
2,Indirect,16,7,0.929305
2,Indirect,16,8,0.472608
2,Indirect,16,9,0.616439
2,Indirect,17,1,0.63152
2,Indirect,17,2,0.976807
2,Indirect,17,3,0.570446
2,Indirect,17,4,0.64199
2,Indirect,17,5,1.08228
2,Indirect,18,1,0.83708
2,Indirect,18,2,0.581134
2,Indirect,18,3,0.748527
2,Indirect,18,4,0.71564
