id,usage,type,key,x,y
1,Indirect,start,s,-0.326389,0.0300925,
1,Indirect,end,n,0.180556,-0.287037,
1,Indirect,start,w,-0.300926,0.298611,
1,Indirect,end,e,-0.136574,0.298611,
1,Indirect,start,w,-0.421296,0.224537,
1,Indirect,end,l,0.368056,-0.0300927,
1,Indirect,start,r,0.104167,0.201389,
1,Indirect,end,n,0.230324,-0.336806,
1,Indirect,start,f,-0.0810185,-0.101852,
1,Indirect,end,m,0.122685,-0.284722,
1,Indirect,start,t,0.037037,0.273148,
1,Indirect,end,e,-0.243056,0.273148,
1,Indirect,start,c,-0.217593,-0.261574,
1,Indirect,end,y,0.0277778,0.252315,
1,Direct,start,t,-0.0231482,0.326389,
1,Direct,end,e,-0.196759,0.268519,
1,Direct,start,q,-0.412037,0.224537,
1,Direct,end,k,0.186209,0.0125974,
1,Direct,start,b,0.0578704,-0.351852,
1,Direct,end,n,0.194444,-0.3125,
1,Direct,start,f,-0.0902778,-0.0416667,
1,Direct,end,x,-0.24537,-0.31713,
1,Direct,start,j,0.25,0.0231481,
1,Direct,end,s,-0.216092,-0.0258704,
1,Direct,start,o,0.361111,0.277778,
1,Direct,end,r,-0.0605744,0.231481,
1,Direct,start,t,-0.0138889,0.263889,
1,Direct,end,e,-0.184028,0.239583,
1,Direct,start,l,0.289352,0.0995369,
1,Direct,end,y,0.0752315,0.299768,
1,Direct,start,d,-0.127315,-0.0856483,
1,Direct,end,g,-0.025463,-0.0902777,
1,Direct,start,t,-0.0648148,0.303241,
1,Direct,end,e,-0.201389,0.243015,
1,Direct,start,f,-0.115741,-0.0486111,
1,Direct,end,e,-0.212963,0.180555,
1,Direct,start,b,0.00231485,-0.314815,
1,Direct,end,g,0.0347222,-0.00925926,
1,Direct,start,w,-0.284722,0.185185,
1,Direct,end,s,-0.305556,-0.0578704,
1,Direct,start,j,0.189815,0.011574,
1,Direct,end,p,0.46875,0.309028,
1,Direct,start,q,-0.467593,0.168981,
1,Direct,end,y,0.0541676,0.184721,
1,Direct,start,i,0.282407,0.324074,
1,Direct,end,i,0.282407,0.324074,
1,Direct,start,c,-0.159722,-0.368056,
1,Direct,end,n,0.166667,-0.31713,
1,Direct,start,s,-0.328704,-0.0717593,
1,Direct,end,l,0.333829,-0.0120701,
1,Direct,start,f,-0.0648148,-0.0300927,
1,Direct,end,l,0.363426,0.00462956,
1,Direct,start,y,0.106482,0.268519,
1,Direct,end,r,-0.0648148,0.247685,
1,Direct,start,p,0.44213,0.261574,
1,Direct,end,e,-0.268518,0.199074,
1,Direct,start,t,-0.0231482,0.277778,
1,Direct,end,e,-0.206019,0.246236,
1,Direct,start,c,-0.157407,-0.266204,
1,Direct,end,n,0.179017,-0.248462,
1,Direct,start,a,-0.393518,-0.0949074,
1,Direct,end,e,-0.291667,0.270833,
1,Direct,start,p,0.465278,0.256944,
1,Direct,end,g,-0.0208333,-3.53213e-008,
1,Direct,start,o,0.386574,0.296296,
1,Direct,end,r,-0.0891204,0.256944,
1,Direct,start,f,-0.0509259,0.0254629,
1,Direct,end,x,-0.0925926,-0.287037,
1,Direct,start,n,0.0717592,-0.303241,
1,Direct,end,r,-0.0532408,0.273148,
1,Direct,start,h,0.0833334,-0.050926,
1,Direct,end,s,-0.191789,-0.0115741,
1,Direct,start,c,-0.122685,-0.293981,
1,Direct,end,d,-0.17968,-0.0402279,
1,Direct,start,w,-0.377315,0.259259,
1,Direct,end,e,-0.241898,0.259259,
1,Direct,start,m,0.196759,-0.381945,
1,Direct,end,d,-0.1875,0.0601852,
1,Direct,start,y,0.0439815,0.31713,
1,Direct,end,r,-0.12037,0.24537,
1,Direct,start,b,0.0231482,-0.321759,
1,Direct,end,y,0.0613426,0.278935,
1,Direct,start,d,-0.203704,-0.0601852,
1,Direct,end,o,0.361111,0.363426,
1,Direct,start,y,0.011574,0.256944,
1,Direct,end,u,0.212963,0.291667,
1,Direct,start,l,0.368056,0.00694437,
1,Direct,end,e,-0.155093,0.271115,
1,Direct,start,t,-0.0740741,0.270833,
1,Direct,end,o,0.349537,0.37037,
1,Direct,start,s,-0.324074,-0.050926,
1,Direct,end,p,0.503472,0.280093,
1,Direct,start,o,0.365741,0.314815,
1,Direct,end,n,0.0925926,-0.283402,
1,Direct,start,s,-0.321759,-0.0694445,
1,Direct,end,y,0.0659722,0.25463,
1,Direct,start,i,0.284722,0.259259,
1,Direct,end,i,0.284722,0.259259,
1,Direct,start,j,0.196759,-0.0601852,
1,Direct,end,t,-0.00163868,0.32938,
1,Direct,start,c,-0.099537,-0.300926,
1,Direct,end,t,0.0740741,0.326389,
1,Direct,start,f,-0.0879629,-0.0300927,
1,Direct,end,e,-0.150463,0.30787,
1,Direct,start,t,-0.00462964,0.354167,
1,Direct,end,s,-0.224537,0.00462956,
1,Direct,start,o,0.43287,0.298611,
1,Direct,end,t,-0.0925926,0.243055,
1,Direct,start,d,-0.219907,-0.0625001,
1,Direct,end,o,0.401948,0.39247,
1,Direct,start,n,0.150463,-0.398148,
1,Direct,end,t,0.0299127,0.224537,
1,Direct,start,w,-0.289352,0.289352,
1,Direct,end,k,0.243056,-0.0127316,
1,Direct,start,t,-0.0671296,0.24537,
1,Direct,end,o,0.465278,0.344907,
1,Direct,start,q,-0.412037,0.212963,
1,Direct,end,y,0.0902778,0.240741,
1,Direct,start,t,-0.0300926,0.266204,
1,Direct,end,e,-0.110074,0.239518,
1,Direct,start,b,0.0324074,-0.266204,
1,Direct,end,m,0.259259,-0.321759,
1,Direct,start,i,0.333333,0.321759,
1,Direct,end,s,-0.203704,-0.0208333,
1,Direct,start,g,0.0162037,-0.050926,
1,Direct,end,d,-0.131944,-0.00694451,
1,Direct,start,f,-0.0879629,-0.0555556,
1,Direct,end,r,-0.0812449,0.298611,
1,Direct,start,r,-0.157407,0.287037,
1,Direct,end,g,0.00925928,-0.0046297,
1,Direct,start,c,-0.164352,-0.372685,
1,Direct,end,n,0.159722,-0.305556,
1,Direct,start,w,-0.409722,0.233796,
1,Direct,end,e,-0.159722,0.259259,
1,Direct,start,p,0.4375,0.259259,
1,Direct,end,y,0.15625,0.291667,
1,Direct,start,c,-0.127315,-0.356481,
1,Direct,end,s,-0.25463,-0.0532408,
1,Direct,start,t,-0.0925926,0.1875,
1,Direct,end,t,-0.101852,0.277332,
1,Direct,start,t,-0.0787037,0.243055,
1,Direct,end,s,-0.252315,-0.0393519,
1,Direct,start,p,0.398148,0.282407,
1,Direct,end,n,0.0231482,-0.347222,
1,Direct,start,i,0.326389,0.321759,
1,Direct,end,s,-0.266204,-0.0150464,
1,Direct,start,a,-0.439815,-0.087963,
1,Direct,end,a,-0.439815,-0.087963,
1,Direct,start,d,-0.206019,-0.0648149,
1,Direct,end,r,-0.121684,0.266204,
1,Direct,start,t,-0.00694444,0.289352,
1,Direct,end,e,-0.185185,0.180555,
1,Direct,start,p,0.430556,0.347222,
1,Direct,end,l,0.222637,-0.0345147,
1,Direct,start,s,-0.361111,-0.0625001,
1,Direct,end,e,-0.270833,0.137731,
1,Direct,start,i,0.261574,0.319444,
1,Direct,end,s,-0.282407,-0.0532408,
1,Direct,start,v,-0.0671296,-0.324074,
1,Direct,end,y,0.0694445,0.299768,
