healthy food is good for you
Direct
0.6 0.6
432 388.8
Moved 1438.691 307.3519 362.838 -0.1218706 -0.06471728
Moved 1438.722 322.7665 382.3553 -0.08618856 -0.01451822
Moved 1438.752 359.2907 418.2906 -0.001641959 0.07790793
Moved 1438.783 397.582 453.0287 0.08699526 0.1672547
Moved 1438.814 448.6863 494.3701 0.2052924 0.2735856
Moved 1438.844 489.7047 525.7956 0.3002425 0.3544124
Moved 1438.875 514.9689 547.1162 0.3587244 0.4092494
Moved 1438.906 527.6524 556.6524 0.3880842 0.4337767
Moved 1438.937 529.2632 558.2632 0.391813 0.4379198
Moved 1438.967 531.5 560.5 0.3969907 0.4436727
Moved 1438.998 532.2886 561.2886 0.3988163 0.4457012
Moved 1439.029 533.0819 562 0.4006526 0.4475308
Stationary 1439.06 533.0819 562 0.4006526 0.4475308
Stationary 1439.09 533 562 0.4004629 0.4475308
Stationary 1439.121 533 562 0.4004629 0.4475308
Moved 1439.152 513.1387 546.5276 0.3544878 0.4077356
Moved 1439.183 494.1288 531.703 0.3104833 0.3696064
Moved 1439.213 473.8955 516.7825 0.263647 0.3312307
Moved 1439.244 448.3996 500.2543 0.2046287 0.2887198
Moved 1439.275 412.2068 480.261 0.120849 0.2372968
Moved 1439.306 372.9669 456.5501 0.03001591 0.1763119
Moved 1439.336 335.6532 434.9919 -0.05635828 0.120864
Moved 1439.367 299.1432 409.6497 -0.1408721 0.05568324
Moved 1439.398 270.6118 389.6549 -0.2069172 0.004256449
Moved 1439.428 256.305 379.2287 -0.2400348 -0.02255993
Moved 1439.459 247.6154 371.6154 -0.2601495 -0.04214149
Moved 1439.49 245.6553 371 -0.2646867 -0.04372435
Ended 1439.521 246 371 -0.2638889 -0.04372435
Began 1440.566 461 499 0.2337964 0.2854938
Stationary 1440.596 461 499 0.2337964 0.2854938
Stationary 1440.627 461 499 0.2337964 0.2854938
Stationary 1440.658 461 499 0.2337964 0.2854938
Stationary 1440.689 461 499 0.2337964 0.2854938
Stationary 1440.719 461 499 0.2337964 0.2854938
Moved 1440.75 445.012 499 0.1967869 0.2854938
Moved 1440.781 426.0682 487.6506 0.1529357 0.2563028
Moved 1440.812 387.6696 466.8221 0.06404996 0.2027316
Moved 1440.842 346.4864 443.7927 -0.03128156 0.1434997
Moved 1440.873 302.2598 419.7386 -0.1336578 0.08163205
Moved 1440.904 265.9044 399.6597 -0.2178137 0.02998878
Moved 1440.935 240.2459 385.1229 -0.2772085 -0.007400002
Moved 1440.965 219.733 372.8398 -0.3246921 -0.0389924
Moved 1440.996 208.1563 366.8672 -0.3514901 -0.05435402
Moved 1441.027 199.9985 362.4993 -0.3703739 -0.06558838
Moved 1441.057 196.6226 361 -0.3781886 -0.06944452
Ended 1441.088 197 361 -0.3773148 -0.06944452
Began 1443.086 359 356 -0.002314796 -0.0823046
Stationary 1443.117 359 356 -0.002314796 -0.0823046
Stationary 1443.148 359 356 -0.002314796 -0.0823046
Stationary 1443.178 359 356 -0.002314796 -0.0823046
Stationary 1443.209 359 356 -0.002314796 -0.0823046
Stationary 1443.24 359 356 -0.002314796 -0.0823046
Stationary 1443.271 359 356 -0.002314796 -0.0823046
Moved 1443.301 386.1944 387.5455 0.06063511 -0.001169095
Moved 1443.332 486.1224 474.4188 0.2919499 0.2222705
Moved 1443.363 521.4428 502.6158 0.3737102 0.2947938
Moved 1443.393 540 517 0.4166667 0.33179
Moved 1443.424 544.4172 520.2086 0.4268917 0.3400427
Moved 1443.455 547.0848 523.0848 0.4330665 0.3474403
Moved 1443.486 548.374 524.374 0.4360508 0.350756
Moved 1443.516 548 525 0.4351853 0.3523662
Stationary 1443.547 548 525 0.4351853 0.3523662
Moved 1443.578 520.0535 509.1249 0.3704941 0.3115352
Moved 1443.609 492.6257 494.3129 0.3070039 0.2734383
Moved 1443.639 449.7089 465.1393 0.2076595 0.1984034
Moved 1443.67 408.0209 437.2657 0.1111595 0.1267121
Moved 1443.701 373.5872 411.4698 0.03145198 0.06036467
Moved 1443.732 344.5001 392.3182 -0.03587936 0.01110654
Moved 1443.762 320.0767 375.7178 -0.09241506 -0.03159017
Moved 1443.793 300.8369 363.2246 -0.1369515 -0.06372279
Moved 1443.824 287.6989 354.2742 -0.1673635 -0.0867433
Moved 1443.854 279.5281 347.6461 -0.1862775 -0.103791
Moved 1443.885 274.0039 344.004 -0.199065 -0.1131585
