we run the risk of failure
Direct
0.6 0.6
432 388.8
Moved 773.453 454.461 278.0779 0.2186598 -0.2827214
Moved 773.4838 454 273.1943 0.2175926 -0.2952823
Moved 773.5145 455 270.3683 0.2199073 -0.3025508
Moved 773.5453 455 267.6047 0.2199073 -0.3096586
Ended 773.576 457.1618 267 0.2249117 -0.311214
Began 774.1908 373 532 0.0300926 0.3703703
Stationary 774.2216 373 532 0.0300926 0.3703703
Stationary 774.2522 373 532 0.0300926 0.3703703
Stationary 774.283 373 532 0.0300926 0.3703703
Stationary 774.3137 373 532 0.0300926 0.3703703
Moved 774.3445 373 510.7692 0.0300926 0.3157642
Moved 774.3752 373 487.2119 0.0300926 0.2551746
Moved 774.4059 386.6684 454.3263 0.06173243 0.1705922
Moved 774.4366 395.7547 417.0472 0.08276552 0.07470979
Moved 774.4674 402.8681 386.6593 0.09923179 -0.003448298
Moved 774.4982 410.5744 361.2767 0.1170705 -0.06873292
Moved 774.5289 412.9541 350.1378 0.1225789 -0.09738239
Moved 774.5596 414 343.8336 0.125 -0.1135967
Moved 774.5903 414 340.8486 0.125 -0.1212742
Moved 774.6211 414 338.5 0.125 -0.127315
Moved 774.6519 414 339 0.125 -0.1260288
Moved 774.6826 391.451 359.6176 0.0728033 -0.07300004
Moved 774.7133 366.6395 393.4496 0.01536916 0.01401646
Moved 774.744 336.7936 435.5203 -0.05371849 0.122223
Moved 774.7748 319.8513 458.1983 -0.09293684 0.1805512
Moved 774.8055 303.2342 474.9715 -0.1314024 0.2236921
Moved 774.8362 288.77 484.6725 -0.1648842 0.2486431
Moved 774.867 280.0432 488.3189 -0.1850851 0.2580218
Moved 774.8978 277 489.7578 -0.1921296 0.2617226
Ended 774.9285 277 490 -0.1921296 0.2623456
Began 775.7584 297 500 -0.1458333 0.2880658
Stationary 775.7891 297 500 -0.1458333 0.2880658
Stationary 775.8199 297 500 -0.1458333 0.2880658
Stationary 775.8506 297 500 -0.1458333 0.2880658
Stationary 775.8813 297 500 -0.1458333 0.2880658
Stationary 775.9121 297 500 -0.1458333 0.2880658
Moved 775.9428 316.0127 487.3312 -0.1018225 0.2554815
Moved 775.9736 334.0686 485 -0.0600263 0.2494856
Moved 776.0043 366.5423 485 0.01514415 0.2494856
Moved 776.035 398.3743 498.5497 0.08882929 0.2843356
Moved 776.0658 418.3918 505.7973 0.1351662 0.3029765
Moved 776.0965 425.5802 508.8601 0.1518061 0.310854
Moved 776.1272 430 510 0.162037 0.3137859
Moved 776.1579 431.3324 511 0.1651213 0.3163579
Stationary 776.1887 431 511 0.1643519 0.3163579
Stationary 776.2194 431 511 0.1643519 0.3163579
Moved 776.2502 405.2729 492.5153 0.1047984 0.2688149
Moved 776.2809 356.7739 455.1345 -0.007467816 0.172671
Moved 776.3116 323.7315 429.5583 -0.08395493 0.1068887
Moved 776.3423 292.8017 405.2938 -0.1555515 0.0444798
Moved 776.3732 274.9113 389.9113 -0.1969647 0.004915857
Moved 776.4039 264.4344 380.4344 -0.2212166 -0.0194588
Moved 776.4346 260.5 376 -0.2303241 -0.03086435
Moved 776.4653 258.0211 374.0211 -0.2360622 -0.03595399
Moved 776.4959 256.2767 371.2767 -0.2401002 -0.04301251
Moved 776.5268 256 369.5405 -0.2407407 -0.04747822
Stationary 776.5576 256 369.5405 -0.2407407 -0.04747822
Moved 776.5883 256 367.6661 -0.2407407 -0.0522991
Moved 776.619 256 366.975 -0.2407407 -0.05407663
Moved 776.6498 278.2575 364.8204 -0.1892187 -0.05961845
Moved 776.6805 304.2762 365 -0.1289903 -0.05915646
Moved 776.7112 335.3741 365 -0.05700444 -0.05915646
Moved 776.7419 373.8107 365 0.03196925 -0.05915646
Moved 776.7728 406.4581 371.1005 0.1075418 -0.04346573
Moved 776.8035 432.7948 374 0.1685064 -0.03600823
Moved 776.8342 450.3812 374 0.2092157 -0.03600823
Moved 776.8649 462.2837 374 0.2367677 -0.03600823
Moved 776.8957 470 374 0.2546296 -0.03600823
Moved 776.9265 476.9473 374 0.2707114 -0.03600823
Moved 776.9571 482.1642 374 0.2827874 -0.03600823
Moved 776.9879 487.9471 374 0.2961738 -0.03600823
Ended 777.0186 496 374 0.3148148 -0.03600823
Began 778.0023 538 518 0.4120371 0.3343621
Stationary 778.033 538 518 0.4120371 0.3343621
Stationary 778.0637 538 518 0.4120371 0.3343621
Stationary 778.0944 538 518 0.4120371 0.3343621
Moved 778.1252 517 518 0.3634259 0.3343621
Moved 778.1559 502.6148 507.4459 0.3301269 0.3072168
Moved 778.1866 474.5294 490.7104 0.2651144 0.2641729
Moved 778.2174 439.3963 465.1854 0.1837877 0.1985219
Moved 778.2481 413.9699 445.3759 0.1249304 0.1475717
Moved 778.2789 385.2986 424.209 0.05856156 0.09313022
Moved 778.3096 364.5 408.5 0.01041671 0.05272626
Moved 778.3403 347.0159 395.3439 -0.03005584 0.01888864
