where can my little dog be
Direct
0.6 0.6
432 388.8
Ended 1586.774 331 494.1441 -0.06712963 0.2730043
Began 1587.481 239 333 -0.2800926 -0.141461
Stationary 1587.511 239 333 -0.2800926 -0.141461
Stationary 1587.542 239 333 -0.2800926 -0.141461
Stationary 1587.573 239 333 -0.2800926 -0.141461
Stationary 1587.604 239 333 -0.2800926 -0.141461
Moved 1587.634 250.1491 347.4938 -0.2542845 -0.1041826
Moved 1587.665 267.219 364.5627 -0.2147708 -0.06028108
Moved 1587.696 298.5372 394.342 -0.1422749 0.01631179
Moved 1587.727 339.7101 430.2464 -0.04696727 0.1086583
Moved 1587.757 377.6705 461.7323 0.04090399 0.1896406
Moved 1587.788 412.2203 489.1763 0.1208804 0.2602269
Moved 1587.819 438.7769 507.5179 0.182354 0.307402
Moved 1587.849 465.0246 521.8712 0.2431124 0.3443189
Moved 1587.88 472.5015 524.8339 0.2604203 0.3519388
Moved 1587.911 490.9311 532.7328 0.3030813 0.372255
Moved 1587.942 495.016 535.0107 0.3125371 0.3781138
Moved 1587.972 500.5547 537.5546 0.325358 0.3846569
Moved 1588.003 502.814 538.814 0.3305879 0.3878959
Moved 1588.034 505.3446 539 0.3364458 0.3883744
Moved 1588.065 506.5 540.5 0.3391203 0.3922324
Moved 1588.095 507 540 0.3402778 0.3909464
Stationary 1588.126 507 540 0.3402778 0.3909464
Moved 1588.157 487.2915 515.3643 0.2946561 0.327583
Moved 1588.188 448.3583 474.03 0.2045332 0.2212704
Moved 1588.218 419.445 445.445 0.1376042 0.1477495
Moved 1588.249 403.3714 429.2142 0.1003967 0.1060037
Moved 1588.28 381.8485 405.8484 0.05057514 0.04590647
Moved 1588.311 370.1204 393.1505 0.02342681 0.01324697
Moved 1588.341 366.266 389.266 0.01450469 0.003256032
Moved 1588.372 359.521 382.0421 -0.001108746 -0.01532401
Moved 1588.403 354.9357 377.9679 -0.01172284 -0.02580274
Ended 1588.434 353.7039 374.1118 -0.01457428 -0.03572087
Began 1589.448 377 219 0.03935188 -0.4346708
Stationary 1589.479 377 219 0.03935188 -0.4346708
Stationary 1589.51 377 219 0.03935188 -0.4346708
Stationary 1589.54 377 219 0.03935188 -0.4346708
Stationary 1589.571 377 219 0.03935188 -0.4346708
Stationary 1589.602 377 219 0.03935188 -0.4346708
Stationary 1589.632 377 219 0.03935188 -0.4346708
Stationary 1589.663 377 219 0.03935188 -0.4346708
Moved 1589.694 377 239.947 0.03935188 -0.3807947
Moved 1589.725 367.4595 261.7023 0.01726747 -0.3248397
Moved 1589.755 357.8885 292.6899 -0.00488768 -0.2451392
Moved 1589.786 346.4756 328.9544 -0.03130659 -0.1518663
Moved 1589.817 336.2353 353.9118 -0.05501097 -0.0876754
Moved 1589.848 322.4648 385.3379 -0.08688693 -0.006846989
Moved 1589.878 308.5898 417.5486 -0.1190051 0.0759994
Moved 1589.909 297.1357 442.7287 -0.1455193 0.140763
Moved 1589.94 285.5 463.5 -0.1724537 0.1941872
Moved 1589.971 274.8906 483.2461 -0.1970124 0.2449744
Moved 1590.001 266.1583 498.5251 -0.2172261 0.2842723
Moved 1590.032 263.6175 503.765 -0.2231076 0.2977493
Moved 1590.063 262.5 506 -0.2256944 0.3034978
Ended 1590.094 262 507 -0.2268519 0.3060699
PhraseEnd 1590.893
