that is a very nasty cut
Direct
0.6 0.6
432 388.8
Moved 851.0615 236.4946 358 -0.2858921 -0.07716057
Moved 851.0923 220.0112 359 -0.3240481 -0.07458848
Moved 851.123 204.6594 361 -0.3595848 -0.06944452
Moved 851.1537 197.0388 363.9611 -0.3772249 -0.06182847
Moved 851.1844 192.1669 365.8331 -0.3885025 -0.05701387
Moved 851.2151 189.6229 368.3771 -0.3943913 -0.05047056
Moved 851.2459 189 372.5071 -0.3958333 -0.03984797
Moved 851.2766 200.2844 387.0275 -0.369712 -0.002501335
Moved 851.3074 245.1364 436.1364 -0.265888 0.1238076
Moved 851.3381 325.2899 506.2029 -0.08034736 0.3040198
Moved 851.3688 390.6649 551.1855 0.07098357 0.4197158
Ended 851.3995 404 558 0.1018518 0.4372427
Began 852.6284 468 527 0.25 0.3575102
Stationary 852.6591 468 527 0.25 0.3575102
Moved 852.6898 409.8384 504.5099 0.1153667 0.2996653
Moved 852.7206 322.3529 467.6432 -0.08714611 0.2048437
Moved 852.7512 243.7581 426.494 -0.2690785 0.09900701
Moved 852.782 177.3163 381.1081 -0.4228789 -0.01772618
Ended 852.8127 161 368.5 -0.4606481 -0.0501544
Began 853.9188 168 388 -0.4444444 -3.924585E-08
Stationary 853.9495 168 388 -0.4444444 -3.924585E-08
Stationary 853.9802 168 388 -0.4444444 -3.924585E-08
Ended 854.0109 168 388 -0.4444444 -3.924585E-08
Began 855.4548 367 246 0.01620372 -0.3652264
Stationary 855.4855 367 246 0.01620372 -0.3652264
Moved 855.5162 367 255.2856 0.01620372 -0.3413436
Moved 855.547 355.5 290 -0.01041666 -0.2520577
Moved 855.5778 318.5 378 -0.0960648 -0.02572024
Moved 855.6085 304.3408 398.2123 -0.1288408 0.02626631
Moved 855.6392 273.5854 436.4146 -0.2000337 0.124523
Moved 855.6699 250.9227 457.9234 -0.2524937 0.1798441
Moved 855.7006 237.7328 472.3562 -0.2830258 0.2169655
Moved 855.7313 234.0325 480.9025 -0.2915915 0.2389467
Moved 855.762 234 491.2155 -0.2916667 0.2654717
Moved 855.7927 306.3311 525.8994 -0.1242336 0.3546793
Moved 855.8235 330.2897 532.0724 -0.06877383 0.3705566
Moved 855.8542 382.1484 533 0.05126953 0.3729423
Moved 855.8849 391.967 533 0.07399777 0.3729423
Ended 855.9156 406.9426 533 0.1086634 0.3729423
Began 857.8204 458 246 0.2268519 -0.3652264
Stationary 857.8511 458 246 0.2268519 -0.3652264
Stationary 857.8818 458 246 0.2268519 -0.3652264
Moved 857.9126 441.7165 263.3544 0.1891585 -0.3205906
Moved 857.9433 436.2017 268.7983 0.1763928 -0.3065887
Moved 857.974 418.4947 287.4211 0.1354045 -0.2586907
Moved 858.0047 400.3231 303.723 0.09334058 -0.2167618
Moved 858.0355 385.6708 314.4969 0.05942325 -0.1890513
Moved 858.0662 369.5914 325.4086 0.02220233 -0.160986
Moved 858.0969 358.6291 333.0226 -0.003173451 -0.1414029
Moved 858.1276 351.4387 339.5613 -0.0198179 -0.124585
Moved 858.1583 342.1114 346.8887 -0.04140889 -0.1057391
Moved 858.1891 329.05 356.95 -0.07164339 -0.07986131
Moved 858.2198 310.593 369.407 -0.114368 -0.04782162
Moved 858.2505 303.8007 372.4797 -0.130091 -0.03991837
Moved 858.2812 293.0629 379.3622 -0.154947 -0.02221653
Moved 858.312 276.7014 389.9792 -0.1928209 0.005090423
Moved 858.3427 248.7998 401.4001 -0.2574079 0.03446516
Moved 858.3734 247.0386 401 -0.2614847 0.03343609
Moved 858.4041 242.6477 402 -0.2716489 0.03600815
Moved 858.4349 241.5 402 -0.2743055 0.03600815
Stationary 858.4656 241.5 402 -0.2743055 0.03600815
Moved 858.4963 251.8983 402 -0.2502354 0.03600815
Moved 858.527 271.5344 389.8931 -0.2047815 0.004869037
Moved 858.5577 277.9555 388 -0.1899179 -3.924585E-08
Moved 858.5884 280.8529 387 -0.1832109 -0.002572055
Moved 858.6192 281 385.5 -0.1828704 -0.006430119
Moved 858.6499 261.9357 381.7419 -0.2270006 -0.0160959
Moved 858.6807 237.8215 374.6072 -0.2828205 -0.03444664
Moved 858.7114 219.3111 372.2622 -0.3256688 -0.04047794
Moved 858.7421 207 370 -0.3541667 -0.04629637
Moved 858.7728 202.6198 369 -0.3643061 -0.04886839
Moved 858.8036 200.5 369 -0.369213 -0.04886839
Moved 858.8343 201 369 -0.3680556 -0.04886839
Moved 858.865 252.4321 402.0538 -0.2489998 0.03614665
Moved 858.8957 277.4709 413.1177 -0.1910396 0.06460323
Moved 858.9264 294.193 419.8772 -0.1523309 0.08198863
Moved 858.9572 309.625 425.875 -0.1166089 0.09741508
Moved 858.9877 321.2601 432.6301 -0.08967564 0.1147892
Moved 859.0186 329.3738 440.0607 -0.07089396 0.133901
Moved 859.0494 333.2058 451.0291 -0.0620236 0.1621117
Moved 859.08 333 474.195 -0.06249999 0.2216949
Moved 859.1108 322.9966 490.0137 -0.08565605 0.2623809
Moved 859.1415 320.1241 500.5034 -0.09230524 0.2893606
Moved 859.1722 320 504.8211 -0.09259259 0.3004657
Moved 859.2029 320 511.8344 -0.09259259 0.3185039
Moved 859.2337 348.1946 519.4479 -0.02732734 0.3380862
Moved 859.2644 372.8014 524.5114 0.02963294 0.3511095
Moved 859.2951 394.7032 526 0.08033157 0.3549381
Moved 859.3258 405.2184 526 0.1046721 0.3549381
Moved 859.3566 412.5617 527 0.1216706 0.3575102
Moved 859.3873 415.5 527 0.1284723 0.3575102
Moved 859.418 417.7027 527 0.133571 0.3575102
Moved 859.4487 420.5739 527 0.1402174 0.3575102
Moved 859.4794 424.8861 527 0.1501993 0.3575102
Ended 859.5101 441.5 516.5 0.1886574 0.3305041
Began 860.8619 373 248 0.0300926 -0.3600824
Stationary 860.8926 373 248 0.0300926 -0.3600824
Moved 860.9234 353.5295 262.9579 -0.01497805 -0.3216104
Moved 860.9541 328.4081 274.4811 -0.07312944 -0.2919725
Moved 860.9848 305.3754 285.8391 -0.1264458 -0.2627595
Moved 861.0156 287.9005 292.6398 -0.1668969 -0.2452682
Moved 861.0463 275.2469 295.6883 -0.1961877 -0.2374273
Moved 861.077 266.5 297 -0.2164352 -0.2340535
Moved 861.1077 260.8068 299.0966 -0.2296139 -0.228661
Moved 861.1384 257.0235 300 -0.2383714 -0.2263375
Moved 861.1691 255 301 -0.2430556 -0.2237656
Moved 861.1999 254 301 -0.2453704 -0.2237656
Moved 861.2306 251.8857 302 -0.2502647 -0.2211935
Stationary 861.2614 252 302 -0.25 -0.2211935
Moved 861.292 250.735 302 -0.2529282 -0.2211935
Moved 861.3228 251 303.1203 -0.2523148 -0.218312
Stationary 861.3535 251 303 -0.2523148 -0.2186215
Moved 861.3842 249.7508 303 -0.2552064 -0.2186215
Stationary 861.415 249.7508 303 -0.2552064 -0.2186215
Moved 861.4457 250 304.5 -0.2546296 -0.2147634
Stationary 861.4764 250 304.5 -0.2546296 -0.2147634
Moved 861.5071 250 304 -0.2546296 -0.2160494
Stationary 861.5378 250 304 -0.2546296 -0.2160494
Stationary 861.5685 250 304 -0.2546296 -0.2160494
Stationary 861.5992 250 304 -0.2546296 -0.2160494
Moved 861.6299 250 305.1476 -0.2546296 -0.2130977
Stationary 861.6607 250 305.1476 -0.2546296 -0.2130977
Moved 861.6914 250 306.0497 -0.2546296 -0.2107776
Stationary 861.7221 250 306 -0.2546296 -0.2109054
Stationary 861.7529 250 306 -0.2546296 -0.2109054
Stationary 861.7836 250 306 -0.2546296 -0.2109054
Moved 861.8143 250 307.5 -0.2546296 -0.2070474
Stationary 861.845 250 307.5 -0.2546296 -0.2070474
Moved 861.8758 250 308 -0.2546296 -0.2057614
Moved 861.9065 250 309.3791 -0.2546296 -0.2022143
Moved 861.9372 248.7442 310 -0.2575365 -0.2006174
Moved 861.968 249 311.5 -0.2569445 -0.1967593
Moved 861.9987 248.3544 313 -0.2584388 -0.1929013
Moved 862.0294 248 315.5247 -0.2592593 -0.1864077
Moved 862.0601 248 322.9181 -0.2592593 -0.1673918
Moved 862.0908 256.7048 329.8032 -0.2391092 -0.1496831
Moved 862.1215 267.3372 345.84 -0.2144973 -0.1084362
Moved 862.1522 288.3839 371.5119 -0.1657779 -0.04240766
Moved 862.183 331.5 426 -0.06597221 0.09773654
Moved 862.2137 416.1859 528.4161 0.13006 0.3611524
Moved 862.2444 463.8027 567.8607 0.240284 0.4626046
Moved 862.2751 508.5 591.5 0.34375 0.5234053
Ended 862.3058 508.5 591.5 0.34375 0.5234053
PhraseEnd 868.9111
