the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Moved 1620.802 421.0574 494.1592 0.1413366 0.2730432
Moved 1620.833 436.6686 496 0.1774735 0.2777777
Moved 1620.864 448.7141 498 0.2053566 0.2829217
Moved 1620.895 457.7149 500.2383 0.226192 0.2886788
Moved 1620.925 461.7087 501 0.2354369 0.2906378
Moved 1620.956 465.057 502 0.2431875 0.2932098
Moved 1620.987 467.5852 503 0.2490399 0.2957818
Moved 1621.018 469.0721 503 0.2524817 0.2957818
Moved 1621.048 471.3169 503 0.2576779 0.2957818
Moved 1621.079 472.9734 503 0.2615125 0.2957818
Moved 1621.11 475.5 492.5 0.2673611 0.2687756
Moved 1621.141 477 464.8369 0.2708333 0.1976258
Moved 1621.171 477 419.867 0.2708333 0.08196242
Moved 1621.202 477 368.1263 0.2708333 -0.05111552
Moved 1621.233 477 341.3152 0.2708333 -0.1200741
Moved 1621.264 477 317.4847 0.2708333 -0.1813666
Moved 1621.294 477 299.3416 0.2708333 -0.2280309
Moved 1621.325 470 272.1318 0.2546296 -0.2980148
Moved 1621.356 468.682 255.7742 0.2515788 -0.3400871
Moved 1621.387 469 243.3965 0.2523148 -0.3719226
Moved 1621.417 468 235.816 0.25 -0.3914197
Moved 1621.448 461.9993 228.6661 0.2361094 -0.4098093
Moved 1621.479 455.3418 226 0.2206987 -0.4166668
Moved 1621.51 433.8997 232.2156 0.1710641 -0.4006801
Moved 1621.54 405.9719 250.0194 0.1064164 -0.3548884
Moved 1621.571 360.3138 283.0391 0.0007264813 -0.2699612
Moved 1621.602 319.2965 309.0021 -0.09422114 -0.203184
Moved 1621.632 284.3239 330.4778 -0.1751763 -0.1479481
Moved 1621.663 255.7499 348.55 -0.2413197 -0.101466
Moved 1621.694 224.0215 365.2629 -0.314765 -0.05848017
Moved 1621.725 206.0227 375.9886 -0.356429 -0.0308934
Moved 1621.755 194.5 382.5 -0.3831018 -0.01414617
Moved 1621.786 190.3394 385.6606 -0.3927329 -0.006017057
Moved 1621.817 186.6755 388 -0.4012142 -3.924585E-08
Moved 1621.848 186 390.8706 -0.4027778 0.007383165
Moved 1621.878 186 392 -0.4027778 0.01028803
Moved 1621.909 222.6189 383.6566 -0.3180117 -0.01117149
Moved 1621.94 270.5144 359.492 -0.2071425 -0.07332311
Moved 1621.971 305.8903 335.0732 -0.125254 -0.1361287
Moved 1622.001 336.4344 313.93 -0.05454987 -0.1905093
Moved 1622.032 356.4622 296.5378 -0.00818943 -0.2352422
Moved 1622.063 375.896 280.2534 0.03679623 -0.2771262
Moved 1622.094 390.1831 269.5141 0.06986827 -0.3047478
Moved 1622.124 399.9608 262.2794 0.09250194 -0.3233556
Moved 1622.155 406 255.5 0.1064815 -0.3407922
Moved 1622.186 409 253.9583 0.113426 -0.3447576
Ended 1622.217 409 253.9583 0.113426 -0.3447576
Began 1623.692 257 516 -0.2384259 0.329218
Stationary 1623.723 257 516 -0.2384259 0.329218
Stationary 1623.753 257 516 -0.2384259 0.329218
Stationary 1623.784 257 516 -0.2384259 0.329218
Stationary 1623.815 257 516 -0.2384259 0.329218
Stationary 1623.846 257 516 -0.2384259 0.329218
Moved 1623.876 257 510.7937 -0.2384259 0.3158273
Moved 1623.907 267.4123 498.4503 -0.2143234 0.2840799
Moved 1623.938 285.6563 473.8812 -0.1720918 0.2208876
Moved 1623.969 303.3632 451.7278 -0.1311037 0.1639089
Moved 1623.999 325.6584 417.5125 -0.07949457 0.07590639
Moved 1624.03 347.0195 390.9783 -0.03004745 0.007660241
Moved 1624.061 367.597 361.2488 0.01758566 -0.06880466
Moved 1624.092 388.0056 335.4915 0.0648279 -0.1350528
Moved 1624.122 404.9062 311.3314 0.1039494 -0.197193
Moved 1624.153 417.6976 293.4536 0.1335593 -0.2431749
Moved 1624.184 428.9691 280.0309 0.1596508 -0.2776983
Moved 1624.214 441.4367 262.0845 0.1885108 -0.3238569
Moved 1624.245 454.4305 246.2834 0.2185891 -0.3644973
Moved 1624.276 462.4734 238.5266 0.2372069 -0.384448
Moved 1624.307 469.1132 231.8867 0.2525769 -0.401526
Moved 1624.337 474.2183 227.7817 0.2643942 -0.412084
Moved 1624.368 477.1768 226 0.2712426 -0.4166668
Moved 1624.399 481.1645 226 0.2804733 -0.4166668
Moved 1624.43 486.9695 261.7764 0.2939109 -0.3246491
Moved 1624.46 488 311.5 0.2962963 -0.1967593
Moved 1624.491 488 342.9443 0.2962963 -0.115884
Moved 1624.522 488 374.8663 0.2962963 -0.03378032
Moved 1624.552 489.7652 395.9435 0.3003825 0.02043084
Moved 1624.583 496.2648 421.0594 0.3154279 0.08502921
Moved 1624.614 509.8904 444.8538 0.3469685 0.1462289
Moved 1624.645 525 466 0.3819444 0.2006171
Moved 1624.676 537.0283 487.2509 0.4097878 0.2552749
Moved 1624.706 547.4694 504.204 0.4339569 0.2988786
Moved 1624.737 554.7214 515.6286 0.450744 0.3282627
Moved 1624.768 557.4457 520.8914 0.4570502 0.3417987
Moved 1624.798 559.6961 524.6961 0.4622596 0.3515846
Moved 1624.829 561.2524 527.2524 0.4658619 0.3581594
Moved 1624.86 562 529.7927 0.4675925 0.364693
Moved 1624.891 562 531.1666 0.4675925 0.3682268
Moved 1624.921 562 532.2446 0.4675925 0.3709993
Moved 1624.952 562 533 0.4675925 0.3729423
Moved 1624.983 549.6268 533 0.4389509 0.3729423
Moved 1625.014 536.9699 533 0.4096526 0.3729423
Moved 1625.044 521.4814 533 0.3737995 0.3729423
Moved 1625.075 500.7842 520.9384 0.3258893 0.3419195
Moved 1625.106 481.8884 516.4127 0.2821491 0.3302794
Moved 1625.137 463.947 511.5487 0.2406181 0.3177692
